TeamName,AdjEM,AdjOE,AdjDE,AdjTempo
Michigan,37.18,122.8,85.6,73.6
Iowa St.,33.42,123.8,90.4,69.7
Gonzaga,32.9,124.2,91.3,71.3
Duke,32.4,123.3,90.9,67.7
Purdue,30.34,127.5,97.2,66.0
Arizona,30.2,123.4,93.2,71.8
Connecticut,29.21,122.0,92.8,65.9
Vanderbilt,29.01,126.4,97.4,71.1
Illinois,27.87,124.7,96.8,69.2
Houston,27.74,119.2,91.4,63.9
BYU,27.64,124.0,96.4,69.0
Michigan St.,27.02,118.5,91.5,66.2
Alabama,27.02,126.4,99.4,74.4
Louisville,26.53,125.2,98.7,71.8
Florida,26.53,120.3,93.7,71.6
St. John's,24.45,120.4,96.0,71.6
Kansas,23.81,116.8,93.0,67.4
Tennessee,23.27,118.8,95.5,67.7
Texas Tech,22.38,119.0,96.6,67.6
Kentucky,21.96,119.2,97.2,69.9
Indiana,21.7,118.4,96.7,69.5
Iowa,21.63,118.9,97.3,64.0
Virginia,21.44,122.4,101.0,67.9
North Carolina,21.41,118.0,96.5,69.5
Georgia,21.09,120.4,99.3,74.7
Clemson,21.08,119.9,98.9,65.9
Nebraska,20.59,117.6,97.0,70.0
N.C. State,20.33,120.9,100.5,70.9
Arkansas,20.23,117.5,97.3,71.3
Auburn,20.11,122.0,101.9,68.8
UCLA,19.5,117.9,98.4,65.7
Saint Mary's,19.35,115.9,96.5,66.4
Baylor,19.28,122.9,103.6,70.7
Miami FL,18.82,114.9,96.1,71.0
USC,18.62,119.9,101.3,71.5
Ohio St.,18.44,119.0,100.6,69.8
Villanova,18.03,118.3,100.3,65.4
Wisconsin,18.0,118.4,100.4,71.3
LSU,17.98,116.8,98.8,70.4
SMU,17.97,117.3,99.4,71.1
Team,,,,
Utah St.,17.94,116.6,98.6,69.5
Saint Louis,17.37,115.4,98.1,72.7
VCU,16.67,114.0,97.3,70.9
Boise St.,16.37,113.3,96.9,67.3
Wake Forest,16.12,115.7,99.6,70.7
San Diego St.,15.93,116.5,100.6,69.3
Butler,15.67,117.4,101.8,70.7
Washington,15.56,115.9,100.3,68.0
Oklahoma St.,15.53,117.2,101.6,74.6
Texas,15.4,119.6,104.2,68.6
Mississippi,15.37,115.0,99.7,66.1
Texas A&M,15.33,116.1,100.8,71.5
UCF,15.32,119.2,103.8,69.9
Akron,15.04,121.8,106.8,71.8
Missouri,14.95,119.7,104.7,68.7
Oklahoma,14.79,119.4,104.6,67.8
Seton Hall,14.64,110.4,95.7,66.4
TCU,14.4,111.2,96.8,69.1
Colorado St.,13.56,121.8,108.3,63.5
Notre Dame,13.52,114.6,101.0,66.2
Northwestern,13.49,117.0,103.6,67.3
Virginia Tech,13.22,115.3,102.1,69.8
Colorado,13.21,119.1,105.9,69.5
Memphis,13.04,111.8,98.8,69.9
Creighton,12.98,115.0,102.1,66.5
Santa Clara,12.97,116.6,103.7,69.6
Syracuse,12.77,110.7,98.0,69.2
George Mason,12.74,113.3,100.6,65.9
Dayton,12.68,112.2,99.5,69.8
Arizona St.,12.51,115.1,102.6,69.4
California,12.3,114.4,102.1,68.4
Providence,12.24,117.6,105.4,73.1
West Virginia,12.1,111.0,98.9,64.7
Belmont,11.73,111.7,100.0,71.9
Cincinnati,11.34,104.5,93.2,71.2
McNeese,11.21,111.5,100.2,67.5
New Mexico,11.13,112.8,101.7,70.4
Yale,11.11,120.9,109.8,66.5
Kansas St.,10.81,115.1,104.3,73.4
Tulsa,10.63,117.6,107.0,67.9
Team,,,,
George Washington,10.59,117.5,106.9,71.3
Mississippi St.,10.2,112.9,102.7,69.5
Xavier,10.01,112.3,102.3,70.6
South Florida,9.6,112.4,102.8,73.0
Utah Valley,9.53,110.3,100.8,70.7
South Carolina,9.49,113.0,103.5,66.9
Nevada,9.22,112.9,103.7,67.4
High Point,9.19,117.6,108.4,70.8
Wichita St.,8.93,112.2,103.2,66.6
Stanford,8.89,111.3,102.4,70.5
Oregon,8.78,112.6,103.8,68.2
Georgetown,7.93,112.4,104.5,68.7
Marquette,7.93,110.4,102.5,70.9
San Francisco,7.86,111.2,103.3,66.4
Maryland,7.85,109.6,101.7,69.6
Florida St.,7.82,110.1,102.2,74.2
Wyoming,7.79,111.7,103.9,69.7
Northern Iowa,7.76,106.5,98.7,63.9
UC San Diego,7.76,114.7,107.0,68.8
Richmond,7.47,111.6,104.1,69.7
Hawaii,7.28,104.6,97.3,70.6
Grand Canyon,7.27,107.7,100.4,68.4
Illinois St.,6.79,110.6,103.8,67.8
UAB,6.62,111.0,104.4,70.0
UNC Wilmington,6.62,113.2,106.6,64.8
Rhode Island,6.54,109.3,102.8,67.8
St. Bonaventure,6.41,110.9,104.4,67.7
Pittsburgh,6.31,112.2,105.9,64.5
Seattle,5.96,108.4,102.5,67.7
Penn St.,5.89,115.0,109.1,68.3
East Tennessee St.,5.77,110.0,104.3,68.8
Murray St.,5.64,113.3,107.6,71.9
Liberty,5.58,112.9,107.3,66.3
Winthrop,5.51,115.6,110.1,69.7
Minnesota,5.27,109.6,104.4,64.8
Bowling Green,5.25,107.8,102.5,69.4
Southern Illinois,5.14,110.1,104.9,70.3
Florida Atlantic,4.9,113.5,108.6,67.2
Hofstra,4.88,108.2,103.4,68.5
Miami OH,4.81,111.8,107.0,71.4
Team,,,,
Sam Houston St.,4.65,112.1,107.4,71.0
Utah,4.33,112.4,108.1,69.4
Pacific,4.16,108.7,104.5,66.3
UC Irvine,4.11,100.6,96.5,69.7
Bradley,4.11,107.1,103.0,68.5
Drake,3.9,109.6,105.7,66.5
William & Mary,3.87,109.0,105.1,75.2
Kent St.,3.84,114.3,110.5,71.8
Columbia,3.74,109.2,105.5,68.1
DePaul,3.5,107.7,104.2,68.6
Cal Baptist,3.44,108.0,104.5,68.5
UNLV,3.19,111.4,108.2,73.2
New Mexico St.,3.11,108.1,105.0,67.0
Davidson,3.03,109.6,106.6,66.5
Rutgers,2.83,107.8,104.9,66.5
Georgia Tech,2.67,103.5,100.8,70.9
