TeamName,AdjEM,AdjOE,AdjDE,AdjTempo
Michigan,37.73,125.9,88.2,74.2
Arizona,34.13,125.0,90.9,71.9
Iowa St.,33.35,124.2,90.9,70.7
Gonzaga,32.7,126.3,93.6,71.5
Purdue,31.75,128.6,96.8,65.6
Duke,31.52,123.9,92.4,69.2
Connecticut,30.21,121.4,91.1,66.4
Vanderbilt,29.69,125.4,95.7,71.9
Illinois,29.43,127.5,98.1,68.2
Houston,28.48,121.8,93.3,64.8
BYU,28.21,125.3,97.1,71.0
Florida,26.87,121.2,94.3,71.3
Michigan St.,26.08,118.5,92.4,66.7
Louisville,26.07,125.6,99.6,72.0
Tennessee,25.41,120.1,94.7,67.7
Kansas,25.13,117.7,92.5,68.3
Alabama,24.36,126.7,102.3,74.9
Iowa,23.55,120.7,97.2,64.3
Kentucky,22.99,120.9,97.9,69.5
St. John's,22.78,119.6,96.8,71.6
North Carolina,22.31,119.3,97.0,68.3
Nebraska,22.26,120.3,98.0,69.4
Virginia,22.17,124.2,102.0,67.6
Villanova,21.83,120.5,98.7,64.4
Georgia,21.61,121.6,100.0,76.3
Texas Tech,21.51,123.5,102.0,68.1
N.C. State,21.15,121.5,100.4,71.1
Arkansas,20.8,121.7,100.9,72.4
Baylor,20.7,125.6,104.9,70.7
Utah St.,20.64,119.9,99.2,69.7
Indiana,20.59,117.3,96.7,69.8
UCLA,20.14,120.9,100.8,67.0
Saint Mary's,19.1,116.2,97.1,68.0
Ohio St.,18.9,120.5,101.6,69.6
Clemson,18.83,118.5,99.7,65.6
Miami FL,18.8,117.6,98.8,71.4
Auburn,18.51,122.5,103.9,69.2
USC,18.28,119.5,101.2,71.7
Saint Louis,17.82,117.9,100.1,73.6
LSU,17.75,120.8,103.1,69.5
Team,,,,
SMU,16.89,120.4,103.5,70.3
VCU,16.89,118.1,101.2,70.9
Wisconsin,16.88,118.3,101.4,70.9
Creighton,16.76,117.0,100.3,67.8
UCF,16.39,120.6,104.2,70.4
Texas,16.29,120.3,104.0,69.8
Washington,16.06,115.8,99.7,69.4
Seton Hall,15.93,110.8,94.9,66.9
Texas A&M,15.82,118.0,102.1,73.1
Oklahoma,15.69,121.0,105.3,68.1
