TeamName,AdjEM,AdjOE,AdjDE,AdjTempo
Michigan,39.17,125.8,86.7,75.9
Arizona,34.34,124.8,90.5,72.4
Iowa St.,34.12,125.2,91.0,70.4
Purdue,32.61,128.5,95.9,66.2
Connecticut,31.1,121.6,90.5,66.8
Gonzaga,30.86,125.7,94.9,71.8
Vanderbilt,30.26,125.3,95.0,72.3
Duke,29.89,123.5,93.6,69.5
Illinois,29.88,127.5,97.6,67.8
BYU,27.9,125.3,97.4,71.2
Houston,27.43,121.3,93.8,64.7
Florida,26.52,120.7,94.1,71.4
Louisville,26.14,126.4,100.3,71.3
Tennessee,25.53,120.0,94.5,68.1
Michigan St.,25.37,117.2,91.8,67.3
Kansas,25.13,117.8,92.6,68.6
Alabama,25.1,127.5,102.4,74.7
Iowa,23.58,120.9,97.3,64.4
St. John's,23.39,121.0,97.6,71.7
Kentucky,22.67,120.3,97.7,69.7
Texas Tech,22.38,123.1,100.7,68.4
Nebraska,22.33,118.9,96.5,69.3
North Carolina,22.06,118.4,96.4,68.0
N.C. State,21.53,120.2,98.7,71.2
Georgia,21.06,120.8,99.7,76.3
Villanova,20.97,119.7,98.7,64.4
Virginia,20.93,121.9,101.0,67.9
Arkansas,20.87,122.2,101.3,72.6
Baylor,20.63,125.4,104.7,70.7
Indiana,20.56,117.2,96.6,69.9
Saint Mary's,20.36,118.3,97.9,67.0
Utah St.,20.09,117.9,97.9,70.4
UCLA,19.86,120.7,100.8,67.2
Auburn,19.57,122.7,103.2,69.4
Clemson,18.89,117.1,98.2,66.0
LSU,18.8,121.1,102.3,69.5
Miami FL,18.79,117.2,98.4,71.3
Ohio St.,18.72,121.4,102.6,69.6
SMU,18.4,120.7,102.3,70.3
USC,18.26,119.3,101.0,72.2
Team,,,,
Saint Louis,18.25,119.8,101.5,73.2
VCU,16.87,119.5,102.7,70.8
Wisconsin,16.83,117.0,100.2,71.4
Creighton,16.82,117.6,100.8,68.3
Texas,16.23,120.3,104.0,69.9
UCF,16.21,120.1,103.9,70.5
Seton Hall,16.16,111.1,94.9,67.3
Butler,15.99,118.1,102.1,71.3
Washington,15.9,115.0,99.1,69.4
San Diego St.,15.89,115.4,99.5,69.3
Texas A&M,15.84,118.0,102.1,74.0
Boise St.,15.72,112.5,96.8,67.8
Oklahoma,14.99,121.5,106.5,67.8
Northwestern,14.22,117.1,102.9,67.8
TCU,14.21,112.2,98.0,68.4
Akron,13.84,123.8,110.0,73.1
Mississippi,13.58,113.9,100.3,66.5
Notre Dame,13.35,112.9,99.5,66.0
Santa Clara,13.2,117.7,104.5,70.9
Oklahoma St.,13.03,116.9,103.9,75.2
Wake Forest,12.9,112.6,99.7,71.2
Virginia Tech,12.84,113.8,101.0,69.8
Oregon,12.63,115.1,102.5,68.5
Cincinnati,12.54,105.8,93.3,71.2
Missouri,12.44,118.7,106.3,68.6
Tulsa,12.28,119.2,106.9,69.4
McNeese,12.15,115.4,103.2,68.4
Belmont,12.14,116.0,103.9,71.4
George Washington,12.14,120.6,108.4,71.3
Nevada,12.11,116.2,104.1,67.2
Dayton,11.8,111.3,99.5,69.4
New Mexico,11.75,111.5,99.7,70.7
West Virginia,11.68,112.6,101.0,64.2
California,11.67,114.1,102.4,68.4
Memphis,11.67,109.3,97.6,70.5
Kansas St.,11.66,117.6,106.0,73.8
Illinois St.,11.36,112.9,101.6,68.1
Providence,11.26,119.3,108.0,73.2
Arizona St.,11.04,116.0,105.0,70.3
Utah Valley,10.68,111.6,100.9,71.1
Team,,,,
Syracuse,10.67,111.3,100.6,68.8
Stanford,10.63,112.3,101.7,69.8
Mississippi St.,10.52,113.5,103.0,70.1
South Florida,10.4,114.2,103.8,73.4
Yale,10.19,121.8,111.6,66.8
Colorado,10.08,117.8,107.7,70.2
Hawaii,10.06,106.0,96.0,70.0
South Carolina,10.05,113.7,103.7,67.4
Wichita St.,9.86,113.5,103.7,66.2
Colorado St.,9.74,120.7,111.0,63.8
George Mason,9.55,114.4,104.9,66.7
High Point,9.54,119.2,109.6,71.0
Northern Iowa,9.34,105.4,96.1,63.7
Pittsburgh,9.26,114.0,104.7,65.1
UC San Diego,8.83,114.1,105.3,69.5
Murray St.,8.82,116.6,107.7,73.4
Grand Canyon,8.46,109.3,100.9,68.8
Wyoming,8.1,111.8,103.7,70.2
San Francisco,7.63,111.7,104.1,66.8
Minnesota,7.52,110.0,102.5,64.5
Hofstra,7.16,112.2,105.1,67.4
Florida Atlantic,7.14,114.6,107.5,70.7
Liberty,7.03,115.0,108.0,65.5
Xavier,6.95,111.0,104.0,71.6
Georgetown,6.88,114.2,107.4,68.7
Miami OH,6.68,115.2,108.6,72.2
Seattle,6.63,105.4,98.7,69.7
UAB,6.17,112.4,106.2,70.2
Maryland,6.0,109.2,103.2,68.9
Florida St.,5.88,111.3,105.5,74.9
St. Bonaventure,5.61,113.2,107.6,68.0
DePaul,5.49,107.0,101.6,69.2
William & Mary,5.45,110.5,105.0,75.2
Bowling Green,5.44,107.7,102.3,69.6
UNC Wilmington,4.88,112.4,107.5,65.7
Rhode Island,4.78,107.8,103.0,67.7
Marquette,4.72,109.5,104.8,71.7
Richmond,4.51,111.2,106.7,69.8
Loyola Marymount,4.49,106.8,102.3,68.3
Stephen F. Austin,4.41,108.4,104.0,67.3
Team,,,,
Middle Tennessee,4.36,110.6,106.2,66.6
Pacific,4.34,109.5,105.2,66.9
Southern Illinois,4.33,108.6,104.3,72.1
Bradley,4.14,109.0,104.8,69.0
Georgia Tech,3.99,108.0,104.0,71.4
Duquesne,3.94,110.8,106.9,72.7
Utah,3.92,113.3,109.3,69.8
Sam Houston St.,3.82,113.2,109.4,72.8
East Tennessee St.,3.78,111.5,107.7,68.2
Penn St.,3.59,113.7,110.1,69.0
Arkansas St.,3.28,112.1,108.8,74.0
Kent St.,2.96,111.9,109.0,73.4
Troy,2.95,110.5,107.6,68.7
Columbia,2.85,109.1,106.3,68.7
Davidson,2.81,110.1,107.3,66.1
UC Irvine,2.58,103.2,100.6,69.3
St. Thomas,2.5,110.2,107.7,69.4
Wright St.,2.48,108.6,106.1,67.4
North Texas,2.46,101.3,98.8,65.8
Cal Baptist,2.24,107.1,104.9,68.1
UNLV,2.06,110.7,108.7,73.2
Lipscomb,1.95,108.6,106.6,71.3
Oakland,1.88,116.2,114.3,72.5
North Dakota St.,1.87,109.0,107.1,69.1
New Mexico St.,1.56,108.5,107.0,68.2
Winthrop,1.53,114.6,113.1,69.5
Towson,1.23,106.5,105.3,63.9
Western Kentucky,1.18,109.3,108.2,72.5
Boston College,0.94,103.0,102.1,67.0
