TeamName,AdjEM,AdjOE,AdjDE,AdjTempo
Michigan,39.29,126.4,87.1,75.2
Arizona,34.47,125.4,90.9,72.1
Iowa St.,34.17,125.8,91.6,69.6
Purdue,33.53,129.1,95.6,65.9
Gonzaga,31.36,125.7,94.4,71.1
Vanderbilt,30.9,126.1,95.2,71.4
Connecticut,30.37,121.0,90.6,66.0
Illinois,29.37,126.8,97.4,67.2
Duke,29.05,124.9,95.8,68.5
BYU,28.16,124.8,96.7,70.8
Houston,27.46,121.6,94.2,63.9
Michigan St.,26.88,117.3,90.4,66.7
Louisville,26.12,126.7,100.5,70.7
Alabama,25.9,128.6,102.7,73.8
Florida,25.82,120.5,94.7,70.7
Tennessee,24.52,119.6,95.1,67.7
Iowa,24.32,121.5,97.2,63.9
Kansas,24.13,117.7,93.6,68.0
Nebraska,23.01,119.1,96.1,68.6
Texas Tech,22.96,124.1,101.1,67.9
Virginia,22.92,122.8,99.8,66.7
Villanova,22.78,120.7,97.9,63.9
Arkansas,21.98,122.7,100.7,72.3
Kentucky,21.74,120.1,98.3,68.8
St. John's,21.46,119.2,97.8,71.1
Georgia,21.27,122.0,100.7,75.7
Saint Mary's,20.9,120.5,99.6,66.1
Indiana,20.89,119.7,98.8,68.9
North Carolina,20.86,119.4,98.5,67.4
Utah St.,20.39,119.7,99.4,69.6
SMU,19.94,123.3,103.4,69.7
N.C. State,19.67,119.0,99.4,70.1
Baylor,19.55,124.5,105.0,69.8
Auburn,19.38,123.7,104.3,68.4
Clemson,19.03,117.2,98.2,65.8
LSU,18.95,120.6,101.7,68.8
UCLA,18.92,120.3,101.4,66.5
Miami FL,18.62,117.5,98.9,70.6
Ohio St.,18.19,120.7,102.5,68.9
Saint Louis,18.0,120.2,102.2,72.7
VCU,17.48,120.7,103.2,70.2
UCF,17.26,121.5,104.2,69.9
Creighton,16.76,116.9,100.1,67.4
Wisconsin,16.49,117.3,100.8,71.1
USC,16.49,118.2,101.7,71.7
Texas A&M,16.32,117.5,101.2,73.0
Seton Hall,16.31,110.6,94.3,66.5
Oklahoma,16.19,122.7,106.5,67.3
Boise St.,15.43,113.0,97.6,67.5
San Diego St.,15.3,116.2,100.9,69.0
Washington,15.26,116.6,101.3,68.1
Texas,15.11,120.9,105.8,69.5
TCU,14.85,112.1,97.3,67.3
Butler,14.62,117.5,102.8,71.2
Santa Clara,14.01,118.4,104.4,70.4
Akron,13.52,123.2,109.7,72.1
Virginia Tech,13.42,114.7,101.3,69.5
Notre Dame,13.31,113.4,100.1,65.4
New Mexico,13.24,112.8,99.5,69.1
Missouri,13.15,119.5,106.3,67.6
Wake Forest,13.0,112.9,99.9,70.9
Northwestern,12.92,117.9,105.0,67.5
George Washington,12.65,120.8,108.1,70.5
Providence,12.52,119.5,107.0,72.5
Cincinnati,12.43,106.0,93.5,70.5
Oklahoma St.,12.4,117.4,105.0,74.7
Mississippi,12.28,113.7,101.4,65.9
Tulsa,11.93,119.9,108.0,68.4
West Virginia,11.82,113.1,101.3,63.4
McNeese,11.73,115.8,104.1,67.3
Nevada,11.69,115.9,104.2,66.4
Kansas St.,11.61,116.9,105.3,73.4
California,11.53,114.4,102.9,67.6
Belmont,11.53,115.5,103.9,70.5
Oregon,11.5,115.4,103.9,68.0
Mississippi St.,11.37,114.9,103.5,69.7
Memphis,11.26,109.9,98.7,69.7
Dayton,11.09,110.8,99.7,68.9
Illinois St.,11.0,113.0,102.0,67.6
Colorado St.,10.98,121.1,110.1,62.9
Stanford,10.91,112.6,101.7,69.0
Yale,10.87,121.3,110.4,66.6
Colorado,10.87,118.5,107.6,70.4
Syracuse,10.67,111.7,101.1,68.2
Arizona St.,10.14,115.8,105.6,70.3
Northern Iowa,10.08,105.2,95.1,63.2
Murray St.,9.99,117.6,107.6,72.6
George Mason,9.89,113.9,104.0,65.7
South Florida,9.85,114.3,104.5,73.1
South Carolina,9.8,114.2,104.4,66.2
High Point,9.53,119.5,109.9,69.9
Wichita St.,9.45,115.1,105.7,65.3
UC San Diego,9.4,116.0,106.6,68.7
Pittsburgh,9.19,114.2,105.0,64.9
Minnesota,8.86,111.8,103.0,64.1
Hawaii,8.82,106.6,97.8,69.2
Utah Valley,8.42,111.0,102.6,70.7
Miami OH,7.3,114.5,107.2,71.3
Hofstra,6.96,113.0,106.1,66.2
San Francisco,6.96,111.6,104.6,66.0
Grand Canyon,6.82,108.0,101.2,68.1
Wyoming,6.78,112.0,105.2,68.9
UAB,6.64,113.1,106.5,69.9
Florida St.,6.6,113.2,106.6,73.9
Florida Atlantic,6.56,113.7,107.2,70.1
Xavier,6.54,112.1,105.6,70.7
Georgetown,6.51,114.5,108.0,68.0
Liberty,6.41,115.9,109.4,65.1
DePaul,6.16,108.5,102.3,68.5
Maryland,6.08,109.7,103.6,68.3
Stephen F. Austin,6.0,109.6,103.6,66.3
Seattle,5.95,106.7,100.8,69.1
St. Bonaventure,5.35,113.3,107.9,67.4
Bowling Green,5.3,109.4,104.1,69.2
Southern Illinois,5.25,108.7,103.5,71.3
Richmond,5.13,113.1,108.0,69.0
Georgia Tech,5.08,107.9,102.8,70.9
Marquette,4.87,109.5,104.6,71.1
William & Mary,4.59,109.7,105.1,75.3
Rhode Island,4.35,107.0,102.7,66.9
UNC Wilmington,4.31,110.4,106.1,64.8
Penn St.,4.31,113.6,109.2,68.4
Middle Tennessee,4.04,110.1,106.1,65.9
Loyola Marymount,3.94,106.4,102.5,67.7
Sam Houston St.,3.87,112.6,108.7,72.0
UC Irvine,3.84,104.3,100.5,68.2
East Tennessee St.,3.82,111.7,107.9,67.2
Utah,3.68,113.7,110.1,69.5
Pacific,3.63,109.9,106.3,66.3
Davidson,3.45,109.6,106.2,65.1
Oakland,3.42,118.0,114.5,71.8
Duquesne,3.37,111.4,108.1,71.9
North Texas,3.36,102.5,99.1,64.9
Columbia,3.34,110.0,106.6,69.0
Bradley,3.2,108.8,105.6,68.1
Troy,3.16,110.0,106.9,67.5
UNLV,2.89,110.4,107.5,72.3
Arkansas St.,2.51,111.3,108.8,73.3
Marist,2.17,100.8,98.6,67.8
St. Thomas,2.04,110.7,108.6,69.0
Wright St.,1.85,108.9,107.1,66.0
Cal Baptist,1.8,107.1,105.3,67.1
Kent St.,1.79,111.3,109.5,73.0
Temple,1.5,114.0,112.5,66.9
Lipscomb,1.44,108.3,106.9,70.6
New Mexico St.,1.32,109.7,108.4,68.5
North Dakota St.,1.18,108.8,107.6,67.8
UT Arlington,1.1,103.5,102.4,66.2
Winthrop,0.99,115.1,114.1,68.6
Western Kentucky,0.89,109.0,108.1,71.6
Washington St.,0.72,109.5,108.7,68.0
Elon,0.71,116.0,115.3,68.5
Rutgers,0.69,108.4,107.7,66.0
Drake,0.42,110.5,110.1,65.8
Quinnipiac,0.32,106.5,106.2,71.2
Montana St.,0.23,109.1,108.9,66.3
Boston College,0.23,102.1,101.9,66.5
FIU,0.12,109.8,109.7,72.4
Tarleton St.,-0.02,108.0,108.0,70.6
Mercer,-0.07,109.1,109.2,70.2
Marshall,-0.07,109.8,109.8,70.6
Fresno St.,-0.21,105.9,106.1,68.9
UC Santa Barbara,-0.27,112.0,112.3,65.4
Furman,-0.36,108.9,109.3,67.3
Portland St.,-0.45,105.2,105.6,70.0
Buffalo,-0.45,113.0,113.4,66.7
Charleston,-0.63,108.8,109.4,68.2
Florida Gulf Coast,-0.66,111.7,112.3,69.4
Northern Colorado,-0.73,110.6,111.3,70.1
Cornell,-0.74,117.6,118.3,74.6
Toledo,-0.87,112.8,113.6,70.2
UC Davis,-0.87,109.1,109.9,69.5
Incarnate Word,-0.88,111.1,112.0,67.3
Towson,-0.93,104.5,105.5,63.2
Idaho St.,-1.05,111.2,112.3,64.6
Siena,-1.5,105.3,106.8,66.1
Massachusetts,-1.67,104.8,106.5,73.1
Kennesaw St.,-1.69,106.8,108.5,74.0
Texas A&M Corpus Chris,-2.02,103.4,105.5,66.9
Charlotte,-2.08,111.4,113.5,63.7
Colgate,-2.19,108.9,111.1,67.2
LIU,-2.22,109.0,111.2,69.6
Tulane,-2.28,109.1,111.4,66.4
South Dakota St.,-2.37,109.2,111.5,68.8
Vermont,-2.44,112.1,114.5,65.6
Montana,-2.48,109.0,111.5,70.8
Ohio,-2.6,106.2,108.8,69.9
Indiana St.,-2.62,105.4,108.0,69.4
Southern Miss,-2.64,107.4,110.1,68.6
Idaho,-2.64,109.3,111.9,66.3
Youngstown St.,-2.7,105.4,108.1,68.0
Valparaiso,-2.73,104.0,106.8,66.4
UT Rio Grande Valley,-2.92,105.2,108.1,68.3
Northern Kentucky,-2.95,106.6,109.5,71.0
Robert Morris,-3.07,108.7,111.7,65.9
San Jose St.,-3.11,110.1,113.2,65.8
Fordham,-3.18,104.8,108.0,64.4
CSUN,-3.24,107.7,111.0,74.2
Austin Peay,-3.25,102.7,105.9,70.2
Missouri St.,-3.26,105.2,108.4,65.3
Harvard,-3.39,106.7,110.1,65.2
Navy,-3.47,104.8,108.2,68.0
South Alabama,-3.59,105.4,109.0,64.7
Campbell,-3.7,108.6,112.3,70.7
Eastern Michigan,-3.85,104.3,108.2,66.6
Illinois Chicago,-3.86,106.1,109.9,67.8
Utah Tech,-3.9,106.0,109.9,66.7
Queens,-3.93,116.1,120.1,69.6
Milwaukee,-3.94,108.6,112.6,69.0
James Madison,-3.97,110.9,114.9,66.2
Nicholls,-4.02,106.0,110.0,69.5
Georgia Southern,-4.1,109.4,113.5,71.9
San Diego,-4.2,106.3,110.5,70.3
Weber St.,-4.26,109.0,113.2,70.2
Penn,-4.27,108.7,112.9,70.6
Abilene Christian,-4.28,103.5,107.8,66.1
Iona,-4.34,104.7,109.0,72.7
Saint Joseph's,-4.35,103.9,108.3,68.1
New Orleans,-4.4,109.1,113.5,70.1
Tennessee Martin,-4.5,103.5,108.0,65.9
Monmouth,-4.52,104.4,108.9,67.3
Louisiana Tech,-4.66,101.2,105.8,64.1
Central Arkansas,-4.68,106.4,111.1,69.4
Oregon St.,-4.7,107.2,111.9,65.6
Northeastern,-4.92,108.4,113.3,69.4
Jacksonville St.,-5.05,103.7,108.8,65.2
Wofford,-5.07,107.4,112.5,68.3
Southeast Missouri,-5.17,104.2,109.4,71.4
Charleston Southern,-5.2,105.6,110.8,71.7
Portland,-5.42,104.0,109.4,70.3
Lindenwood,-5.71,103.6,109.3,72.4
Dartmouth,-5.82,106.0,111.8,71.1
Samford,-5.85,107.4,113.3,66.5
Cal St. Fullerton,-5.9,107.2,113.1,75.4
Tennessee St.,-5.94,103.6,109.5,72.0
American,-5.95,105.4,111.3,69.1
Appalachian St.,-6.12,104.0,110.2,63.7
Cal Poly,-6.21,104.0,110.2,75.1
Lamar,-6.24,102.0,108.2,66.2
Grambling St.,-6.52,103.2,109.7,67.9
Long Beach St.,-6.84,106.7,113.5,67.7
Radford,-6.92,106.6,113.5,72.9
Green Bay,-6.97,108.7,115.7,64.2
Brown,-6.99,98.6,105.6,67.3
Hampton,-7.05,102.4,109.4,66.5
Eastern Washington,-7.26,109.9,117.2,70.2
Merrimack,-7.31,102.6,109.9,65.3
Denver,-7.33,114.4,121.7,68.9
Princeton,-7.42,101.7,109.1,66.0
Old Dominion,-7.52,104.6,112.1,70.0
La Salle,-7.56,103.2,110.7,65.3
UNC Asheville,-7.68,104.8,112.5,66.5
Rice,-7.79,105.4,113.2,66.3
Pepperdine,-7.86,100.4,108.2,67.5
Stony Brook,-8.02,102.9,110.9,65.7
Southern,-8.12,103.6,111.7,72.2
Purdue Fort Wayne,-8.36,104.6,113.0,68.9
Saint Peter's,-8.38,100.5,108.9,66.4
Coastal Carolina,-8.54,100.2,108.7,69.8
Central Connecticut,-8.56,105.4,114.0,65.6
SIUE,-8.58,100.1,108.7,66.2
UTEP,-8.59,102.0,110.6,65.4
Chattanooga,-8.65,106.2,114.9,66.3
Southeastern Louisiana,-8.72,100.0,108.7,66.3
Bellarmine,-8.8,111.0,119.8,66.7
UMBC,-8.82,105.3,114.2,67.6
Bethune Cookman,-8.97,105.1,114.1,68.4
Western Carolina,-8.98,103.1,112.1,70.7
Western Michigan,-9.11,106.0,115.1,69.5
Delaware,-9.11,101.7,110.8,64.4
Texas St.,-9.15,102.9,112.1,67.0
Nebraska Omaha,-9.21,105.9,115.1,67.2
Eastern Kentucky,-9.32,106.6,116.0,68.9
Loyola Chicago,-9.32,106.4,115.7,65.9
UNC Greensboro,-9.47,106.6,116.1,67.7
USC Upstate,-9.48,102.5,112.0,69.3
Fairfield,-9.53,107.2,116.7,68.2
Howard,-9.71,98.7,108.4,68.5
Evansville,-9.75,98.9,108.7,69.3
UC Riverside,-9.79,105.8,115.6,68.6
Presbyterian,-9.81,101.5,111.3,63.7
East Carolina,-9.84,99.4,109.3,70.3
Norfolk St.,-10.05,100.1,110.2,67.4
Detroit Mercy,-10.06,104.6,114.6,69.3
Drexel,-10.14,103.4,113.5,65.3
Prairie View A&M,-10.28,103.2,113.5,73.8
Sacramento St.,-10.29,102.4,112.7,73.2
Longwood,-10.29,103.7,114.0,69.6
South Dakota,-10.67,106.9,117.6,71.3
Boston University,-10.79,109.6,120.4,63.0
Alabama St.,-10.92,105.6,116.5,69.3
Northern Arizona,-10.93,101.6,112.5,66.7
Oral Roberts,-11.03,102.6,113.6,68.4
Alabama A&M,-11.13,101.7,112.8,65.7
Cal St. Bakersfield,-11.38,102.3,113.7,70.3
Houston Christian,-11.39,103.8,115.2,65.1
Sacred Heart,-11.42,105.0,116.4,69.0
North Alabama,-11.42,100.7,112.1,67.0
Northwestern St.,-11.45,105.4,116.8,66.4
West Georgia,-11.64,103.7,115.4,69.4
Le Moyne,-11.69,106.0,117.7,69.0
UMass Lowell,-11.73,104.9,116.6,70.3
Morehead St.,-12.12,101.1,113.2,67.2
UTSA,-12.16,98.2,110.3,70.3
Georgia St.,-12.2,100.5,112.7,69.3
Little Rock,-12.22,101.0,113.2,66.9
Mount St. Mary's,-12.23,99.1,111.3,69.6
Tennessee Tech,-12.39,102.2,114.6,69.6
Wagner,-12.61,103.2,115.8,67.2
Manhattan,-12.65,106.0,118.6,69.9
North Carolina A&T,-12.78,102.9,115.6,70.8
Bucknell,-12.78,98.2,111.0,67.4
Lafayette,-13.25,102.2,115.5,68.2
Bryant,-13.35,98.4,111.8,66.3
North Dakota,-13.39,100.9,114.3,68.5
Ball St.,-13.44,100.0,113.4,65.8
Northern Illinois,-13.54,102.5,116.1,68.2
Eastern Illinois,-13.57,96.9,110.4,66.5
Jacksonville,-13.69,100.6,114.3,64.4
Mercyhurst,-13.7,98.4,112.1,64.8
East Texas A&M,-13.82,97.8,111.6,70.8
Arkansas Pine Bluff,-14.04,103.9,118.0,72.9
Albany,-14.33,103.7,118.0,67.5
Louisiana,-14.38,95.7,110.1,63.4
Lehigh,-14.59,98.9,113.5,68.6
Cleveland St.,-14.59,106.1,120.7,69.4
Holy Cross,-14.95,100.9,115.8,64.8
Army,-15.15,100.9,116.1,66.8
Kansas City,-15.31,96.1,111.4,70.0
Central Michigan,-15.33,101.3,116.6,67.1
Southern Indiana,-15.42,96.5,112.0,69.8
Southern Utah,-15.58,99.5,115.1,71.2
Air Force,-16.04,95.3,111.3,64.6
VMI,-16.49,102.2,118.7,68.2
Maryland Eastern Shore,-16.65,96.2,112.9,63.2
New Haven,-16.79,96.2,113.0,64.6
New Hampshire,-16.8,95.1,111.9,68.2
Canisius,-16.81,97.9,114.7,65.1
Texas Southern,-16.94,98.8,115.7,71.3
Florida A&M,-17.06,98.4,115.5,70.5
IU Indy,-17.07,104.4,121.4,76.4
Alcorn St.,-17.08,100.5,117.6,70.6
North Florida,-17.16,106.4,123.5,71.5
Jackson St.,-17.69,98.8,116.5,70.5
Loyola MD,-17.99,103.2,121.2,68.4
Stetson,-18.0,100.0,118.0,67.5
Stonehill,-18.09,93.9,111.9,66.9
Maine,-18.84,91.1,109.9,65.4
North Carolina Central,-19.11,96.4,115.5,67.5
Rider,-19.27,95.2,114.5,66.3
Chicago St.,-19.49,98.9,118.4,67.8
Fairleigh Dickinson,-19.8,101.0,120.8,67.8
NJIT,-19.85,92.8,112.7,68.7
Louisiana Monroe,-20.29,100.0,120.3,71.9
Western Illinois,-20.41,96.3,116.7,66.0
Niagara,-20.69,98.1,118.8,63.8
Delaware St.,-21.28,89.5,110.8,67.6
The Citadel,-22.48,100.3,122.8,65.8
Gardner Webb,-22.56,98.1,120.7,71.4
South Carolina St.,-23.55,94.4,118.0,69.9
Morgan St.,-24.8,96.2,121.0,69.8
Saint Francis,-25.21,94.4,119.6,70.1
Binghamton,-25.33,97.3,122.6,67.2
Coppin St.,-30.2,90.7,120.9,70.1
Mississippi Valley St.,-33.22,88.7,121.9,68.4
