TeamName,AdjEM,AdjOE,AdjDE,AdjTempo
Michigan,37.44,124.3,86.8,74.9
Iowa St.,35.02,124.6,89.5,69.3
Arizona,34.67,125.0,90.3,72.3
Purdue,32.93,128.6,95.6,66.1
Vanderbilt,30.71,125.6,94.9,71.8
Gonzaga,30.55,125.3,94.8,71.0
Duke,30.23,124.4,94.2,68.5
Connecticut,29.96,121.5,91.5,66.1
Illinois,29.9,126.7,96.8,67.1
BYU,28.79,124.9,96.1,71.2
Houston,27.22,120.4,93.2,64.0
Michigan St.,26.74,117.0,90.3,66.8
Florida,26.65,120.4,93.8,70.5
Alabama,25.76,128.0,102.2,74.0
Louisville,25.22,125.1,99.9,71.0
Tennessee,24.98,119.9,94.9,67.4
Virginia,23.96,122.7,98.7,66.9
Kansas,23.78,118.4,94.6,68.5
Iowa,23.44,120.3,96.9,64.5
Texas Tech,23.29,123.4,100.1,68.0
Nebraska,23.15,119.0,95.9,68.5
Arkansas,22.44,124.1,101.7,72.4
St. John's,22.27,119.7,97.4,70.8
Indiana,21.89,120.4,98.5,68.7
Villanova,21.81,120.8,99.0,63.8
Utah St.,21.22,120.7,99.5,69.6
North Carolina,20.82,119.2,98.4,67.3
Georgia,20.52,121.3,100.8,75.9
Saint Mary's,20.5,120.1,99.6,66.0
Kentucky,20.39,118.5,98.1,68.7
SMU,20.02,123.0,103.0,69.6
Saint Louis,19.48,118.4,98.9,72.9
N.C. State,19.36,119.9,100.6,69.5
Baylor,19.34,122.7,103.4,69.5
Clemson,19.28,117.0,97.7,65.6
Ohio St.,19.22,120.7,101.4,68.4
Miami FL,19.2,118.5,99.3,70.1
Auburn,18.52,123.7,105.2,68.3
UCLA,17.91,119.5,101.6,66.5
Creighton,17.65,117.8,100.2,67.4
LSU,17.12,119.8,102.7,68.5
Wisconsin,16.97,116.8,99.9,71.1
Texas A&M,16.94,118.3,101.4,72.9
UCF,16.58,119.9,103.3,70.0
VCU,16.57,118.0,101.4,70.3
Seton Hall,16.18,110.2,94.0,66.4
USC,16.01,117.8,101.7,71.5
Washington,15.73,116.5,100.8,68.4
TCU,15.55,113.5,97.9,68.0
San Diego St.,15.28,116.3,101.0,68.7
Texas,14.88,120.9,106.0,69.3
Missouri,14.64,119.3,104.6,67.5
New Mexico,14.54,113.6,99.0,69.2
Santa Clara,14.46,118.5,104.1,70.2
