TeamName,AdjEM,AdjOE,AdjDE,AdjTempo
Michigan,36.09,127.2,91.1,73.2
Arizona,34.03,127.0,92.9,71.7
Duke,33.2,126.3,93.1,67.5
Houston,31.36,124.2,92.8,63.5
Iowa St.,31.08,125.5,94.4,67.8
Gonzaga,31.01,126.2,95.2,70.2
Purdue,30.91,129.4,98.4,65.5
Illinois,30.52,129.4,98.9,66.3
Michigan St.,30.14,120.0,89.9,65.9
Florida,29.92,125.5,95.6,70.2
Connecticut,28.79,121.9,93.1,65.3
Nebraska,27.03,123.5,96.5,67.2
Virginia,26.99,124.7,97.7,65.6
BYU,26.67,125.3,98.6,70.7
Louisville,26.23,126.9,100.7,70.2
Vanderbilt,26.14,126.2,100.1,70.6
Alabama,25.35,129.3,104.0,73.7
Kansas,25.33,121.7,96.4,67.7
Texas Tech,25.27,125.5,100.2,67.7
Iowa,24.45,122.1,97.6,64.1
Arkansas,24.29,127.0,102.7,71.7
St. John's,24.09,122.5,98.4,70.4
Tennessee,23.59,121.0,97.4,66.6
Kentucky,21.75,122.4,100.6,67.7
Georgia,21.47,122.6,101.1,74.5
Villanova,21.27,123.2,102.0,63.4
N.C. State,21.07,122.4,101.3,69.1
Clemson,21.01,118.3,97.3,64.9
Saint Louis,20.46,120.7,100.2,71.5
Auburn,20.41,125.1,104.6,68.1
SMU,19.95,124.5,104.6,69.0
Utah St.,19.58,123.0,103.4,68.2
Saint Mary's,19.27,120.3,101.0,65.7
Ohio St.,19.09,123.2,104.1,67.3
North Carolina,18.94,122.1,103.2,67.8
Miami FL,18.52,118.6,100.1,69.1
Indiana,18.4,121.6,103.2,67.4
Texas A&M,18.2,120.2,102.0,71.5
UCLA,18.14,120.9,102.7,65.0
Wisconsin,17.99,121.7,103.7,70.5
Team,,,,
Texas,17.82,124.5,106.7,67.4
LSU,17.01,121.4,104.4,67.3
Santa Clara,16.99,120.6,103.6,69.7
New Mexico,16.8,116.2,99.4,69.7
San Diego St.,16.65,116.2,99.5,69.0
USC,16.49,118.4,101.9,70.3
UCF,16.27,120.9,104.7,69.0
Seton Hall,16.09,111.3,95.2,65.8
Baylor,16.06,123.7,107.7,68.1
VCU,15.78,120.6,104.8,69.9
Washington,15.46,118.8,103.4,67.7
Creighton,15.46,120.0,104.6,66.4
Cincinnati,15.3,109.7,94.4,69.2
TCU,15.02,114.0,99.0,67.3
Missouri,14.44,120.2,105.8,66.4
Butler,14.13,119.1,104.9,70.4
Virginia Tech,13.94,117.5,103.6,68.3
Akron,13.53,124.0,110.5,71.3
West Virginia,13.16,115.8,102.7,62.9
Oklahoma,12.81,120.7,107.9,67.3
Tulsa,12.49,122.4,109.9,68.4
Belmont,12.36,118.7,106.4,69.1
Nevada,12.35,118.9,106.6,65.6
McNeese,12.34,118.5,106.2,66.4
Providence,12.28,123.0,110.7,72.8
Mississippi,12.27,116.2,103.9,65.4
Boise St.,12.22,114.3,102.1,66.6
Oklahoma St.,12.13,118.3,106.2,73.1
Syracuse,12.09,115.4,103.3,68.0
Northwestern,12.07,119.5,107.4,65.9
Dayton,12.04,112.1,100.0,67.7
Wake Forest,11.91,114.8,102.9,69.7
South Carolina,11.61,115.9,104.2,66.2
George Mason,11.59,116.5,104.9,64.8
California,11.47,115.5,104.1,67.1
George Washington,11.45,120.8,109.3,70.2
Stanford,11.17,115.4,104.2,67.7
Notre Dame,11.13,114.7,103.6,65.2
Colorado,10.82,118.7,107.9,69.1
Yale,10.69,123.0,112.4,65.9
Team,,,,
South Florida,10.53,116.5,106.0,72.4
Minnesota,10.32,114.2,103.9,63.5
Mississippi St.,10.29,114.2,104.0,69.0
Kansas St.,10.05,116.9,106.8,72.4
Grand Canyon,9.97,110.8,100.8,67.9
Arizona St.,9.96,118.9,109.0,70.2
Murray St.,9.87,119.5,109.6,71.9
Illinois St.,9.41,115.0,105.6,66.5
Oregon,9.22,115.6,106.3,66.1
Miami OH,9.04,118.0,108.9,71.0
Colorado St.,9.02,121.9,112.8,62.3
Memphis,9.0,109.2,100.2,69.2
Florida Atlantic,8.95,114.7,105.7,70.8
Xavier,8.86,114.1,105.2,70.2
Utah Valley,8.7,114.1,105.4,70.4
Pittsburgh,8.08,116.2,108.2,64.4
High Point,8.04,120.0,112.0,69.6
Stephen F. Austin,8.02,111.5,103.4,65.7
Liberty,7.87,119.1,111.2,64.0
Georgetown,7.31,115.6,108.3,66.7
Hawaii,7.26,107.0,99.8,68.9
Wichita St.,7.04,114.7,107.6,65.3
Wyoming,6.83,115.3,108.5,67.0
UC San Diego,6.57,115.9,109.3,67.0
