TeamName,AdjEM,AdjOE,AdjDE,AdjTempo
Michigan,38.54,126.4,87.9,75.1
Arizona,34.35,125.0,90.6,72.4
Iowa St.,33.49,124.3,90.8,70.8
Purdue,32.57,128.7,96.1,66.1
Gonzaga,31.84,126.4,94.6,72.3
Connecticut,31.06,121.7,90.6,66.8
Vanderbilt,30.08,125.5,95.4,72.2
Illinois,29.91,127.7,97.8,67.7
Duke,29.83,123.4,93.6,69.4
BYU,28.03,125.4,97.4,71.1
Louisville,27.55,126.3,98.7,72.1
Houston,27.28,121.4,94.1,64.7
Florida,26.54,120.8,94.2,71.4
Tennessee,25.71,120.3,94.6,67.9
Michigan St.,25.44,118.7,93.3,67.6
Alabama,25.26,127.5,102.3,74.7
Kansas,25.08,117.8,92.7,68.5
Iowa,23.61,120.9,97.3,64.3
St. John's,23.45,121.2,97.7,71.7
Kentucky,22.97,120.5,97.6,69.6
Texas Tech,22.43,123.3,100.9,68.4
North Carolina,22.1,118.6,96.5,67.9
Nebraska,22.07,120.1,98.1,69.6
N.C. State,21.47,120.2,98.7,71.2
Georgia,21.16,121.1,100.0,76.3
Virginia,21.03,122.0,101.0,67.9
Villanova,21.01,119.8,98.8,64.5
Arkansas,20.89,122.3,101.4,72.5
Indiana,20.66,117.5,96.8,69.8
Baylor,20.62,125.6,104.9,70.9
Saint Mary's,20.17,118.3,98.1,67.3
Utah St.,20.1,118.0,97.9,70.5
UCLA,19.91,120.7,100.8,67.1
Auburn,19.51,122.7,103.2,69.5
Clemson,19.05,117.3,98.3,65.9
Ohio St.,19.04,120.6,101.6,70.0
LSU,18.74,121.2,102.5,69.6
Miami FL,18.74,117.2,98.5,71.3
USC,18.59,119.8,101.2,71.8
Saint Louis,18.31,119.9,101.5,73.2
Team,,,,
SMU,18.23,120.9,102.6,70.3
Wisconsin,16.82,117.0,100.2,71.4
VCU,16.64,119.4,102.8,70.8
Creighton,16.6,117.5,100.9,68.1
UCF,16.32,120.4,104.1,70.5
Texas,16.07,120.4,104.3,69.9
Seton Hall,16.0,111.3,95.3,67.2
Butler,15.97,118.2,102.2,71.2
Washington,15.87,115.1,99.2,69.4
Texas A&M,15.79,118.0,102.2,73.9
San Diego St.,15.72,115.4,99.7,69.4
Boise St.,15.64,112.6,97.0,67.9
Oklahoma,15.05,121.5,106.4,67.7
Northwestern,14.31,117.3,103.0,67.8
TCU,14.27,112.3,98.0,68.3
Akron,13.89,123.9,110.0,73.1
Mississippi,13.58,114.0,100.5,66.5
Notre Dame,13.3,112.6,99.3,66.1
Santa Clara,13.14,118.3,105.2,70.5
Oklahoma St.,13.02,117.1,104.1,75.2
Wake Forest,12.92,112.7,99.8,71.2
Virginia Tech,12.83,114.0,101.1,69.8
Cincinnati,12.63,106.1,93.4,71.2
Missouri,12.5,118.8,106.3,68.6
Nevada,12.24,116.3,104.0,67.1
Tulsa,12.23,119.4,107.1,69.4
West Virginia,12.17,112.6,100.4,64.5
George Washington,11.97,120.7,108.8,71.1
McNeese,11.95,113.9,101.9,69.1
New Mexico,11.85,111.6,99.7,70.6
Belmont,11.8,115.2,103.4,71.4
Dayton,11.8,111.4,99.6,69.5
Memphis,11.79,109.4,97.6,70.5
Oregon,11.7,115.9,104.2,68.7
California,11.68,113.8,102.1,68.6
Kansas St.,11.64,117.6,106.0,73.8
Providence,11.19,119.3,108.1,73.2
Arizona St.,10.95,116.1,105.1,70.2
Illinois St.,10.89,113.8,103.0,67.9
Syracuse,10.81,111.4,100.6,68.8
Team,,,,
Mississippi St.,10.58,113.8,103.2,70.0
Utah Valley,10.54,110.9,100.3,70.9
South Florida,10.32,114.3,103.9,73.4
