TeamName,AdjEM,AdjOE,AdjDE,AdjTempo
Duke,29.28,122.3,93.1,71.0
Gonzaga,29.1,121.6,92.5,73.9
Houston,28.92,118.0,89.0,67.9
Illinois,28.35,123.1,94.7,74.4
Kentucky,28.19,121.7,93.5,73.3
Connecticut,28.03,122.6,94.6,69.3
Purdue,27.29,125.4,98.1,69.1
Iowa St.,26.87,118.0,91.1,72.7
Louisville,26.31,124.2,97.9,74.8
Florida,26.09,119.5,93.4,75.9
Arizona,25.67,120.9,95.3,74.3
Tennessee,24.69,116.2,91.5,69.7
Texas Tech,24.5,121.1,96.6,70.2
Michigan,24.4,118.2,93.8,74.1
Vanderbilt,24.13,122.3,98.1,73.7
Wisconsin,23.38,119.7,96.4,71.1
BYU,23.31,122.1,98.8,70.0
Alabama,22.78,120.3,97.5,77.3
Baylor,22.4,118.6,96.2,71.0
Indiana,22.23,119.5,97.3,71.1
Clemson,22.18,118.5,96.3,68.2
St. John's,22.16,118.7,96.5,75.6
USC,22.03,117.9,95.9,75.1
Kansas,21.17,115.6,94.4,70.8
Arkansas,21.06,116.6,95.6,73.5
North Carolina,21.04,118.1,97.0,75.1
Mississippi,20.7,117.6,96.9,70.4
N.C. State,20.63,118.0,97.3,71.5
UCLA,20.17,116.7,96.6,68.0
San Diego St.,20.14,113.2,93.1,70.1
Georgia,20.13,117.5,97.4,74.1
Michigan St.,19.54,114.5,95.0,70.2
Ohio St.,19.42,120.5,101.1,71.9
Auburn,18.99,117.8,98.8,71.4
Mississippi St.,18.94,117.7,98.8,72.4
Saint Mary's,18.54,115.2,96.6,67.4
Missouri,18.51,119.2,100.7,72.8
Texas,18.09,114.9,96.8,71.6
Cincinnati,17.8,108.7,90.9,74.7
Utah St.,17.56,117.6,100.0,72.0
Team,,,,
LSU,17.37,115.6,98.2,71.5
Northwestern,17.33,113.9,96.6,69.5
Iowa,17.25,117.2,99.9,66.7
Villanova,17.15,115.1,98.0,69.7
Boise St.,16.77,115.9,99.1,71.6
Virginia,16.69,116.5,99.8,68.3
Nebraska,16.4,114.6,98.2,72.3
Texas A&M,16.1,114.7,98.6,73.9
Washington,15.84,114.9,99.1,71.7
Oklahoma St.,15.5,113.5,98.0,75.5
SMU,15.43,116.2,100.8,73.2
Memphis,14.85,113.5,98.7,73.5
Creighton,14.79,116.4,101.6,71.2
Kansas St.,14.7,114.1,99.4,73.3
Wake Forest,14.67,111.8,97.2,74.4
Oregon,14.65,110.1,95.5,71.9
Maryland,14.4,110.3,95.9,70.5
Syracuse,14.17,113.9,99.8,72.6
Miami FL,14.08,113.7,99.6,73.1
Oklahoma,14.07,115.1,101.0,71.4
VCU,14.02,110.8,96.8,75.7
Colorado St.,13.9,117.4,103.5,69.7
Marquette,13.69,112.5,98.8,74.1
Minnesota,13.66,113.3,99.6,70.2
Yale,13.49,114.3,100.8,71.9
Pittsburgh,13.42,112.1,98.7,69.6
Virginia Tech,13.32,114.7,101.4,72.6
Saint Louis,13.3,113.5,100.2,75.5
Dayton,13.27,110.6,97.4,70.1
Butler,12.93,113.0,100.1,74.0
Notre Dame,12.84,114.2,101.4,69.2
Florida St.,12.78,112.3,99.5,74.4
Providence,12.72,115.1,102.3,74.1
Georgetown,12.23,110.7,98.5,71.8
Santa Clara,11.38,113.3,101.9,72.0
Akron,11.27,113.6,102.4,74.2
West Virginia,10.92,109.7,98.8,67.0
UCF,10.87,114.5,103.6,73.7
George Washington,10.8,113.1,102.3,73.4
Arizona St.,10.63,110.9,100.3,72.5
Team,,,,
High Point,10.57,115.1,104.5,71.7
Liberty,10.35,114.8,104.4,68.4
California,10.22,110.4,100.1,72.4
North Texas,10.05,108.1,98.0,68.1
Stanford,9.88,110.3,100.4,72.3
Rutgers,9.78,109.0,99.2,70.7
San Francisco,9.73,110.0,100.3,72.4
Penn St.,9.33,110.5,101.2,70.9
George Mason,9.33,110.1,100.7,69.7
Seton Hall,9.18,107.4,98.2,68.4
Nevada,9.14,110.2,101.0,68.9
TCU,8.99,110.0,101.0,71.8
Georgia Tech,8.46,104.7,96.2,72.2
Grand Canyon,8.45,111.6,103.2,72.9
