TeamName,AdjEM,AdjOE,AdjDE,AdjTempo
Michigan,38.53,126.3,87.8,75.1
Arizona,34.34,124.9,90.6,72.4
Iowa St.,33.49,124.2,90.8,70.8
Purdue,32.57,128.6,96.0,66.1
Gonzaga,31.85,126.3,94.5,72.3
Connecticut,31.05,121.6,90.5,66.8
Vanderbilt,30.13,125.3,95.2,72.3
Duke,29.88,123.4,93.5,69.4
Illinois,29.88,127.5,97.6,67.7
BYU,27.77,125.3,97.5,71.2
Louisville,27.58,126.2,98.6,72.1
Houston,27.26,121.3,94.0,64.7
Florida,26.52,120.7,94.2,71.4
Tennessee,25.68,120.2,94.5,67.9
Michigan St.,25.45,118.6,93.1,67.6
Alabama,25.25,127.5,102.2,74.6
Kansas,25.14,117.8,92.7,68.6
Iowa,23.61,120.8,97.2,64.3
St. John's,23.43,121.1,97.7,71.7
Kentucky,22.91,120.4,97.5,69.6
Texas Tech,22.42,123.2,100.8,68.4
Nebraska,22.09,120.1,98.0,69.5
North Carolina,22.09,118.5,96.4,68.0
N.C. State,21.49,120.2,98.7,71.2
Georgia,21.06,121.0,99.9,76.3
Virginia,21.01,121.9,100.9,67.9
Arkansas,20.98,122.2,101.2,72.5
Villanova,20.96,119.7,98.7,64.5
Indiana,20.69,117.4,96.7,69.8
Baylor,20.62,125.4,104.8,70.7
Utah St.,20.21,118.0,97.8,70.3
Saint Mary's,20.13,118.2,98.1,67.3
UCLA,19.88,120.7,100.8,67.1
Auburn,19.45,122.6,103.1,69.4
Clemson,18.95,117.2,98.2,66.0
Ohio St.,18.91,120.5,101.6,70.0
LSU,18.72,121.2,102.4,69.5
USC,18.7,119.9,101.2,71.8
Miami FL,18.67,117.1,98.5,71.3
SMU,18.35,120.7,102.4,70.3
Team,,,,
Saint Louis,18.19,119.8,101.6,73.2
Wisconsin,16.8,117.0,100.2,71.4
Creighton,16.76,117.5,100.8,68.2
VCU,16.72,119.5,102.8,70.8
UCF,16.24,120.2,103.9,70.5
Texas,16.1,120.3,104.2,69.9
Seton Hall,16.02,111.3,95.3,67.2
Butler,16.01,118.1,102.1,71.3
Washington,15.85,115.0,99.1,69.4
Texas A&M,15.81,117.9,102.1,74.0
San Diego St.,15.76,115.3,99.6,69.3
Boise St.,15.72,112.5,96.8,67.9
Oklahoma,15.12,121.5,106.4,67.7
Northwestern,14.33,117.3,103.0,67.7
TCU,14.19,112.2,98.1,68.3
Akron,13.85,123.8,110.0,73.1
Mississippi,13.6,113.9,100.3,66.4
Santa Clara,13.27,118.3,105.0,70.4
Notre Dame,13.08,112.5,99.4,66.0
Oklahoma St.,13.08,117.1,104.0,75.2
Wake Forest,12.9,112.6,99.7,71.2
Virginia Tech,12.83,113.9,101.0,69.8
Cincinnati,12.68,105.9,93.3,71.2
Missouri,12.43,118.7,106.3,68.6
West Virginia,12.24,112.6,100.3,64.5
Tulsa,12.18,119.3,107.1,69.4
Nevada,12.16,116.2,104.1,67.2
Belmont,12.0,116.0,104.0,71.3
Oregon,11.94,116.0,104.0,68.7
McNeese,11.93,113.8,101.9,69.1
George Washington,11.92,120.6,108.7,71.1
New Mexico,11.8,111.4,99.6,70.7
Memphis,11.76,109.3,97.6,70.5
Dayton,11.75,111.3,99.5,69.4
California,11.73,113.7,101.9,68.5
Kansas St.,11.63,117.6,105.9,73.8
Illinois St.,11.42,113.0,101.6,68.1
Arizona St.,11.27,116.1,104.9,70.3
Providence,11.18,119.2,108.1,73.2
Syracuse,10.79,111.4,100.6,68.8
Team,,,,
Utah Valley,10.68,111.7,101.0,71.1
Mississippi St.,10.49,113.7,103.2,70.0
Yale,10.32,121.9,111.6,66.7
South Florida,10.3,114.2,103.9,73.4
Hawaii,10.15,106.1,96.0,69.9
South Carolina,10.07,113.8,103.7,67.4
Colorado,9.99,117.8,107.8,70.1
Wichita St.,9.79,113.6,103.8,66.2
Colorado St.,9.74,120.7,111.0,63.8
George Mason,9.54,114.4,104.9,66.7
High Point,9.51,119.2,109.7,71.0
Stanford,9.38,111.0,101.6,70.4
Northern Iowa,9.36,105.5,96.1,63.7
Pittsburgh,9.35,114.2,104.8,65.0
UC San Diego,8.85,114.1,105.3,69.5
Murray St.,8.61,116.6,108.0,73.3
Grand Canyon,8.48,109.3,100.8,68.8
Wyoming,8.16,112.0,103.8,70.2
San Francisco,7.8,112.5,104.7,66.6
Minnesota,7.44,110.0,102.6,64.5
Maryland,7.31,111.2,103.9,69.2
Hofstra,7.22,112.3,105.0,67.4
Liberty,6.94,115.5,108.6,65.3
Xavier,6.93,111.0,104.1,71.6
Florida Atlantic,6.92,114.5,107.6,70.7
Georgetown,6.82,114.2,107.3,68.7
Miami OH,6.75,115.3,108.6,72.2
UAB,6.12,112.5,106.3,70.1
Florida St.,5.88,111.4,105.5,74.9
Seattle,5.66,105.3,99.6,70.0
William & Mary,5.64,110.6,105.0,75.1
DePaul,5.64,107.2,101.5,69.2
St. Bonaventure,5.44,113.2,107.7,67.9
Bowling Green,5.4,107.8,102.4,69.6
UNC Wilmington,4.92,112.4,107.5,65.7
Sam Houston St.,4.89,112.7,107.8,72.4
Rhode Island,4.86,108.1,103.2,67.7
Marquette,4.8,109.5,104.7,71.7
Loyola Marymount,4.58,106.7,102.1,68.0
Richmond,4.5,111.3,106.8,69.8
Team,,,,
Stephen F. Austin,4.35,108.3,104.0,67.3
Southern Illinois,4.34,108.6,104.3,72.1
Bradley,4.13,109.0,104.8,69.0
Georgia Tech,4.1,108.1,104.0,71.4
Utah,3.98,113.4,109.4,69.8
Duquesne,3.94,110.9,107.0,72.6
East Tennessee St.,3.77,111.5,107.7,68.2
Penn St.,3.52,113.6,110.1,68.9
New Mexico St.,3.18,109.0,105.8,68.3
Arkansas St.,3.1,112.1,109.0,73.9
Troy,3.09,110.6,107.5,68.8
Kent St.,2.97,111.9,109.0,73.4
Davidson,2.88,110.2,107.3,66.1
Columbia,2.8,109.3,106.5,68.7
UC Irvine,2.69,103.3,100.6,69.3
North Texas,2.59,101.3,98.8,65.8
Wright St.,2.52,108.7,106.1,67.4
St. Thomas,2.46,110.3,107.8,69.3
Cal Baptist,2.31,107.1,104.8,68.1
Pacific,2.26,108.5,106.2,67.0
North Dakota St.,2.1,109.2,107.1,69.0
UNLV,2.07,110.8,108.7,73.1
Lipscomb,1.93,108.6,106.7,71.3
Oakland,1.87,116.2,114.3,72.5
Winthrop,1.51,114.7,113.2,69.4
Middle Tennessee,1.45,108.2,106.8,67.0
Towson,1.32,106.5,105.2,63.8
Temple,1.01,113.8,112.8,67.6
Quinnipiac,0.87,106.1,105.2,72.1
Drake,0.86,109.8,108.9,66.8
UC Santa Barbara,0.77,113.4,112.7,65.9
Furman,0.76,108.9,108.2,68.5
Marist,0.73,100.8,100.1,68.1
Boston College,0.65,103.0,102.4,66.9
Elon,0.58,116.0,115.4,69.3
UT Arlington,0.35,102.3,101.9,66.3
Washington St.,0.32,108.3,108.0,68.5
UC Davis,0.32,109.1,108.8,70.1
Montana St.,0.26,108.3,108.1,67.1
Western Kentucky,0.2,107.9,107.7,72.3
Team,,,,
Rutgers,0.19,106.1,105.9,67.1
Northern Colorado,-0.01,110.8,110.8,70.5
Mercer,-0.02,108.9,108.9,71.1
Kennesaw St.,-0.04,109.2,109.2,74.7
Cornell,-0.15,116.9,117.0,74.3
Idaho St.,-0.25,110.2,110.5,65.6
Toledo,-0.28,112.9,113.2,70.6
Marshall,-0.42,108.4,108.9,70.6
Incarnate Word,-0.47,111.9,112.4,67.5
Tarleton St.,-0.56,107.3,107.9,71.6
Fresno St.,-1.01,105.7,106.7,69.8
Buffalo,-1.12,111.7,112.8,67.4
Charleston,-1.39,108.5,109.9,68.5
Siena,-1.45,104.2,105.7,66.9
Youngstown St.,-1.51,105.7,107.2,68.0
Massachusetts,-1.57,104.0,105.5,73.3
South Dakota St.,-1.58,108.0,109.5,69.9
Portland St.,-1.61,103.1,104.7,70.8
Louisiana Tech,-1.65,102.1,103.8,65.4
Oregon St.,-1.85,108.0,109.9,66.4
Harvard,-1.96,106.7,108.6,66.1
Iona,-1.99,106.3,108.3,73.1
Florida Gulf Coast,-2.09,111.7,113.8,69.9
FIU,-2.1,107.8,110.0,73.3
Colgate,-2.17,108.0,110.2,68.3
Robert Morris,-2.17,107.9,110.1,66.8
Idaho,-2.44,108.9,111.3,66.9
Indiana St.,-2.5,104.9,107.4,70.2
Austin Peay,-2.51,102.9,105.4,70.3
Tulane,-2.59,109.8,112.4,66.9
Fordham,-2.65,103.7,106.4,65.0
Ohio,-2.79,106.1,108.9,70.7
Southern Miss,-2.86,106.8,109.7,69.0
Charlotte,-3.06,109.2,112.2,64.4
South Alabama,-3.12,106.4,109.5,65.9
Vermont,-3.13,111.1,114.3,66.5
Valparaiso,-3.25,103.4,106.7,67.4
San Jose St.,-3.28,108.3,111.6,66.5
Montana,-3.29,108.6,111.9,70.6
San Diego,-3.4,107.2,110.6,70.4
Team,,,,
Illinois Chicago,-3.48,106.4,109.9,68.6
Milwaukee,-3.51,108.1,111.7,69.6
Eastern Michigan,-3.59,104.6,108.2,67.3
Saint Joseph's,-3.74,104.5,108.2,69.0
Navy,-3.76,104.3,108.1,68.8
LIU,-3.77,106.6,110.4,71.2
Northeastern,-3.85,108.1,112.0,69.8
Northern Kentucky,-3.94,105.6,109.5,70.9
UT Rio Grande Valley,-3.95,104.7,108.7,69.7
Utah Tech,-4.01,105.6,109.7,67.6
New Orleans,-4.09,108.6,112.7,71.1
CSUN,-4.13,108.3,112.4,74.4
Tennessee Martin,-4.32,103.7,108.0,66.4
Cal St. Fullerton,-4.47,107.2,111.7,76.4
Penn,-4.49,107.5,112.0,71.2
Texas A&M Corpus Chris,-4.53,102.7,107.2,67.2
Georgia Southern,-4.65,108.8,113.5,71.9
Nicholls,-4.69,105.9,110.6,69.8
James Madison,-5.03,110.4,115.4,66.8
Campbell,-5.04,106.9,111.9,71.3
Jacksonville St.,-5.09,102.6,107.7,65.6
Samford,-5.17,106.1,111.2,67.5
Weber St.,-5.18,108.0,113.2,70.6
Wofford,-5.23,105.5,110.8,68.7
UTEP,-5.31,102.8,108.1,66.9
Charleston Southern,-5.33,104.9,110.2,71.9
Queens,-5.36,115.3,120.6,69.8
Lindenwood,-5.6,102.5,108.1,73.2
Cal Poly,-5.61,104.8,110.4,76.0
Central Arkansas,-5.74,104.8,110.5,70.1
Portland,-5.78,103.9,109.7,71.2
Lamar,-5.78,100.9,106.7,67.9
Southeast Missouri,-5.92,104.0,109.9,72.4
Coastal Carolina,-6.0,100.0,106.0,70.9
Tennessee St.,-6.17,102.7,108.9,72.2
Appalachian St.,-6.19,103.1,109.3,63.9
Missouri St.,-6.31,101.6,107.9,65.5
Brown,-6.32,99.6,106.0,67.5
Abilene Christian,-6.39,101.5,107.9,66.9
American,-6.4,105.5,111.9,70.0
Team,,,,
Radford,-6.63,106.2,112.8,73.6
Old Dominion,-6.68,104.7,111.4,70.0
Monmouth,-6.71,104.3,111.0,67.8
Southern,-6.87,103.8,110.7,72.4
Grambling St.,-7.06,102.5,109.6,68.5
Dartmouth,-7.12,104.5,111.6,72.0
Green Bay,-7.15,107.7,114.9,65.1
Hampton,-7.24,103.5,110.7,67.4
Chattanooga,-7.34,106.9,114.3,66.6
Bellarmine,-7.34,111.7,119.1,67.2
Princeton,-7.54,100.5,108.0,66.8
Long Beach St.,-7.61,106.7,114.4,68.6
La Salle,-7.62,103.3,110.9,66.0
Stony Brook,-7.63,101.4,109.0,66.8
SIUE,-7.71,99.2,107.0,66.9
Purdue Fort Wayne,-7.75,105.1,112.8,69.8
Merrimack,-7.76,102.9,110.7,65.5
Eastern Washington,-7.79,109.1,116.9,70.7
UNC Asheville,-7.85,103.9,111.8,67.0
Denver,-7.86,113.4,121.2,69.2
Nebraska Omaha,-7.97,106.6,114.5,67.9
Rice,-8.18,103.9,112.1,67.1
Eastern Kentucky,-8.29,106.5,114.7,69.7
Bethune Cookman,-8.5,104.1,112.6,68.9
Pepperdine,-8.64,100.2,108.8,67.5
UMBC,-8.69,104.8,113.5,68.3
Howard,-8.76,100.7,109.4,69.1
USC Upstate,-8.85,101.5,110.3,69.4
Texas St.,-8.9,102.4,111.3,67.4
Western Michigan,-8.95,106.0,115.0,70.0
Central Connecticut,-8.99,102.3,111.3,67.4
Norfolk St.,-9.02,100.4,109.4,68.0
Evansville,-9.19,99.6,108.8,69.9
Southeastern Louisiana,-9.25,99.5,108.8,67.4
Detroit Mercy,-9.34,103.9,113.3,69.7
Houston Christian,-9.37,105.7,115.1,64.9
Sacramento St.,-9.65,102.0,111.6,73.4
UC Riverside,-9.73,105.6,115.4,69.1
Fairfield,-9.75,104.2,113.9,68.9
North Alabama,-9.8,102.6,112.4,67.7
Team,,,,
Alabama A&M,-9.9,100.7,110.6,66.6
Loyola Chicago,-10.0,105.9,115.9,66.4
Sacred Heart,-10.08,104.9,114.9,69.9
East Carolina,-10.12,98.9,109.1,71.1
Western Carolina,-10.22,102.3,112.5,72.0
UNC Greensboro,-10.23,104.5,114.7,68.3
Drexel,-10.32,102.1,112.4,66.3
Alabama St.,-10.37,105.5,115.8,69.4
Longwood,-10.41,103.1,113.5,70.8
Presbyterian,-10.53,100.4,110.9,63.7
Saint Peter's,-10.54,99.8,110.4,66.5
Boston University,-10.55,109.7,120.2,64.3
South Dakota,-10.68,106.3,117.0,71.9
Northern Arizona,-10.76,100.7,111.5,67.6
Delaware,-10.85,100.8,111.7,66.1
Mount St. Mary's,-10.99,99.1,110.1,70.0
UTSA,-11.34,98.9,110.3,71.3
Wagner,-11.55,102.1,113.7,68.5
