TeamName,AdjEM,AdjOE,AdjDE,AdjTempo
Houston,29.57,118.9,89.3,68.0
Kentucky,29.32,120.4,91.1,73.7
Illinois,28.71,122.8,94.1,74.9
Connecticut,28.07,121.5,93.4,69.8
Florida,28.03,121.2,93.2,75.5
Duke,27.65,121.1,93.4,70.0
Purdue,27.3,124.6,97.3,69.4
Gonzaga,26.82,121.1,94.3,74.2
Michigan,25.9,119.0,93.1,74.4
Arizona,25.4,120.6,95.2,75.0
Louisville,25.25,121.7,96.5,75.1
Iowa St.,25.03,115.1,90.1,72.3
Texas Tech,24.19,120.4,96.2,70.8
St. John's,24.05,117.7,93.7,75.0
Tennessee,23.73,114.9,91.2,69.7
Vanderbilt,23.27,118.3,95.0,74.1
BYU,23.05,120.5,97.4,71.6
Wisconsin,22.62,119.0,96.4,71.8
Baylor,22.02,118.3,96.3,71.2
North Carolina,21.63,118.5,96.9,74.0
USC,21.61,116.2,94.6,74.3
Clemson,21.54,116.7,95.1,69.9
Alabama,21.09,117.5,96.5,76.9
N.C. State,21.07,117.4,96.3,71.8
San Diego St.,21.0,112.5,91.5,71.4
Arkansas,20.94,116.9,96.0,74.6
Mississippi,20.78,115.3,94.6,71.9
Mississippi St.,20.72,116.7,96.0,72.0
Kansas,20.7,115.5,94.8,71.4
UCLA,20.59,116.2,95.6,68.8
Texas A&M,19.79,116.1,96.3,75.2
Indiana,19.45,116.1,96.7,70.9
Georgia,19.35,115.3,95.9,73.0
Michigan St.,19.25,114.7,95.4,71.4
Ohio St.,18.93,119.9,100.9,73.5
Auburn,18.25,116.6,98.4,71.7
Saint Mary's,17.7,114.1,96.4,67.3
Missouri,17.59,117.8,100.2,72.8
Utah St.,17.55,116.8,99.3,72.4
Iowa,17.35,116.4,99.1,67.0
Team,,,,
Cincinnati,17.3,109.5,92.2,73.0
Texas,16.89,113.0,96.1,72.4
Creighton,16.73,117.1,100.4,71.6
Marquette,16.43,112.0,95.6,73.9
