TeamName,AdjEM,AdjOE,AdjDE,AdjTempo
Houston,29.56,119.2,89.7,67.6
Purdue,29.15,125.6,96.4,70.0
Kentucky,28.95,121.2,92.2,73.7
Florida,27.94,121.7,93.7,74.6
Illinois,27.8,122.1,94.3,74.3
Connecticut,27.35,121.5,94.1,68.8
Gonzaga,26.86,121.5,94.7,73.8
Duke,26.38,121.5,95.1,70.5
Michigan,25.71,119.2,93.5,74.1
Arizona,25.39,120.4,95.0,75.3
Louisville,24.79,121.6,96.8,74.4
Iowa St.,24.49,114.7,90.2,71.5
Texas Tech,24.22,119.5,95.3,69.6
St. John's,23.89,117.9,94.0,74.4
Tennessee,23.73,115.3,91.5,69.3
Vanderbilt,23.27,118.7,95.4,73.7
BYU,23.05,120.8,97.8,71.2
Wisconsin,22.68,119.0,96.3,71.3
Kansas,22.49,115.9,93.4,71.4
UCLA,22.11,116.7,94.6,69.4
Baylor,22.02,118.7,96.6,70.8
Mississippi,21.85,116.5,94.6,70.7
USC,21.61,116.5,94.9,73.9
Alabama,21.13,117.9,96.7,76.4
Arkansas,20.93,117.3,96.4,74.3
Clemson,20.78,116.3,95.5,69.6
Mississippi St.,20.55,117.2,96.7,71.6
Missouri,20.33,118.9,98.6,71.8
San Diego St.,20.0,113.5,93.5,70.6
North Carolina,19.82,117.1,97.2,74.2
N.C. State,19.67,117.0,97.3,71.2
Cincinnati,19.56,111.8,92.3,72.2
Texas A&M,19.44,115.9,96.4,74.4
Michigan St.,19.37,115.0,95.6,70.9
Oregon,18.67,115.8,97.2,71.9
Ohio St.,18.43,119.8,101.4,74.0
Georgia,18.38,115.5,97.1,72.1
Maryland,18.33,112.9,94.6,70.8
Texas,18.16,114.7,96.6,72.9
Indiana,18.16,115.8,97.6,70.4
Team,,,,
Creighton,17.75,117.5,99.8,71.6
Utah St.,17.5,117.6,100.1,71.9
Auburn,17.23,116.0,98.8,71.6
Washington,17.19,115.8,98.7,71.8
SMU,17.16,117.2,100.0,72.7
Marquette,16.52,111.1,94.6,72.8
Saint Mary's,16.41,113.3,96.9,66.8
Iowa,16.27,115.2,98.9,66.1
Dayton,16.21,113.1,96.9,69.0
Nebraska,16.09,115.1,99.0,72.1
Villanova,15.46,112.2,96.7,70.8
Virginia,15.44,114.9,99.5,69.4
Memphis,14.96,112.6,97.6,74.4
Boise St.,14.81,114.0,99.2,70.6
Oklahoma,14.67,115.2,100.5,72.2
LSU,14.33,113.1,98.8,72.0
Wake Forest,14.14,113.3,99.1,73.0
Northwestern,13.89,111.1,97.2,69.9
VCU,13.82,110.7,96.9,75.3
Kansas St.,13.5,113.1,99.6,71.8
Syracuse,13.38,113.9,100.5,72.4
Pittsburgh,13.37,112.7,99.3,69.6
Providence,13.28,113.5,100.2,72.3
Saint Louis,13.04,112.4,99.4,73.1
Colorado St.,12.79,114.6,101.8,70.5
Virginia Tech,12.28,113.0,100.7,71.4
Minnesota,12.02,112.2,100.2,70.3
West Virginia,11.93,112.4,100.5,67.2
Oklahoma St.,11.59,112.2,100.6,75.1
Xavier,11.54,110.8,99.2,74.0
Notre Dame,11.34,111.8,100.5,69.7
Butler,11.23,112.2,101.0,71.9
UCF,11.18,111.5,100.4,74.2
Miami FL,11.05,111.5,100.4,72.3
Arizona St.,10.97,111.2,100.2,72.9
Grand Canyon,10.74,111.4,100.7,73.4
DePaul,10.71,111.1,100.4,71.6
George Washington,10.66,111.8,101.1,71.4
Utah,10.5,111.6,101.1,72.1
Seton Hall,10.17,107.5,97.3,68.8
Team,,,,
California,10.08,110.2,100.1,72.3
George Mason,10.07,108.1,98.0,68.9
High Point,9.97,114.0,104.1,71.8
San Francisco,9.49,110.5,101.0,72.1
Rutgers,9.45,107.9,98.5,72.2
South Carolina,9.25,110.6,101.3,69.7
Akron,9.25,111.9,102.6,73.5
Georgetown,9.05,109.8,100.8,72.0
North Texas,8.52,107.2,98.6,69.9
Stanford,8.51,109.1,100.6,70.5
Nevada,8.43,108.6,100.2,70.0
TCU,8.34,108.2,99.9,72.0
Colorado,8.23,109.9,101.7,71.5
Georgia Tech,8.21,107.2,99.0,70.4
UAB,7.85,111.7,103.9,74.7
Florida St.,7.77,109.9,102.1,72.5
South Florida,7.76,109.2,101.5,74.2
New Mexico,7.53,107.4,99.9,71.5
Boston College,7.33,108.7,101.4,70.8
Liberty,7.16,110.2,103.0,69.8
McNeese,7.07,108.7,101.6,71.2
Yale,7.07,110.1,103.0,71.5
Penn St.,6.67,107.9,101.3,72.7
Belmont,6.19,109.2,103.1,73.3
Santa Clara,6.11,109.9,103.8,73.2
Rhode Island,6.04,108.2,102.1,73.4
Duquesne,5.67,106.6,101.0,70.7
Tulane,5.66,111.3,105.6,71.1
Loyola Chicago,5.58,109.9,104.3,71.5
UNLV,5.58,109.8,104.2,71.3
Utah Valley,5.14,106.1,100.9,72.2
Hawaii,4.78,106.9,102.1,70.5
St. Bonaventure,4.77,106.9,102.2,69.2
UC Irvine,4.55,104.6,100.0,72.7
Saint Joseph's,4.39,107.2,102.8,71.5
Bradley,4.39,106.8,102.4,70.1
Northern Iowa,4.24,107.9,103.7,70.6
Troy,4.11,107.6,103.5,72.4
Chattanooga,3.79,110.6,106.8,71.5
Richmond,3.77,107.8,104.0,69.6
Team,,,,
UNC Wilmington,3.48,109.9,106.4,70.4
Illinois St.,3.43,109.6,106.2,70.2
Miami OH,3.22,107.8,104.6,73.1
Drake,3.01,107.6,104.6,71.2
Seattle,2.93,103.9,101.0,72.3
Illinois Chicago,2.5,105.4,102.9,73.4
UC Santa Barbara,2.33,107.8,105.5,70.3
Murray St.,2.18,106.7,104.5,72.4
Wichita St.,2.07,107.6,105.5,73.0
Southern Illinois,1.95,106.1,104.1,72.9
Florida Atlantic,1.72,107.3,105.6,72.6
Temple,1.65,107.2,105.5,72.3
Charleston,1.64,107.7,106.1,72.9
Towson,1.56,105.8,104.3,68.2
Arkansas St.,1.43,106.4,105.0,72.8
Loyola Marymount,1.33,105.8,104.5,71.1
Kent St.,1.33,108.2,106.8,72.1
Tulsa,1.25,107.1,105.8,71.7
East Tennessee St.,1.05,106.7,105.6,70.4
Oregon St.,1.01,107.8,106.8,68.8
Bowling Green,0.89,104.0,103.1,72.7
Kennesaw St.,0.89,107.3,106.4,74.5
New Mexico St.,0.77,104.3,103.5,70.1
East Carolina,0.47,102.8,102.3,71.0
James Madison,0.43,107.5,107.1,69.6
Hofstra,0.32,104.0,103.7,69.8
UTSA,0.31,106.2,105.9,73.7
UC San Diego,0.13,107.3,107.2,71.2
Winthrop,0.13,106.6,106.5,73.9
Davidson,0.0,106.2,106.2,70.5
Little Rock,-0.12,104.4,104.6,71.8
San Jose St.,-0.34,105.7,106.1,70.4
Louisiana Tech,-0.39,103.7,104.1,69.8
Radford,-0.42,109.0,109.4,69.2
Washington St.,-0.45,106.8,107.3,73.8
Navy,-0.49,104.9,105.4,70.7
Wyoming,-0.49,104.4,104.9,69.4
Jacksonville St.,-0.54,103.3,103.9,69.7
UTEP,-0.77,101.8,102.6,72.7
Middle Tennessee,-0.88,104.3,105.2,72.0
Team,,,,
CSUN,-1.01,103.6,104.6,75.3
Harvard,-1.23,104.2,105.4,70.7
Charlotte,-1.34,108.3,109.6,68.7
