TeamName,AdjEM,AdjOE,AdjDE,AdjTempo
Gonzaga,32.99,125.2,92.2,72.1
Purdue,31.96,129.1,97.2,66.7
Duke,31.87,125.4,93.5,69.7
Michigan,30.79,121.0,90.2,73.1
Houston,27.91,119.8,91.9,65.5
Iowa St.,27.8,121.0,93.2,70.2
Florida,27.65,120.5,92.9,73.5
Arizona,27.43,122.5,95.1,72.1
Louisville,27.32,125.7,98.3,72.3
Tennessee,26.9,121.4,94.5,69.1
BYU,26.58,125.2,98.6,70.8
St. John's,26.35,123.7,97.3,73.6
Illinois,26.24,123.8,97.6,71.6
Kentucky,26.19,121.7,95.5,72.2
Connecticut,26.17,122.5,96.4,67.7
Alabama,25.48,124.8,99.3,75.2
Vanderbilt,24.74,124.8,100.0,71.7
Michigan St.,23.58,117.3,93.7,68.8
Kansas,21.83,116.1,94.2,68.6
Indiana,21.82,118.5,96.7,69.3
North Carolina,21.11,118.7,97.6,72.8
Iowa,20.96,121.4,100.4,65.8
Wisconsin,20.68,121.3,100.6,70.3
Utah St.,20.28,120.3,100.0,70.7
Saint Mary's,20.28,118.1,97.8,66.2
N.C. State,20.27,120.4,100.1,71.9
Texas Tech,20.18,120.0,99.8,68.9
Clemson,19.89,119.6,99.7,67.1
Baylor,19.69,121.1,101.4,70.2
Ohio St.,19.65,119.7,100.1,70.7
Missouri,19.57,122.3,102.7,70.7
USC,19.52,118.7,99.2,73.0
UCLA,19.18,115.8,96.6,67.5
Auburn,18.53,120.8,102.3,70.5
Arkansas,18.34,117.7,99.4,72.2
Mississippi,18.26,118.3,100.0,67.7
LSU,18.05,119.3,101.2,71.7
Georgia,18.03,118.3,100.3,75.0
Wake Forest,17.47,115.2,97.7,72.5
Villanova,17.29,118.3,101.0,66.9
Team,,,,
Nebraska,17.24,119.0,101.8,72.0
Virginia,16.93,119.4,102.4,68.4
Texas,16.67,115.9,99.2,70.0
SMU,16.6,117.8,101.2,72.9
San Diego St.,16.43,116.1,99.7,69.9
Miami FL,15.91,115.4,99.5,72.9
Northwestern,15.81,117.3,101.5,68.2
Cincinnati,15.7,107.8,92.1,73.4
Butler,15.64,116.5,100.9,71.8
Saint Louis,15.46,114.9,99.4,73.9
Kansas St.,14.89,117.5,102.6,74.3
VCU,14.85,113.5,98.7,73.3
Washington,14.82,115.7,100.9,69.0
Santa Clara,14.51,116.1,101.6,70.4
Oklahoma St.,14.25,115.0,100.8,76.0
Virginia Tech,14.14,117.0,102.8,71.1
Syracuse,14.0,113.9,99.9,70.4
Florida St.,13.82,113.3,99.4,75.4
Providence,13.67,116.6,102.9,73.6
Creighton,13.59,116.2,102.6,68.6
Akron,13.56,119.9,106.3,72.5
Oklahoma,13.56,118.9,105.3,69.3
Boise St.,13.51,112.0,98.5,68.7
George Washington,13.21,119.4,106.2,72.7
George Mason,13.0,113.3,100.3,67.0
California,12.74,115.0,102.3,70.8
Seton Hall,12.73,111.2,98.4,67.1
Texas A&M,12.66,115.5,102.8,73.2
UCF,12.56,118.3,105.8,71.5
Dayton,12.4,112.1,99.7,68.9
San Francisco,12.33,114.5,102.2,68.7
Memphis,12.24,112.8,100.5,71.7
Notre Dame,11.67,113.4,101.7,67.7
Yale,11.51,120.3,108.8,67.9
West Virginia,11.31,110.3,99.0,66.2
Marquette,11.31,112.5,101.2,73.1
TCU,11.22,110.9,99.7,69.6
McNeese,11.2,113.2,102.0,68.1
Georgetown,11.18,113.0,101.8,71.4
Mississippi St.,11.08,114.7,103.6,71.3
Team,,,,
Maryland,11.01,111.5,100.5,69.6
Colorado St.,10.91,120.8,109.9,66.2
Arizona St.,10.87,114.7,103.9,71.6
High Point,10.82,118.1,107.3,71.2
South Florida,10.57,116.1,105.6,74.2
Oregon,10.48,113.3,102.8,70.3
Colorado,9.88,117.6,107.7,70.5
Liberty,9.53,116.6,107.0,67.8
South Carolina,9.46,114.1,104.7,68.3
Tulsa,9.42,115.8,106.4,68.6
Northern Iowa,9.32,108.7,99.4,65.5
Xavier,9.28,111.4,102.1,71.5
Wichita St.,8.64,111.6,103.0,69.1
Stanford,8.13,110.2,102.0,72.3
Belmont,7.96,109.3,101.3,73.0
Grand Canyon,7.87,110.5,102.7,71.1
UAB,7.82,113.1,105.3,71.7
New Mexico,7.75,108.1,100.3,71.3
Penn St.,7.74,116.1,108.3,68.2
Pittsburgh,7.67,111.3,103.6,66.3
Georgia Tech,7.49,104.7,97.3,72.3
Rhode Island,7.4,111.2,103.8,68.8
Richmond,7.33,112.9,105.5,69.2
Hawaii,6.77,106.1,99.4,71.5
Minnesota,6.63,109.7,103.1,66.1
Winthrop,6.62,112.9,106.3,71.4
Nevada,6.42,111.6,105.2,68.8
UC San Diego,6.0,112.5,106.5,70.1
Florida Atlantic,5.92,114.9,108.9,68.7
DePaul,5.78,109.3,103.5,70.3
Seattle,5.71,108.3,102.6,70.4
Utah Valley,5.71,109.6,103.9,70.8
North Texas,5.37,105.3,99.9,66.9
UNLV,4.83,113.2,108.4,74.5
UNC Wilmington,4.82,112.7,107.9,66.9
Illinois St.,4.81,110.5,105.7,68.5
Murray St.,4.76,113.3,108.5,73.6
Loyola Marymount,4.71,106.1,101.4,67.8
New Mexico St.,4.65,107.8,103.2,67.3
Towson,4.48,106.2,101.7,65.4
Team,,,,
St. Bonaventure,4.41,111.1,106.7,67.9
Troy,4.3,109.4,105.1,70.1
Boston College,3.99,104.5,100.6,67.8
Kent St.,3.68,113.1,109.4,72.9
Davidson,3.48,108.5,105.1,68.0
Miami OH,3.47,110.9,107.5,71.8
Duquesne,3.39,108.9,105.5,73.5
Southern Illinois,3.37,109.8,106.4,71.9
East Tennessee St.,2.65,108.7,106.0,69.0
Bradley,2.45,108.7,106.3,69.2
William & Mary,2.4,108.7,106.3,75.8
Cal Baptist,2.29,106.4,104.1,68.9
Utah,2.19,109.5,107.3,71.1
Wyoming,2.05,107.0,104.9,70.8
Pacific,1.92,108.5,106.6,68.4
Rutgers,1.8,107.4,105.5,67.8
UC Santa Barbara,1.44,112.0,110.6,68.5
Drake,1.38,107.1,105.7,68.1
Temple,1.14,112.9,111.8,69.3
Oakland,1.11,113.4,112.2,71.4
Bowling Green,1.11,105.7,104.6,72.3
UC Irvine,0.95,100.5,99.5,71.6
Stephen F. Austin,0.88,106.7,105.8,68.5
Wright St.,0.63,107.4,106.8,67.5
Marshall,0.63,108.3,107.6,72.5
Toledo,0.52,113.3,112.7,70.1
Florida Gulf Coast,0.34,109.4,109.0,70.3
Illinois Chicago,0.25,106.8,106.6,70.6
Columbia,0.2,106.7,106.5,68.7
Western Kentucky,0.17,107.8,107.6,73.1
Tulane,-0.03,112.7,112.7,68.5
Marist,-0.26,99.4,99.7,67.1
James Madison,-0.38,113.1,113.5,67.8
Middle Tennessee,-0.4,108.6,109.0,69.8
Washington St.,-0.53,113.5,114.0,69.9
Hofstra,-0.57,105.7,106.3,69.8
Portland St.,-0.72,106.0,106.7,72.6
Charleston,-0.81,108.4,109.2,68.2
Austin Peay,-0.92,102.7,103.7,70.7
South Dakota St.,-1.16,106.5,107.6,70.2
Team,,,,
Navy,-1.21,106.3,107.5,70.1
Saint Joseph's,-1.22,105.6,106.8,71.7
Fresno St.,-1.24,106.6,107.8,71.6
Furman,-1.41,108.1,109.5,68.3
Sam Houston St.,-1.44,108.6,110.1,70.7
Indiana St.,-1.53,103.0,104.5,72.8
Colgate,-1.53,108.1,109.6,68.6
UT Arlington,-1.57,104.2,105.8,70.0
Arkansas St.,-1.77,106.4,108.2,74.4
Siena,-1.78,106.7,108.4,67.1
North Dakota St.,-1.81,107.5,109.4,70.3
Chattanooga,-1.97,110.5,112.5,67.9
Harvard,-1.97,107.2,109.2,67.2
Quinnipiac,-2.03,106.0,108.0,73.5
New Orleans,-2.05,106.0,108.1,71.6
Elon,-2.06,111.8,113.9,69.3
Cornell,-2.07,109.8,111.8,74.3
UC Davis,-2.07,103.6,105.7,69.9
Kennesaw St.,-2.18,108.7,110.9,74.4
South Alabama,-2.19,106.4,108.6,66.0
St. Thomas,-2.24,106.0,108.2,70.1
Montana,-2.35,108.5,110.8,71.9
Youngstown St.,-2.43,104.9,107.4,70.6
Northern Colorado,-2.62,107.4,110.0,72.4
UT Rio Grande Valley,-2.83,107.9,110.8,71.8
Iona,-2.84,106.8,109.6,74.1
Vermont,-2.88,109.7,112.6,68.1
Charlotte,-2.91,110.1,113.0,64.6
Massachusetts,-2.96,103.5,106.5,73.7
Oregon St.,-3.02,107.5,110.5,66.2
Montana St.,-3.09,106.0,109.1,68.2
Mercer,-3.18,107.8,111.0,72.3
Louisiana Tech,-3.3,99.6,102.9,67.4
Jacksonville St.,-3.3,102.9,106.2,68.4
CSUN,-3.32,107.0,110.3,74.6
Northeastern,-3.34,103.7,107.0,70.6
Tarleton St.,-3.39,106.3,109.7,70.4
SIUE,-3.4,102.5,105.9,68.1
Queens,-3.47,112.5,115.9,69.8
Southern,-3.48,104.0,107.5,73.1
Team,,,,
Texas St.,-3.53,102.0,105.5,67.8
Samford,-3.57,108.8,112.3,68.1
Incarnate Word,-3.76,109.6,113.4,67.9
