TeamName,AdjEM,AdjOE,AdjDE,AdjTempo
Michigan,36.26,122.9,86.7,72.6
Iowa St.,34.47,124.4,89.9,69.9
Gonzaga,32.5,123.9,91.4,71.0
Duke,32.21,123.3,91.1,67.4
Arizona,30.21,123.5,93.3,71.8
Purdue,29.35,127.2,97.8,65.6
Connecticut,28.93,121.5,92.6,65.8
Vanderbilt,28.76,126.2,97.5,70.9
BYU,27.91,124.5,96.6,69.5
Houston,27.47,119.2,91.8,63.8
Michigan St.,26.93,118.4,91.5,66.1
Illinois,26.84,123.2,96.4,69.1
Florida,26.71,120.0,93.3,71.6
Louisville,26.54,125.3,98.7,71.8
Alabama,26.28,126.3,100.0,74.1
St. John's,24.4,120.4,96.0,71.6
Tennessee,23.03,118.7,95.6,67.6
Kansas,22.09,116.1,94.0,67.5
Kentucky,22.0,118.7,96.7,69.5
Virginia,21.6,122.3,100.7,67.1
Georgia,21.1,120.3,99.2,74.5
Wisconsin,21.0,119.9,98.9,71.3
Clemson,20.96,120.3,99.3,66.4
North Carolina,20.52,118.2,97.7,69.3
Iowa,20.5,118.8,98.3,64.3
LSU,20.44,119.0,98.5,70.1
Arkansas,20.33,117.7,97.3,71.4
Indiana,20.01,116.9,96.9,69.0
Auburn,19.8,121.7,101.9,68.8
Texas Tech,19.62,118.7,99.1,67.4
UCLA,19.46,117.9,98.4,65.5
Ohio St.,19.15,118.8,99.7,69.7
Baylor,19.04,122.4,103.4,69.6
USC,19.03,120.0,101.0,70.8
Villanova,18.96,119.2,100.3,64.5
Saint Mary's,18.93,116.1,97.2,66.3
Miami FL,18.86,114.9,96.0,70.9
Missouri,18.51,120.3,101.8,69.4
N.C. State,18.2,120.9,102.7,70.7
VCU,17.43,113.5,96.1,71.2
Team,,,,
SMU,16.8,117.5,100.7,70.7
Utah St.,16.5,116.5,100.0,69.3
Texas A&M,16.46,117.6,101.1,71.2
Saint Louis,16.34,114.3,98.0,72.6
San Diego St.,16.09,116.4,100.3,68.5
Oklahoma St.,15.71,117.2,101.5,74.5
Nebraska,15.7,116.4,100.7,70.7
Wake Forest,15.68,115.4,99.7,70.7
Washington,15.6,116.0,100.4,68.3
Butler,15.53,117.3,101.8,70.7
Boise St.,15.49,112.6,97.1,67.2
Mississippi,15.46,115.0,99.5,66.0
Akron,14.88,121.6,106.7,71.7
Creighton,14.78,117.2,102.4,67.0
Seton Hall,14.62,110.2,95.6,66.3
TCU,14.6,112.2,97.6,69.1
Texas,14.6,118.3,103.7,68.7
Oklahoma,14.31,119.1,104.8,67.6
George Washington,13.89,120.7,106.8,71.3
UCF,13.89,118.3,104.4,69.8
Northwestern,13.82,117.2,103.4,67.3
Providence,13.75,118.1,104.4,72.4
Notre Dame,13.58,114.3,100.7,66.1
Syracuse,13.3,111.6,98.3,69.0
Colorado St.,13.25,122.3,109.1,63.8
Colorado,13.17,119.1,105.9,69.2
Virginia Tech,13.08,114.6,101.5,69.6
Dayton,12.87,112.3,99.4,69.7
George Mason,12.7,113.4,100.7,65.9
Santa Clara,12.61,116.5,103.9,69.6
Memphis,12.6,111.6,99.0,69.9
California,12.08,114.2,102.1,68.4
Arizona St.,11.78,115.6,103.8,69.6
Cincinnati,11.51,104.7,93.2,71.1
West Virginia,11.46,110.2,98.7,64.4
Yale,11.39,120.4,109.0,66.0
McNeese,11.32,112.4,101.1,67.1
Mississippi St.,11.09,113.9,102.8,70.1
South Florida,10.43,112.3,101.9,72.8
Utah Valley,10.18,111.0,100.9,70.3
Team,,,,
Tulsa,10.16,116.4,106.2,67.4
Kansas St.,10.07,114.8,104.7,72.9
Xavier,9.98,112.2,102.3,70.6
Stanford,9.88,112.4,102.5,70.6
Belmont,9.6,111.1,101.5,71.7
New Mexico,9.37,111.0,101.6,70.2
South Carolina,9.27,112.8,103.6,66.8
High Point,9.03,117.6,108.6,70.8
Oregon,8.95,112.6,103.7,68.2
Wichita St.,8.92,112.1,103.1,66.4
Georgetown,8.79,113.5,104.7,68.3
Penn St.,8.13,115.2,107.1,67.8
Marquette,8.11,110.7,102.6,71.0
Florida St.,7.99,110.1,102.1,74.1
Liberty,7.93,115.0,107.1,66.3
UC San Diego,7.85,115.0,107.2,68.6
Pittsburgh,7.82,111.4,103.5,64.7
Maryland,7.74,109.4,101.7,69.6
Nevada,7.73,112.0,104.3,67.6
Northern Iowa,7.72,106.7,98.9,63.8
Richmond,7.51,111.6,104.0,69.6
Hawaii,7.24,104.5,97.2,70.6
San Francisco,6.92,111.2,104.2,67.0
Grand Canyon,6.89,107.5,100.6,68.3
Illinois St.,6.86,110.7,103.8,67.8
Rhode Island,6.78,110.4,103.7,67.8
Wyoming,6.67,110.0,103.3,69.4
UNC Wilmington,6.67,113.1,106.4,64.7
St. Bonaventure,6.45,110.2,103.7,67.2
UAB,6.45,111.0,104.5,69.9
Seattle,6.39,108.0,101.6,67.6
Minnesota,6.18,110.3,104.1,64.3
Murray St.,6.13,113.3,107.2,71.9
East Tennessee St.,5.89,110.1,104.3,68.7
Winthrop,5.34,115.4,110.1,69.5
Bowling Green,5.09,107.5,102.4,69.4
Miami OH,4.7,111.4,106.7,71.3
Florida Atlantic,4.63,113.5,108.8,67.1
Columbia,4.41,110.9,106.5,67.7
Bradley,4.4,107.2,102.8,68.3
Team,,,,
Sam Houston St.,4.32,112.0,107.7,70.9
UC Irvine,4.3,100.7,96.4,69.6
Utah,4.28,112.3,108.1,69.4
William & Mary,4.23,109.1,104.9,75.2
Drake,4.1,109.5,105.4,66.4
Pacific,3.86,108.4,104.6,66.2
Kent St.,3.75,114.1,110.4,71.8
Towson,3.42,108.0,104.6,63.7
Cal Baptist,3.38,107.8,104.4,68.4
Davidson,3.36,110.2,106.9,66.4
Hofstra,3.02,105.5,102.5,68.5
New Mexico St.,2.99,108.1,105.1,67.0
Southern Illinois,2.96,109.3,106.3,70.1
DePaul,2.84,107.6,104.8,68.7
Western Kentucky,2.83,108.5,105.6,72.3
Rutgers,2.81,107.5,104.7,66.4
Georgia Tech,2.77,103.5,100.8,70.8
North Texas,2.56,105.4,102.8,65.3
Middle Tennessee,2.51,109.6,107.1,67.7
Boston College,2.41,103.0,100.6,66.6
Duquesne,2.38,108.4,106.1,72.0
Loyola Marymount,2.3,104.4,102.1,67.3
UC Santa Barbara,2.3,114.4,112.1,66.5
UNLV,2.25,111.5,109.2,73.2
Stephen F. Austin,1.39,106.0,104.6,66.8
Troy,1.22,106.7,105.5,68.7
Oakland,1.17,114.8,113.6,71.8
Arkansas St.,0.66,108.3,107.6,73.1
Quinnipiac,0.64,106.9,106.3,71.9
Furman,0.39,109.1,108.7,67.9
Siena,0.17,105.2,105.0,65.6
Toledo,-0.02,113.3,113.4,69.3
North Dakota St.,-0.1,105.2,105.2,68.3
Lipscomb,-0.12,105.7,105.9,70.4
Marist,-0.18,97.7,97.9,66.7
Wright St.,-0.31,106.1,106.4,67.0
Washington St.,-0.37,111.2,111.6,68.4
Youngstown St.,-0.42,104.7,105.1,68.5
Cornell,-0.6,113.2,113.8,73.6
Temple,-0.68,112.8,113.5,67.0
Team,,,,
Northern Colorado,-0.74,107.9,108.6,69.4
Kennesaw St.,-0.74,109.6,110.3,74.6
Florida Gulf Coast,-0.91,109.5,110.4,70.1
Montana St.,-1.0,106.7,107.7,66.5
UC Davis,-1.01,104.5,105.5,68.6
Colgate,-1.1,107.5,108.6,66.9
Fresno St.,-1.11,104.6,105.7,69.9
Idaho St.,-1.2,106.6,107.8,64.5
South Alabama,-1.29,107.4,108.7,65.6
Marshall,-1.44,107.2,108.7,71.2
South Dakota St.,-1.58,104.9,106.5,69.2
Elon,-1.69,112.4,114.1,68.5
Mercer,-1.73,108.5,110.2,70.7
Robert Morris,-1.91,106.3,108.2,66.7
Austin Peay,-2.06,103.0,105.1,69.4
Massachusetts,-2.06,102.2,104.3,72.9
Oregon St.,-2.08,107.7,109.8,65.4
UT Arlington,-2.08,103.2,105.3,67.7
Saint Joseph's,-2.1,104.4,106.5,69.0
St. Thomas,-2.12,106.6,108.7,68.9
FIU,-2.21,105.5,107.7,71.6
Portland St.,-2.31,102.7,105.1,70.0
Charlotte,-2.32,109.0,111.3,63.2
San Jose St.,-2.4,106.3,108.7,65.7
James Madison,-2.49,110.7,113.2,66.7
Charleston,-2.56,108.3,110.9,66.8
Queens,-2.64,113.2,115.9,68.1
Eastern Michigan,-2.71,104.5,107.2,66.6
Iona,-2.71,107.0,109.7,72.3
Weber St.,-2.83,107.2,110.0,69.6
Navy,-2.83,104.2,107.0,68.4
Tulane,-2.85,110.7,113.5,66.8
Northern Kentucky,-2.99,106.1,109.1,69.6
Incarnate Word,-3.14,109.2,112.3,66.2
Idaho,-3.14,109.1,112.3,66.9
Louisiana Tech,-3.16,102.0,105.1,64.7
Illinois Chicago,-3.3,104.4,107.7,69.0
Tarleton St.,-3.37,105.9,109.3,69.1
Valparaiso,-3.38,102.5,105.9,66.3
Vermont,-3.56,109.9,113.4,66.1
Team,,,,
UT Rio Grande Valley,-3.56,106.5,110.1,70.4
Southern,-3.73,103.7,107.5,71.7
Montana,-3.75,107.9,111.7,70.3
Indiana St.,-3.83,101.8,105.6,72.4
Ohio,-3.98,107.2,111.2,69.7
Southern Miss,-4.1,107.8,111.9,67.7
Harvard,-4.25,105.2,109.5,65.7
Campbell,-4.44,105.2,109.6,70.8
Buffalo,-4.58,107.7,112.3,67.4
Old Dominion,-4.71,106.6,111.3,68.6
Monmouth,-4.74,104.9,109.6,68.0
New Orleans,-4.82,105.8,110.6,70.3
UNC Asheville,-4.9,105.6,110.5,67.3
Rice,-4.96,104.7,109.7,66.9
Hampton,-4.99,105.0,110.0,67.0
Coastal Carolina,-5.0,101.5,106.5,70.4
Abilene Christian,-5.13,100.9,106.1,66.3
North Alabama,-5.18,104.8,110.0,66.7
Chattanooga,-5.18,107.9,113.1,65.3
Stony Brook,-5.19,106.0,111.2,67.2
Norfolk St.,-5.23,99.9,105.2,65.4
SIUE,-5.24,101.6,106.9,66.0
Texas A&M Corpus Chris,-5.28,100.5,105.7,68.1
American,-5.35,103.4,108.8,70.0
Bethune Cookman,-5.71,104.4,110.1,66.9
Tennessee Martin,-5.73,102.3,108.0,66.8
Northeastern,-5.76,102.1,107.9,69.6
Lamar,-5.82,99.1,104.9,66.4
Brown,-5.83,98.5,104.4,66.4
Southeast Missouri,-5.84,103.1,109.0,71.4
Milwaukee,-5.94,106.3,112.3,70.9
Georgia Southern,-5.95,105.8,111.7,72.1
LIU,-6.01,103.8,109.8,70.3
Texas St.,-6.08,101.0,107.1,65.8
Eastern Washington,-6.16,107.4,113.6,70.2
Jacksonville St.,-6.19,99.2,105.4,66.1
Cal Poly,-6.3,103.9,110.2,76.2
Central Connecticut,-6.31,101.8,108.1,66.9
Penn,-6.4,107.2,113.6,70.2
Western Michigan,-6.43,105.5,111.9,69.6
Team,,,,
Fordham,-6.47,103.6,110.0,65.1
UTEP,-6.6,99.4,106.0,66.4
Samford,-6.7,106.0,112.7,66.5
Nebraska Omaha,-6.75,106.3,113.1,67.9
Utah Tech,-6.86,102.3,109.1,66.8
Portland,-7.08,104.4,111.5,70.0
La Salle,-7.11,101.9,109.0,65.4
Lindenwood,-7.23,100.8,108.0,72.3
UC Riverside,-7.27,105.6,112.8,67.6
Tennessee St.,-7.29,101.3,108.6,71.7
CSUN,-7.3,103.3,110.6,73.5
Wofford,-7.33,103.9,111.2,68.4
Northern Arizona,-7.37,103.2,110.6,68.6
Central Arkansas,-7.41,100.9,108.3,69.6
Nicholls,-7.49,102.1,109.6,69.0
Purdue Fort Wayne,-7.54,106.0,113.6,70.4
Southeastern Louisiana,-7.67,98.9,106.6,67.0
UMBC,-8.07,104.7,112.8,67.7
Alabama St.,-8.07,104.2,112.3,69.5
Alabama A&M,-8.09,99.7,107.7,66.5
Princeton,-8.09,100.2,108.3,67.7
USC Upstate,-8.17,101.4,109.6,69.6
Tennessee Tech,-8.21,101.9,110.1,70.9
South Dakota,-8.21,105.2,113.4,71.6
Presbyterian,-8.28,100.6,108.9,62.6
San Diego,-8.28,104.3,112.6,69.6
UTSA,-8.29,100.7,109.0,69.5
Missouri St.,-8.29,102.4,110.7,66.1
Boston University,-8.37,109.1,117.5,63.7
Long Beach St.,-8.38,103.7,112.1,67.6
East Carolina,-8.42,100.9,109.3,69.9
Houston Christian,-8.44,104.6,113.1,65.0
Sacred Heart,-8.63,107.5,116.1,70.3
Dartmouth,-8.72,104.2,112.9,71.6
Green Bay,-8.86,105.4,114.2,65.8
Eastern Kentucky,-8.89,106.0,114.9,70.7
Sacramento St.,-8.95,100.9,109.9,71.6
Western Carolina,-8.97,100.8,109.7,71.2
Radford,-9.05,102.8,111.8,72.2
UNC Greensboro,-9.18,104.4,113.6,68.1
Team,,,,
Evansville,-9.35,99.6,108.9,68.7
Drexel,-9.5,101.8,111.3,66.1
Cal St. Fullerton,-9.57,102.3,111.8,75.1
Denver,-9.58,111.1,120.7,68.1
Grambling St.,-9.73,99.7,109.4,67.3
Bellarmine,-9.79,108.0,117.8,66.4
Delaware,-9.79,103.0,112.8,67.0
Fairfield,-10.13,102.3,112.5,69.2
Merrimack,-10.17,100.9,111.0,66.1
Charleston Southern,-10.21,101.1,111.4,70.6
Loyola Chicago,-10.24,104.3,114.6,65.5
Jacksonville,-10.52,100.2,110.7,65.9
Detroit Mercy,-10.59,102.3,112.9,69.0
Appalachian St.,-10.73,101.1,111.9,63.1
Pepperdine,-10.93,99.4,110.4,67.1
Oral Roberts,-10.96,104.6,115.6,70.1
Holy Cross,-10.99,102.0,113.0,66.0
Longwood,-11.12,102.0,113.2,70.8
Prairie View A&M,-11.41,99.2,110.7,71.9
East Texas A&M,-11.45,99.0,110.5,68.8
Cal St. Bakersfield,-11.57,101.3,112.8,70.4
Le Moyne,-11.68,106.4,118.1,68.7
Lehigh,-11.69,100.6,112.3,68.4
Southern Indiana,-11.91,98.4,110.3,72.5
Central Michigan,-11.99,102.5,114.5,67.3
Manhattan,-12.04,106.2,118.3,68.8
Mount St. Mary's,-12.04,100.0,112.1,68.1
North Carolina A&T,-12.48,98.2,110.7,71.3
Bryant,-12.51,98.1,110.6,66.8
Howard,-12.57,100.1,112.7,69.4
UMass Lowell,-12.66,102.2,114.8,70.3
West Georgia,-12.75,100.5,113.3,68.5
Wagner,-12.85,100.2,113.0,67.7
Texas Southern,-12.97,99.5,112.5,71.4
Little Rock,-13.0,100.1,113.1,66.3
Northwestern St.,-13.04,104.0,117.0,66.0
Bucknell,-13.09,100.8,113.9,67.3
Loyola MD,-13.12,102.4,115.5,68.8
Jackson St.,-13.18,96.9,110.0,69.0
Southern Utah,-13.31,99.2,112.5,70.7
Team,,,,
Ball St.,-13.76,98.5,112.3,65.8
Morehead St.,-13.9,99.7,113.6,68.4
Cleveland St.,-13.97,104.3,118.3,70.7
Northern Illinois,-14.22,101.9,116.1,68.4
Louisiana,-14.42,96.2,110.6,64.6
Mercyhurst,-14.49,97.9,112.4,64.6
Albany,-14.55,100.6,115.1,68.0
Saint Peter's,-14.78,98.1,112.9,66.1
Air Force,-14.92,98.0,112.9,65.1
Lafayette,-15.02,98.3,113.3,68.3
Maine,-15.07,93.3,108.3,65.0
North Dakota,-15.26,97.8,113.0,70.3
Eastern Illinois,-15.32,97.6,112.9,66.9
Alcorn St.,-15.47,99.0,114.4,69.8
New Hampshire,-16.07,95.3,111.3,68.2
North Florida,-16.08,103.6,119.7,70.9
Georgia St.,-16.42,94.4,110.8,70.4
New Haven,-16.43,95.4,111.8,65.1
Rider,-16.62,97.0,113.6,67.8
VMI,-16.77,99.9,116.6,68.0
Niagara,-17.12,96.7,113.8,65.9
Florida A&M,-17.13,97.4,114.5,70.0
Stonehill,-17.17,94.9,112.1,67.3
Army,-17.39,98.9,116.3,67.5
Maryland Eastern Shore,-17.57,94.0,111.6,61.9
IU Indy,-17.61,102.5,120.1,77.1
Stetson,-17.64,98.1,115.7,67.5
Kansas City,-18.16,96.0,114.2,69.7
Arkansas Pine Bluff,-18.25,96.6,114.9,73.0
NJIT,-18.51,93.5,112.0,69.3
North Carolina Central,-19.11,95.2,114.3,66.8
South Carolina St.,-19.56,96.1,115.6,70.8
Canisius,-19.8,95.5,115.3,64.7
Saint Francis,-19.95,94.2,114.1,70.9
Binghamton,-20.13,97.1,117.3,66.1
Louisiana Monroe,-20.23,96.8,117.0,70.2
Western Illinois,-20.49,98.3,118.8,64.9
Gardner Webb,-20.84,97.5,118.4,72.2
Delaware St.,-21.14,90.6,111.8,68.0
Fairleigh Dickinson,-21.2,99.3,120.4,69.5
Team,,,,
Morgan St.,-21.35,97.6,118.9,69.7
Chicago St.,-21.48,97.9,119.3,67.9
The Citadel,-22.85,99.3,122.1,65.7
Coppin St.,-25.71,91.9,117.6,69.6
Mississippi Valley St.,-31.6,89.1,120.7,67.9
