TeamName,AdjEM,AdjOE,AdjDE,AdjTempo
Michigan,36.22,126.0,89.8,74.1
Arizona,34.26,126.7,92.4,71.8
Iowa St.,31.52,123.7,92.2,68.4
Purdue,31.43,130.1,98.7,66.0
Illinois,30.81,128.4,97.6,66.5
Duke,30.67,124.4,93.7,68.0
Gonzaga,30.62,126.1,95.5,70.5
Houston,30.34,122.3,92.0,63.5
Connecticut,29.77,122.0,92.3,65.9
Florida,29.03,123.0,94.0,70.6
Vanderbilt,28.59,124.8,96.2,71.2
Michigan St.,27.98,118.4,90.5,66.2
BYU,27.91,125.3,97.4,70.9
Virginia,26.3,123.9,97.6,66.2
Kansas,25.63,121.4,95.8,67.9
Nebraska,25.6,121.9,96.3,67.8
Alabama,25.3,129.1,103.8,73.7
Tennessee,23.91,119.3,95.4,67.2
St. John's,23.89,121.9,98.0,70.7
Louisville,23.35,124.5,101.2,70.5
Iowa,23.22,121.2,98.0,64.6
Utah St.,22.9,122.4,99.5,69.0
Texas Tech,22.8,123.2,100.4,67.9
Arkansas,22.31,125.9,103.6,72.2
N.C. State,22.03,122.2,100.1,69.3
Villanova,21.74,122.4,100.7,63.4
Kentucky,21.09,119.9,98.8,68.1
Clemson,21.0,117.9,96.9,65.5
Miami FL,20.34,120.6,100.3,69.9
Saint Louis,20.04,120.2,100.2,71.8
Saint Mary's,19.98,121.5,101.5,66.0
Georgia,19.84,122.4,102.6,74.8
Indiana,19.84,121.4,101.6,68.2
Auburn,19.64,124.9,105.3,67.9
North Carolina,19.51,121.4,101.9,67.6
SMU,19.3,123.5,104.2,69.2
Texas,18.67,124.0,105.3,68.2
Ohio St.,18.66,121.4,102.8,67.8
Wisconsin,18.56,120.3,101.8,70.3
UCLA,18.27,119.2,101.0,65.8
Baylor,17.59,123.2,105.6,68.4
Texas A&M,17.29,118.9,101.6,72.3
UCF,17.11,120.9,103.8,69.3
Seton Hall,17.04,111.4,94.4,66.4
LSU,16.78,120.7,103.9,68.1
San Diego St.,16.74,115.6,98.9,68.6
VCU,16.7,120.7,104.0,69.9
New Mexico,16.47,115.3,98.8,69.5
Santa Clara,16.26,120.9,104.6,70.1
Washington,16.24,118.2,102.0,67.8
USC,16.1,118.8,102.7,70.4
TCU,16.04,114.2,98.1,67.8
Creighton,15.5,119.4,103.9,66.6
Missouri,14.98,119.9,105.0,67.4
Virginia Tech,13.4,115.8,102.4,68.3
Cincinnati,13.33,107.1,93.8,69.7
Oklahoma,13.25,120.9,107.7,66.8
Syracuse,13.09,115.1,102.0,68.1
Wake Forest,13.03,115.0,102.0,70.2
Mississippi,13.02,116.4,103.4,65.3
Northwestern,12.8,118.9,106.1,66.6
Akron,12.72,122.7,110.0,71.8
Providence,12.59,121.5,108.9,73.2
Butler,12.54,116.7,104.2,70.5
West Virginia,12.47,114.7,102.2,63.4
Belmont,12.43,118.2,105.7,69.6
Oklahoma St.,12.42,118.0,105.5,74.1
McNeese,12.3,117.1,104.8,67.2
Dayton,11.98,111.0,99.1,68.0
Stanford,11.92,115.1,103.2,68.1
George Washington,11.81,121.5,109.7,70.3
Notre Dame,11.8,113.5,101.7,65.1
Nevada,11.31,117.5,106.2,65.5
South Florida,11.22,115.8,104.6,72.7
Colorado,11.11,118.3,107.2,69.9
George Mason,11.05,116.3,105.2,65.3
Tulsa,10.98,120.3,109.4,68.4
Arizona St.,10.74,117.8,107.0,70.0
Mississippi St.,10.7,114.5,103.8,69.2
Boise St.,10.55,112.4,101.9,67.0
Murray St.,10.5,118.6,108.1,72.3
Kansas St.,10.4,115.9,105.5,73.4
Pittsburgh,10.28,116.3,106.0,64.7
California,10.27,114.1,103.9,67.0
South Carolina,10.17,115.5,105.3,65.7
Minnesota,10.03,112.9,102.9,63.5
Miami OH,9.25,116.1,106.8,71.0
Oregon,9.19,114.7,105.5,67.0
Memphis,8.98,108.0,99.0,69.4
Hawaii,8.89,106.8,98.0,69.3
Yale,8.87,120.9,112.1,66.4
Colorado St.,8.79,121.3,112.5,62.1
Florida Atlantic,8.73,114.7,106.0,70.5
Grand Canyon,8.49,108.5,100.0,68.2
Xavier,8.49,113.0,104.5,70.4
Utah Valley,8.2,112.1,103.9,70.6
Liberty,8.2,117.8,109.6,64.3
High Point,8.13,119.0,110.9,70.0
Illinois St.,8.1,113.1,105.0,66.9
Wyoming,7.75,115.1,107.4,67.9
Stephen F. Austin,6.87,109.8,102.9,65.8
San Francisco,6.86,112.5,105.6,65.7
Northern Iowa,6.79,106.1,99.3,62.4
Hofstra,6.73,114.1,107.4,66.0
Wichita St.,6.6,113.4,106.8,65.7
Penn St.,6.58,115.5,109.0,67.4
Georgetown,6.51,114.5,108.0,67.2
DePaul,6.22,108.1,101.9,67.4
UAB,6.2,112.9,106.6,69.7
UC San Diego,5.95,114.9,109.0,67.3
Richmond,5.89,113.6,107.8,68.9
Florida St.,5.17,114.7,109.5,73.6
Rhode Island,5.06,108.9,103.9,66.0
UNC Wilmington,4.89,111.8,106.9,65.1
Sam Houston St.,4.78,113.5,108.7,71.3
Bowling Green,4.43,110.4,106.0,68.3
Bradley,4.42,111.5,107.1,68.4
UC Irvine,4.36,104.8,100.4,68.3
Troy,4.36,112.7,108.4,67.4
Seattle,4.33,105.1,100.8,68.8
Utah,4.3,115.0,110.7,69.3
Marquette,4.24,110.4,106.1,70.1
Winthrop,4.14,115.3,111.1,68.4
Oakland,3.83,117.2,113.4,72.0
Middle Tennessee,3.82,109.0,105.2,65.7
East Tennessee St.,3.69,111.3,107.7,67.1
Maryland,3.53,109.0,105.5,67.8
Southern Illinois,3.35,106.9,103.6,70.6
St. Thomas,3.32,113.2,109.9,68.9
Pacific,3.3,111.5,108.2,65.6
Davidson,3.23,109.9,106.6,64.7
Wright St.,3.08,112.5,109.4,66.1
Marist,3.03,102.3,99.3,67.3
Cal Baptist,2.68,108.7,106.1,65.7
North Dakota St.,2.48,111.7,109.3,66.8
Georgia Tech,2.46,108.1,105.6,70.9
Loyola Marymount,2.41,106.1,103.7,68.0
North Texas,2.39,103.1,100.7,64.7
St. Bonaventure,2.38,113.0,110.6,67.2
New Mexico St.,2.37,110.4,108.0,67.0
William & Mary,2.19,108.9,106.7,74.5
Arkansas St.,2.16,111.4,109.3,73.8
UT Arlington,2.11,103.9,101.8,65.9
Duquesne,2.04,112.2,110.2,71.1
Mercer,2.03,113.1,111.0,69.9
Fresno St.,2.02,106.3,104.3,68.5
Temple,1.9,113.7,111.8,65.9
UNLV,1.59,110.0,108.4,71.9
Washington St.,1.54,110.8,109.3,67.6
Kent St.,1.44,113.9,112.5,72.4
Portland St.,1.08,106.7,105.6,69.5
Western Kentucky,1.0,109.7,108.7,70.7
Furman,0.9,108.7,107.8,67.4
Columbia,0.73,109.6,108.9,68.1
Lipscomb,0.72,108.9,108.2,70.8
Rutgers,0.63,108.7,108.1,65.4
Toledo,0.28,114.0,113.7,69.2
Montana St.,0.24,110.2,110.0,65.8
Elon,0.22,115.4,115.2,68.0
Boston College,0.2,103.4,103.2,65.9
Illinois Chicago,0.13,107.3,107.2,66.6
Quinnipiac,-0.08,106.4,106.5,70.4
Harvard,-0.09,108.9,109.0,64.2
Northern Colorado,-0.15,111.5,111.6,69.3
Northern Kentucky,-0.31,110.2,110.5,69.9
UC Davis,-0.48,110.0,110.5,69.3
Queens,-0.52,116.5,117.0,69.5
Drake,-0.67,109.2,109.9,66.4
UC Santa Barbara,-0.75,113.7,114.5,64.8
Towson,-0.76,104.8,105.6,63.8
Charleston,-1.0,108.4,109.4,68.0
Valparaiso,-1.03,106.7,107.7,66.2
Kennesaw St.,-1.19,109.5,110.7,73.9
Tarleton St.,-1.31,109.2,110.5,71.4
Idaho St.,-1.35,112.7,114.1,64.4
FIU,-1.36,110.0,111.3,72.0
Massachusetts,-1.36,107.2,108.6,72.3
Marshall,-1.44,110.0,111.4,69.9
Texas A&M Corpus Chris,-1.68,103.6,105.3,66.4
Weber St.,-1.7,110.7,112.3,69.3
Tulane,-1.77,109.3,111.1,66.0
Buffalo,-1.82,113.8,115.6,66.7
