TeamName,AdjEM,AdjOE,AdjDE,AdjTempo
Michigan,35.08,122.5,87.4,72.3
Purdue,32.68,129.4,96.8,66.0
Duke,31.14,123.5,92.4,67.5
Iowa St.,30.29,122.8,92.5,70.1
Gonzaga,29.28,122.2,92.9,71.5
Connecticut,28.91,121.4,92.5,65.8
Vanderbilt,28.67,126.2,97.5,71.2
Arizona,28.1,122.6,94.5,71.5
Houston,28.04,119.5,91.5,63.8
Michigan St.,27.87,119.5,91.6,66.3
BYU,27.77,124.5,96.7,69.8
Florida,26.41,119.9,93.5,71.8
Louisville,26.28,125.2,98.9,71.5
Alabama,26.23,126.0,99.8,74.0
Kentucky,25.5,120.4,94.9,69.8
Tennessee,25.1,119.5,94.4,68.4
Illinois,24.91,122.1,97.2,70.0
St. John's,24.77,122.8,98.0,71.3
Kansas,22.08,116.1,94.1,67.4
Auburn,21.44,122.3,100.9,68.4
Georgia,21.04,120.4,99.3,74.6
Clemson,21.02,120.5,99.5,66.5
North Carolina,20.96,118.3,97.4,69.3
Virginia,20.88,122.1,101.2,66.5
LSU,20.83,119.2,98.3,70.1
Indiana,20.71,117.2,96.5,68.8
Wisconsin,20.52,119.8,99.3,70.8
USC,20.26,120.6,100.3,70.6
Baylor,20.02,123.1,103.1,69.7
Arkansas,19.92,118.0,98.1,71.3
Texas Tech,19.81,118.9,99.1,67.3
Iowa,19.81,118.5,98.7,63.6
UCLA,19.23,117.2,98.0,66.2
Saint Mary's,18.7,116.0,97.3,66.3
N.C. State,18.65,121.7,103.0,71.0
Utah St.,18.65,118.9,100.3,69.7
Ohio St.,18.52,118.0,99.5,69.3
Missouri,18.51,120.3,101.8,69.3
Miami FL,18.16,114.6,96.4,70.3
Villanova,17.82,118.4,100.6,64.7
Team,,,,
Butler,17.12,117.9,100.8,70.9
VCU,16.77,113.3,96.5,71.0
SMU,16.67,117.4,100.7,70.7
Saint Louis,16.53,114.6,98.0,72.7
Texas A&M,16.48,117.6,101.1,71.4
Oklahoma,16.13,120.6,104.5,67.0
San Diego St.,15.97,116.4,100.5,68.6
Nebraska,15.89,116.6,100.7,70.9
TCU,15.77,111.9,96.1,69.1
Santa Clara,15.12,117.0,101.9,69.7
Oklahoma St.,15.08,115.7,100.6,74.9
Mississippi,15.02,116.9,101.9,66.0
Wake Forest,14.43,113.6,99.2,71.6
Akron,14.39,121.7,107.3,71.5
Northwestern,14.38,117.1,102.7,67.0
Creighton,14.31,116.9,102.6,66.9
Texas,14.28,118.0,103.7,68.9
