TeamName,AdjEM,AdjOE,AdjDE,AdjTempo
Michigan,36.0,127.0,91.0,73.5
Arizona,34.04,126.9,92.9,71.8
Duke,32.77,126.0,93.2,67.6
Purdue,31.31,129.5,98.2,65.9
Houston,31.14,124.1,93.0,63.6
Gonzaga,31.04,126.3,95.2,70.3
Illinois,30.44,129.3,98.9,66.4
Iowa St.,30.0,125.0,95.0,68.2
Florida,29.57,125.6,96.1,70.4
Michigan St.,29.32,120.0,90.7,66.3
Connecticut,28.74,121.9,93.2,65.5
Vanderbilt,28.13,127.1,98.9,71.2
Nebraska,27.06,123.5,96.5,67.3
Virginia,26.84,124.7,97.9,65.8
BYU,26.7,125.2,98.5,70.8
Louisville,26.05,126.9,100.9,70.3
Alabama,25.46,129.4,104.0,73.8
Iowa,25.37,123.0,97.7,63.9
Kansas,25.25,122.0,96.8,67.8
St. John's,24.44,123.1,98.7,70.9
Texas Tech,23.8,124.5,100.7,67.8
Tennessee,23.31,120.9,97.6,66.8
Arkansas,22.06,125.7,103.7,72.3
Kentucky,21.73,122.3,100.5,67.7
Clemson,21.6,118.6,97.0,65.1
Utah St.,21.58,123.6,102.1,68.5
Villanova,21.23,123.2,102.0,63.5
Georgia,21.06,122.8,101.8,75.0
Saint Louis,20.92,121.6,100.7,71.4
N.C. State,20.28,121.9,101.6,69.4
Miami FL,19.84,120.6,100.8,69.6
Saint Mary's,19.38,120.4,101.0,65.8
Auburn,19.34,124.8,105.4,68.1
Ohio St.,19.24,123.4,104.1,67.5
SMU,19.24,124.2,105.0,68.8
North Carolina,18.85,122.0,103.2,68.0
Indiana,18.33,121.5,103.1,67.7
Texas A&M,18.1,120.0,101.9,71.7
Wisconsin,17.93,121.7,103.7,70.6
Texas,17.85,124.6,106.7,67.4
Team,,,,
Baylor,17.61,123.9,106.3,68.2
UCLA,17.6,120.5,102.9,65.4
UCF,17.42,121.5,104.1,69.3
LSU,17.34,122.1,104.7,67.6
Santa Clara,17.01,120.5,103.5,69.8
New Mexico,16.87,116.3,99.4,69.9
San Diego St.,16.79,116.3,99.5,69.1
USC,16.39,118.4,102.0,70.4
VCU,15.95,120.7,104.8,70.0
Seton Hall,15.66,111.4,95.8,66.3
Creighton,15.53,120.1,104.6,66.5
Washington,15.41,118.9,103.5,67.8
TCU,15.32,114.9,99.6,67.6
Cincinnati,15.29,109.7,94.4,69.3
Missouri,14.44,120.6,106.2,66.8
Butler,14.07,118.5,104.5,70.3
Virginia Tech,13.92,117.5,103.6,68.5
Oklahoma,13.46,121.1,107.6,67.0
Mississippi,13.18,116.9,103.7,65.4
West Virginia,13.17,115.8,102.7,63.0
Wake Forest,12.78,115.2,102.4,69.5
Tulsa,12.62,122.5,109.9,68.5
Akron,12.62,124.6,112.0,71.4
Belmont,12.41,118.8,106.4,69.3
McNeese,12.34,118.5,106.2,66.5
Providence,12.24,122.9,110.7,72.9
Oklahoma St.,11.99,119.0,107.0,73.5
Syracuse,11.97,115.3,103.3,68.1
Dayton,11.97,112.0,100.0,67.9
Northwestern,11.91,119.4,107.5,66.0
George Mason,11.64,116.6,105.0,65.0
George Washington,11.46,120.8,109.3,70.3
Nevada,11.45,118.5,107.0,65.8
California,11.41,115.5,104.1,67.1
Notre Dame,11.25,114.6,103.3,65.3
Stanford,11.11,115.4,104.3,67.8
South Carolina,10.97,115.7,104.7,65.8
Boise St.,10.76,113.5,102.8,66.8
Colorado,10.68,118.9,108.3,69.4
South Florida,10.66,116.5,105.9,72.5
Team,,,,
Yale,10.6,122.9,112.3,66.0
Kansas St.,10.41,117.0,106.6,72.8
Mississippi St.,10.34,114.3,103.9,69.2
Minnesota,10.22,114.3,104.1,63.6
Grand Canyon,10.16,110.8,100.6,68.1
Arizona St.,9.97,119.0,109.0,70.3
Murray St.,9.81,119.4,109.5,72.1
Oregon,9.73,116.1,106.3,66.6
Illinois St.,9.55,115.0,105.5,66.7
Memphis,9.21,109.4,100.2,69.3
Florida Atlantic,9.04,114.7,105.7,71.0
Xavier,8.88,114.2,105.3,70.3
Colorado St.,8.71,122.0,113.3,62.1
Miami OH,8.7,117.0,108.3,71.2
Utah Valley,8.58,114.0,105.4,70.5
Pittsburgh,8.19,116.3,108.1,64.5
Stephen F. Austin,8.03,111.5,103.5,65.9
High Point,7.98,120.0,112.0,69.7
Liberty,7.85,119.1,111.3,64.1
Wyoming,7.83,115.7,107.9,67.2
Georgetown,7.4,115.5,108.1,66.8
Hawaii,7.3,107.1,99.8,69.0
Wichita St.,7.01,114.7,107.7,65.4
UC San Diego,6.54,115.9,109.4,67.1
San Francisco,6.48,114.1,107.6,65.5
DePaul,6.22,109.1,102.9,67.3
Hofstra,5.93,115.4,109.5,65.8
Northern Iowa,5.92,105.6,99.7,62.1
Oakland,5.82,119.0,113.2,71.6
Sam Houston St.,5.58,113.4,107.8,71.3
Troy,5.43,115.1,109.6,66.8
Florida St.,5.32,115.3,110.0,72.8
Maryland,5.21,111.7,106.5,67.8
Richmond,5.16,114.1,108.9,68.5
Rhode Island,5.09,110.0,104.9,65.7
Utah,4.83,116.8,112.0,69.1
Pacific,4.7,113.4,108.7,65.2
Penn St.,4.67,116.3,111.7,67.2
UNC Wilmington,4.55,112.7,108.1,65.0
Marquette,4.44,112.2,107.8,69.7
Team,,,,
UAB,4.44,113.3,108.8,69.6
Bowling Green,4.28,112.3,108.0,68.2
New Mexico St.,4.18,113.6,109.4,66.8
Winthrop,4.15,115.2,111.1,68.6
Seattle,3.93,105.0,101.1,68.6
UC Irvine,3.91,105.6,101.7,68.0
Georgia Tech,3.73,109.5,105.8,70.9
East Tennessee St.,3.31,112.6,109.3,66.4
Davidson,3.3,111.0,107.7,64.5
Middle Tennessee,3.29,110.1,106.8,65.4
Wright St.,3.28,113.4,110.2,66.0
Bradley,3.1,111.8,108.7,68.3
North Texas,3.08,103.8,100.8,65.0
St. Thomas,3.08,113.2,110.2,68.8
Southern Illinois,3.04,107.2,104.2,70.2
UNLV,2.93,112.1,109.1,70.9
Duquesne,2.78,112.7,109.9,71.1
