TeamName,AdjEM,AdjOE,AdjDE,AdjTempo
Duke,31.85,125.2,93.3,69.7
Purdue,31.59,128.8,97.2,66.8
Gonzaga,30.64,123.5,92.8,72.3
Houston,29.02,118.4,89.4,66.1
Michigan,27.77,118.4,90.7,73.3
Florida,27.67,120.2,92.6,73.6
Arizona,27.65,122.4,94.8,72.1
Louisville,27.39,125.4,98.0,72.3
BYU,26.57,125.0,98.4,70.8
Kentucky,26.25,121.6,95.3,72.2
Connecticut,26.2,122.3,96.1,67.7
Tennessee,26.17,118.5,92.3,69.6
Iowa St.,26.16,120.8,94.7,70.2
Illinois,25.91,123.4,97.5,71.6
Vanderbilt,24.79,124.7,99.9,71.7
St. John's,24.11,121.3,97.1,73.9
Alabama,23.08,123.1,100.0,75.2
Michigan St.,22.92,116.9,94.0,68.5
Auburn,21.51,121.1,99.6,70.6
Baylor,21.45,120.7,99.2,70.3
UCLA,20.94,116.5,95.6,67.0
Kansas,20.88,115.8,94.9,69.1
Wisconsin,20.86,121.2,100.3,70.3
Indiana,20.64,118.6,97.9,68.8
North Carolina,20.43,118.2,97.8,72.5
Saint Mary's,20.42,117.8,97.4,66.3
Utah St.,20.33,120.2,99.9,70.5
USC,20.19,117.5,97.3,72.8
Iowa,20.05,120.9,100.8,65.3
Clemson,19.93,119.4,99.5,67.1
Texas Tech,19.92,119.7,99.8,68.8
N.C. State,19.3,119.9,100.6,71.6
Missouri,19.26,121.5,102.3,70.9
Mississippi,18.79,118.4,99.6,67.5
Ohio St.,18.5,118.7,100.2,70.2
LSU,18.16,119.2,101.0,71.6
Georgia,18.02,118.1,100.1,74.9
Arkansas,17.99,117.4,99.4,72.2
Villanova,17.82,117.3,99.4,66.9
Nebraska,17.68,119.2,101.5,72.5
Team,,,,
Virginia,17.07,119.3,102.2,68.4
Texas,16.79,116.0,99.2,70.0
SMU,16.53,117.8,101.2,72.9
Miami FL,16.28,115.3,99.0,72.7
Cincinnati,15.91,107.7,91.7,73.5
Northwestern,15.81,117.3,101.5,68.2
Butler,15.65,116.4,100.7,71.8
Wake Forest,15.62,114.3,98.6,72.6
Kansas St.,15.36,118.1,102.7,73.6
Saint Louis,15.19,114.5,99.4,73.6
Syracuse,15.02,114.9,99.9,70.8
