TeamName,AdjEM,AdjOE,AdjDE,AdjTempo
Michigan,35.95,125.3,89.4,74.4
Arizona,35.24,125.8,90.6,72.1
Iowa St.,34.44,124.2,89.7,68.7
Purdue,31.91,129.5,97.6,66.0
Vanderbilt,30.54,125.6,95.1,71.7
Gonzaga,30.27,125.4,95.2,70.7
Illinois,30.14,126.8,96.7,67.1
Duke,29.6,124.2,94.6,68.2
Connecticut,29.44,121.4,92.0,65.8
Houston,29.04,121.3,92.2,63.5
BYU,28.26,125.1,96.8,71.1
Florida,27.99,121.3,93.3,70.5
Michigan St.,26.49,117.0,90.5,66.4
Alabama,24.7,128.1,103.4,73.5
Virginia,24.54,122.5,98.0,66.4
Louisville,24.25,124.4,100.1,70.8
Nebraska,24.02,120.6,96.5,68.1
St. John's,23.84,121.6,97.8,70.5
Tennessee,23.53,119.3,95.8,67.5
Utah St.,23.12,123.1,100.0,69.1
Iowa,23.05,120.5,97.4,64.4
Texas Tech,22.85,122.6,99.8,67.8
Kansas,22.41,118.9,96.5,68.4
N.C. State,21.59,121.5,99.9,69.4
Villanova,21.43,121.4,99.9,63.3
Kentucky,21.1,119.4,98.3,68.4
Indiana,21.08,121.1,100.0,68.5
Georgia,20.94,121.4,100.5,75.3
Clemson,20.76,117.9,97.1,65.5
Arkansas,20.7,123.9,103.2,72.0
Auburn,20.45,124.8,104.4,67.9
SMU,20.2,123.4,103.2,69.2
North Carolina,19.96,119.9,100.0,67.1
Saint Louis,19.62,119.3,99.7,72.5
Saint Mary's,19.48,120.4,101.0,65.9
Miami FL,19.17,119.5,100.3,69.8
Ohio St.,18.59,121.0,102.5,67.8
Wisconsin,18.45,118.9,100.4,70.5
UCLA,17.65,118.7,101.1,66.2
LSU,17.24,120.2,103.0,68.2
Texas A&M,17.14,118.7,101.6,72.7
Baylor,16.99,121.6,104.6,69.1
Seton Hall,16.91,110.8,93.9,66.4
Creighton,16.41,118.1,101.7,66.9
UCF,16.2,120.3,104.1,69.3
VCU,16.15,118.9,102.7,69.9
Texas,16.13,122.5,106.4,68.7
Washington,16.05,117.5,101.4,68.0
USC,15.75,117.7,101.9,70.6
Santa Clara,15.59,119.5,103.9,70.3
New Mexico,15.55,114.2,98.7,69.2
San Diego St.,15.16,115.1,99.9,68.9
TCU,15.15,113.6,98.5,68.0
Oklahoma,14.22,120.2,106.0,66.6
Oklahoma St.,14.1,117.4,103.3,74.6
Akron,13.73,122.1,108.4,71.8
Missouri,13.73,119.1,105.4,67.2
Butler,13.58,116.6,103.0,70.6
West Virginia,13.35,114.8,101.5,63.3
Syracuse,13.14,113.7,100.5,68.2
Northwestern,13.1,118.3,105.2,67.1
Wake Forest,13.06,114.3,101.2,70.3
George Washington,13.03,120.7,107.7,70.5
Cincinnati,12.96,106.5,93.6,69.7
Belmont,12.94,117.5,104.5,69.9
Virginia Tech,12.75,115.4,102.6,68.4
Providence,12.48,120.3,107.8,72.9
Notre Dame,12.25,112.9,100.7,65.1
Mississippi,12.21,114.5,102.3,65.9
South Florida,11.8,115.8,104.0,72.8
South Carolina,11.73,115.2,103.5,65.5
Mississippi St.,11.66,114.3,102.7,69.2
McNeese,11.61,116.0,104.4,66.7
Dayton,11.56,111.2,99.7,68.2
George Mason,11.3,115.2,103.9,65.3
Colorado,11.3,118.2,106.9,69.9
Kansas St.,11.17,116.4,105.3,73.5
Nevada,11.16,117.5,106.3,65.5
Boise St.,11.12,111.4,100.3,66.9
Stanford,11.08,113.0,101.9,67.8
Murray St.,10.6,118.2,107.6,72.4
California,10.56,114.2,103.7,67.2
Oregon,10.44,114.7,104.3,67.2
Tulsa,10.37,119.6,109.2,68.1
Colorado St.,10.12,120.2,110.0,62.2
Minnesota,9.95,111.8,101.9,63.7
Memphis,9.75,109.5,99.8,69.6
Grand Canyon,9.68,108.7,99.0,68.0
Arizona St.,9.64,115.9,106.3,70.3
High Point,9.57,118.9,109.3,70.1
Yale,8.98,120.4,111.4,66.5
Wyoming,8.81,115.6,106.8,68.2
Illinois St.,8.7,111.3,102.6,66.8
Pittsburgh,8.65,114.5,105.8,64.8
Liberty,8.62,116.4,107.8,64.7
Hawaii,8.35,106.2,97.8,69.1
Miami OH,8.22,115.0,106.8,71.0
Northern Iowa,8.09,106.1,98.0,62.4
Utah Valley,8.07,111.4,103.3,70.9
Florida Atlantic,7.87,113.6,105.8,70.4
Hofstra,7.79,112.8,105.0,66.3
Wichita St.,7.77,113.7,106.0,65.7
San Francisco,7.76,112.0,104.3,65.6
Xavier,7.64,112.1,104.5,70.4
Penn St.,7.02,115.4,108.4,67.8
UC San Diego,6.96,114.5,107.5,67.5
Stephen F. Austin,6.56,110.7,104.1,65.8
DePaul,6.49,106.7,100.2,67.7
Georgetown,5.95,112.5,106.5,67.9
UAB,5.48,111.9,106.4,69.7
Richmond,5.42,113.4,108.0,68.9
Rhode Island,5.28,107.7,102.4,66.2
Florida St.,5.0,113.1,108.1,73.6
Marquette,4.97,109.3,104.3,70.3
Bradley,4.93,110.2,105.3,68.6
East Tennessee St.,4.75,111.3,106.5,67.5
UNC Wilmington,4.55,111.2,106.6,65.1
Bowling Green,4.51,110.0,105.5,68.4
Georgia Tech,4.46,108.4,104.0,71.0
UC Irvine,4.34,104.3,99.9,68.3
Seattle,4.21,105.0,100.8,68.8
Utah,4.2,114.5,110.3,69.1
Maryland,4.19,108.3,104.2,67.9
Southern Illinois,4.11,107.5,103.4,70.5
Middle Tennessee,3.99,109.4,105.4,65.4
Sam Houston St.,3.62,112.1,108.5,71.7
Pacific,3.42,110.6,107.2,65.8
St. Thomas,3.18,112.4,109.2,68.8
Marist,3.09,101.9,98.9,67.3
Troy,3.04,111.3,108.3,67.3
St. Bonaventure,3.03,113.6,110.6,67.3
Loyola Marymount,3.0,106.2,103.2,67.7
Oakland,2.96,118.1,115.1,71.9
