TeamName,AdjEM,AdjOE,AdjDE,AdjTempo
Michigan,37.46,124.3,86.9,74.8
Iowa St.,35.03,124.6,89.6,69.2
Arizona,34.67,125.0,90.4,72.2
Purdue,32.98,128.7,95.7,66.0
Vanderbilt,30.71,125.7,95.0,71.7
Gonzaga,30.55,125.4,94.8,70.9
Duke,30.21,124.4,94.2,68.4
Connecticut,29.96,121.5,91.6,66.0
Illinois,29.9,126.7,96.8,67.0
BYU,28.78,124.9,96.1,71.0
Houston,27.27,120.5,93.2,63.8
Michigan St.,26.74,117.1,90.3,66.7
Florida,26.68,120.5,93.8,70.4
Alabama,25.77,128.1,102.3,73.9
Louisville,25.22,125.2,99.9,70.9
Tennessee,25.08,120.0,94.9,67.3
Virginia,23.95,122.7,98.8,66.8
Kansas,23.81,118.5,94.7,68.4
Iowa,23.44,120.4,96.9,64.4
Texas Tech,23.22,123.4,100.2,67.9
Nebraska,23.14,119.1,95.9,68.3
Arkansas,22.44,124.2,101.8,72.3
St. John's,22.29,119.7,97.4,70.7
Villanova,21.82,120.9,99.0,63.6
Indiana,21.76,120.3,98.5,68.7
Utah St.,21.2,120.7,99.5,69.5
North Carolina,20.83,119.3,98.5,67.2
Georgia,20.54,121.4,100.9,75.7
Saint Mary's,20.49,120.2,99.7,65.9
Kentucky,20.39,118.6,98.2,68.5
SMU,20.02,123.1,103.1,69.4
Saint Louis,19.48,118.5,99.0,72.8
N.C. State,19.36,120.0,100.6,69.3
Baylor,19.34,122.8,103.4,69.4
Clemson,19.28,117.0,97.7,65.5
Ohio St.,19.23,120.8,101.5,68.2
Miami FL,19.19,118.6,99.4,69.9
Auburn,18.57,123.8,105.2,68.2
UCLA,17.9,119.5,101.6,66.3
Creighton,17.64,117.8,100.2,67.3
LSU,17.11,119.9,102.8,68.3
Texas A&M,16.91,118.3,101.4,72.8
Wisconsin,16.89,116.8,99.9,71.0
UCF,16.63,120.0,103.3,69.8
VCU,16.52,118.1,101.5,70.2
Seton Hall,16.14,110.2,94.1,66.4
USC,15.91,117.7,101.7,70.8
Washington,15.71,116.6,100.9,68.3
TCU,15.55,113.5,98.0,67.9
San Diego St.,15.28,116.3,101.0,68.6
Texas,14.88,121.0,106.1,69.2
Missouri,14.61,119.3,104.7,67.4
New Mexico,14.53,113.7,99.1,69.1
Santa Clara,14.45,118.6,104.1,70.2
Oklahoma,14.28,120.2,105.9,66.8
Butler,13.83,116.6,102.8,70.7
Northwestern,13.64,118.5,104.8,67.4
Akron,13.58,121.7,108.1,72.1
Oklahoma St.,13.52,116.9,103.4,74.9
Notre Dame,13.5,113.3,99.8,65.2
Belmont,13.18,117.5,104.4,69.7
Virginia Tech,12.99,114.9,101.9,68.6
Providence,12.96,120.3,107.4,72.7
Boise St.,12.84,111.2,98.4,67.5
Mississippi St.,12.75,114.3,101.5,69.4
Wake Forest,12.57,113.2,100.7,70.4
Cincinnati,12.48,105.7,93.2,70.1
George Washington,12.35,120.3,107.9,70.2
South Carolina,11.94,115.3,103.4,65.8
Syracuse,11.83,112.1,100.2,68.3
Mississippi,11.83,114.2,102.4,65.9
West Virginia,11.82,112.8,101.0,63.1
Tulsa,11.78,119.5,107.8,68.3
Kansas St.,11.61,116.6,105.0,73.5
McNeese,11.49,115.5,104.0,67.1
Dayton,11.44,110.9,99.4,68.5
Stanford,11.44,113.6,102.2,68.1
Colorado,11.2,118.3,107.1,70.1
Memphis,11.07,109.9,98.9,69.4
Yale,10.81,121.5,110.7,66.4
Nevada,10.78,115.2,104.4,66.0
California,10.62,113.5,102.9,67.5
Oregon,10.57,114.4,103.8,67.4
George Mason,10.22,113.5,103.3,65.6
Murray St.,10.07,117.4,107.3,72.2
Minnesota,10.02,111.7,101.6,63.8
High Point,9.99,119.5,109.5,70.2
South Florida,9.96,114.7,104.8,72.8
Illinois St.,9.84,112.9,103.1,67.3
Colorado St.,9.82,119.8,110.0,62.5
Pittsburgh,9.55,114.2,104.6,64.8
Arizona St.,9.43,115.6,106.2,70.5
Grand Canyon,9.4,109.3,99.9,67.8
Wyoming,9.05,113.2,104.2,68.7
Hawaii,8.64,106.2,97.6,69.0
Northern Iowa,8.6,105.6,97.0,62.4
Hofstra,8.14,113.7,105.6,66.5
Utah Valley,8.11,110.8,102.7,70.4
