TeamName,AdjEM,AdjOE,AdjDE,AdjTempo
Duke,31.9,125.2,93.3,69.8
Purdue,31.69,129.0,97.3,66.9
Gonzaga,29.87,122.6,92.7,72.4
Houston,29.74,119.2,89.5,66.0
Florida,27.62,120.2,92.6,73.8
Arizona,27.55,122.3,94.7,71.7
Illinois,26.93,123.8,96.9,72.1
BYU,26.56,125.0,98.4,70.8
Louisville,26.53,125.6,99.0,73.0
Iowa St.,26.43,119.4,92.9,70.9
Connecticut,26.18,122.3,96.1,67.8
Kentucky,26.16,121.4,95.3,72.2
Tennessee,24.94,117.5,92.5,69.7
Vanderbilt,24.82,124.7,99.9,71.7
Michigan,24.54,117.3,92.8,72.8
St. John's,23.99,119.7,95.8,74.7
Alabama,23.7,122.9,99.2,75.1
Michigan St.,22.92,116.9,94.0,68.5
N.C. State,21.83,120.8,99.0,70.5
Baylor,21.01,120.2,99.2,70.4
UCLA,20.93,116.5,95.6,67.1
Wisconsin,20.89,121.2,100.3,70.3
Auburn,20.87,120.3,99.4,70.7
USC,20.69,118.4,97.8,73.1
Indiana,20.58,118.5,97.9,68.9
Saint Mary's,20.52,117.8,97.3,66.3
Utah St.,20.49,120.2,99.7,70.6
North Carolina,20.38,118.0,97.7,72.6
Kansas,20.31,116.1,95.8,69.3
Iowa,20.05,120.9,100.8,65.3
Texas Tech,19.95,119.7,99.7,68.8
Clemson,19.9,119.4,99.5,67.2
Missouri,19.26,121.5,102.2,71.0
Ohio St.,18.91,118.9,100.0,70.2
Mississippi,18.82,118.4,99.6,67.6
LSU,18.14,119.2,101.0,71.6
Arkansas,17.99,117.3,99.3,72.2
Georgia,17.92,118.1,100.2,74.8
Nebraska,17.83,119.3,101.4,72.6
Villanova,17.82,117.3,99.5,67.0
Team,,,,
Texas,17.82,115.4,97.5,69.5
San Diego St.,17.78,115.0,97.3,69.2
SMU,17.13,118.3,101.1,72.6
Virginia,17.06,119.2,102.2,68.5
Cincinnati,16.04,107.2,91.2,73.0
Miami FL,15.87,115.0,99.1,72.6
Northwestern,15.8,117.3,101.5,68.3
Butler,15.71,116.4,100.7,71.9
Kansas St.,15.45,118.0,102.6,73.5
Wake Forest,15.31,114.0,98.7,72.8
Creighton,15.26,117.5,102.3,68.8
Saint Louis,15.12,114.5,99.4,73.7
Washington,14.95,116.0,101.0,69.1
VCU,14.94,113.3,98.4,73.6
Akron,14.43,117.3,102.9,73.1
Santa Clara,14.42,115.6,101.2,70.2
Virginia Tech,14.23,116.8,102.6,71.1
Oklahoma St.,14.17,114.8,100.7,76.3
Oregon,14.06,112.6,98.5,70.3
Boise St.,14.03,113.0,98.9,68.9
Syracuse,13.92,114.7,100.8,70.8
Providence,13.68,116.7,103.0,73.7
George Washington,13.47,116.8,103.4,73.0
Florida St.,13.22,113.5,100.3,74.4
Oklahoma,13.21,118.6,105.4,69.2
Texas A&M,13.14,115.3,102.2,71.9
Maryland,12.89,113.1,100.2,69.9
Dayton,12.86,112.0,99.2,68.9
UCF,12.8,117.1,104.3,71.5
Mississippi St.,12.67,116.0,103.3,71.8
Memphis,12.28,112.5,100.2,71.7
San Francisco,12.21,114.2,102.0,68.9
Notre Dame,12.02,114.0,102.0,67.8
West Virginia,11.63,110.2,98.6,66.3
Marquette,11.42,112.3,100.9,73.2
Colorado St.,11.41,121.0,109.6,66.3
Georgetown,11.37,112.8,101.4,71.3
California,10.99,113.8,102.8,70.5
TCU,10.77,110.4,99.6,69.7
South Florida,10.77,116.3,105.5,74.2
Team,,,,
High Point,10.68,117.7,107.1,71.0
Liberty,10.63,116.5,105.9,67.3
Yale,10.58,116.8,106.3,68.4
George Mason,10.51,110.0,99.4,67.9
Arizona St.,10.27,111.2,100.9,71.0
Colorado,9.66,117.2,107.6,70.4
Seton Hall,9.54,107.9,98.3,66.4
South Carolina,9.44,113.9,104.4,68.4
McNeese,9.33,113.6,104.3,69.5
Xavier,9.06,111.1,102.1,71.7
Wichita St.,8.91,111.4,102.5,69.1
Stanford,8.44,110.0,101.6,72.5
Northern Iowa,8.38,108.3,99.9,65.7
Penn St.,8.21,113.5,105.3,68.2
Georgia Tech,7.78,104.6,96.8,72.2
New Mexico,7.66,107.6,99.9,71.1
Pittsburgh,7.62,111.0,103.4,66.2
UNLV,7.26,115.1,107.8,74.3
Rhode Island,7.09,111.8,104.8,69.6
