TeamName,AdjEM,AdjOE,AdjDE,AdjTempo
Michigan,37.63,125.2,87.6,73.1
Gonzaga,32.99,125.2,92.3,71.1
Iowa St.,32.81,123.6,90.8,70.1
Duke,32.57,124.0,91.5,67.7
Arizona,32.37,125.0,92.6,71.6
Purdue,29.97,127.4,97.5,65.5
Connecticut,28.76,121.5,92.7,65.8
Houston,28.19,120.0,91.8,63.9
BYU,28.04,124.3,96.3,69.5
Louisville,27.74,127.1,99.3,71.8
Vanderbilt,27.38,125.8,98.5,71.3
Michigan St.,26.67,118.4,91.7,66.5
Florida,26.37,120.0,93.6,71.5
Illinois,26.31,126.0,99.7,68.4
Alabama,24.87,125.8,100.9,74.4
St. John's,24.31,120.7,96.4,71.5
Kansas,23.98,116.9,93.0,67.1
Tennessee,23.1,119.1,96.0,67.8
Kentucky,22.8,119.2,96.4,69.4
Iowa,22.68,120.1,97.4,63.9
Nebraska,21.97,120.1,98.2,69.5
Georgia,21.79,121.0,99.2,74.8
Texas Tech,21.49,120.9,99.4,67.5
Virginia,21.46,122.8,101.3,67.8
Arkansas,21.38,120.8,99.4,70.8
Indiana,21.17,117.9,96.7,69.3
North Carolina,21.14,118.8,97.7,68.8
N.C. State,20.12,120.9,100.8,70.5
Auburn,20.06,122.9,102.9,69.1
Clemson,19.84,119.5,99.7,65.3
UCLA,19.74,119.1,99.4,65.3
Saint Mary's,19.38,116.1,96.7,66.8
LSU,19.18,119.3,100.1,69.6
Villanova,19.14,120.1,100.9,64.9
Baylor,19.13,123.2,104.1,70.7
Miami FL,18.53,116.4,97.9,70.7
Wisconsin,18.24,119.0,100.8,71.1
USC,18.04,118.5,100.4,71.3
Ohio St.,17.93,119.0,101.1,69.9
Utah St.,17.56,118.0,100.4,69.2
Team,,,,
Saint Louis,17.48,116.4,98.9,72.7
Wake Forest,17.25,117.1,99.8,70.8
SMU,16.9,118.6,101.7,70.2
VCU,16.55,114.5,98.0,70.8
Boise St.,16.47,113.6,97.2,67.7
San Diego St.,16.26,117.2,100.9,69.2
Oklahoma,16.1,120.3,104.2,67.6
Washington,16.06,117.4,101.3,68.1
Texas,15.95,119.8,103.8,68.6
Seton Hall,15.92,111.8,95.9,66.7
Butler,15.41,119.1,103.7,70.1
Missouri,15.37,120.1,104.8,68.6
Texas A&M,15.32,117.0,101.7,72.1
