TeamName,AdjEM,AdjOE,AdjDE,AdjTempo
Michigan,36.23,125.9,89.7,74.0
Arizona,34.26,126.5,92.3,71.8
Iowa St.,31.55,123.6,92.0,68.4
Purdue,31.44,130.1,98.6,66.0
Illinois,30.79,128.3,97.5,66.5
Gonzaga,30.64,126.0,95.4,70.5
Duke,30.6,124.2,93.6,68.0
Houston,30.39,122.2,91.9,63.4
Connecticut,29.72,122.0,92.3,65.8
Florida,28.99,122.9,93.9,70.6
Vanderbilt,28.59,124.7,96.1,71.2
Michigan St.,27.98,118.3,90.3,66.2
BYU,27.88,125.1,97.2,70.9
Virginia,26.27,123.7,97.5,66.2
Nebraska,25.62,121.8,96.2,67.8
Alabama,25.3,129.0,103.7,73.6
Kansas,24.84,121.2,96.4,68.0
St. John's,23.97,121.9,97.9,70.6
Tennessee,23.85,119.2,95.3,67.1
Louisville,23.36,124.5,101.1,70.5
Iowa,23.22,121.1,97.9,64.6
Utah St.,22.91,122.3,99.4,68.9
Texas Tech,22.79,123.0,100.2,67.9
Arkansas,22.31,125.8,103.5,72.1
N.C. State,21.97,122.0,100.1,69.3
Villanova,21.75,122.5,100.7,63.4
Kentucky,21.09,119.8,98.7,68.1
Clemson,20.98,117.8,96.8,65.5
Miami FL,20.33,120.5,100.2,69.9
Saint Louis,20.05,120.1,100.1,71.7
Saint Mary's,20.02,121.5,101.4,66.0
Indiana,19.86,121.4,101.5,68.2
Georgia,19.83,122.3,102.5,74.8
Auburn,19.64,124.8,105.2,67.9
North Carolina,19.46,121.2,101.8,67.6
SMU,19.29,123.4,104.1,69.1
Ohio St.,18.65,121.3,102.7,67.7
Texas,18.64,123.9,105.2,68.2
Wisconsin,18.53,120.2,101.7,70.3
Baylor,18.46,123.8,105.4,68.5
UCLA,18.27,119.1,100.8,65.8
Texas A&M,17.28,118.8,101.5,72.3
UCF,17.05,120.8,103.7,69.2
Seton Hall,17.04,111.4,94.3,66.4
San Diego St.,16.8,115.5,98.7,68.6
LSU,16.78,120.6,103.8,68.0
VCU,16.7,120.5,103.8,69.9
New Mexico,16.49,115.3,98.8,69.4
Santa Clara,16.31,120.7,104.4,70.0
Washington,16.29,118.1,101.8,67.7
USC,16.11,118.7,102.6,70.4
TCU,16.04,114.0,98.0,67.8
Creighton,15.83,119.4,103.6,66.2
Missouri,14.93,119.8,104.9,67.4
Virginia Tech,13.4,115.8,102.4,68.3
Cincinnati,13.3,107.0,93.7,69.7
Oklahoma,13.27,120.9,107.6,66.7
Syracuse,13.03,114.9,101.9,68.1
Mississippi,13.02,116.3,103.3,65.3
Wake Forest,13.01,114.9,101.9,70.2
Northwestern,12.8,118.9,106.1,66.6
Akron,12.68,122.6,109.9,71.8
Butler,12.54,116.6,104.1,70.6
Oklahoma St.,12.49,117.9,105.4,74.0
Belmont,12.43,118.0,105.6,69.6
West Virginia,12.41,114.5,102.1,63.4
Providence,12.3,121.1,108.7,72.9
McNeese,12.3,117.0,104.7,67.1
Stanford,11.91,115.0,103.1,68.1
George Washington,11.81,121.3,109.5,70.3
Notre Dame,11.75,113.4,101.6,65.0
Dayton,11.68,111.4,99.7,67.8
Nevada,11.33,117.5,106.1,65.5
South Florida,11.23,115.8,104.6,72.7
George Mason,11.13,116.2,105.0,65.2
Colorado,11.1,118.2,107.1,69.8
Tulsa,10.99,120.2,109.3,68.4
Arizona St.,10.74,117.7,106.9,70.0
Mississippi St.,10.7,114.3,103.6,69.2
Murray St.,10.5,118.5,108.0,72.2
Boise St.,10.48,111.8,101.4,66.9
Kansas St.,10.42,115.8,105.4,73.4
California,10.27,114.0,103.7,67.0
Pittsburgh,10.26,116.2,105.9,64.7
South Carolina,10.16,115.4,105.2,65.7
Minnesota,10.02,112.8,102.7,63.5
Miami OH,9.22,116.0,106.7,71.0
Oregon,9.22,114.6,105.4,67.0
Memphis,9.03,107.9,98.8,69.4
Colorado St.,8.93,120.7,111.8,62.0
Hawaii,8.89,106.7,97.8,69.3
Yale,8.86,120.8,112.0,66.4
Florida Atlantic,8.74,114.6,105.9,70.5
Xavier,8.51,113.0,104.5,70.4
Grand Canyon,8.5,108.4,99.9,68.2
Utah Valley,8.21,112.0,103.8,70.6
Liberty,8.17,117.6,109.5,64.3
Illinois St.,8.13,113.0,104.8,66.8
High Point,8.13,118.9,110.8,70.0
Wyoming,7.75,115.0,107.2,67.9
San Francisco,6.9,112.4,105.5,65.7
Stephen F. Austin,6.87,109.7,102.8,65.8
Northern Iowa,6.82,105.9,99.1,62.3
Hofstra,6.71,114.0,107.3,66.0
Wichita St.,6.63,113.4,106.8,65.7
Penn St.,6.56,115.4,108.9,67.4
Georgetown,6.53,114.5,107.9,67.2
DePaul,6.23,107.0,100.7,67.7
UAB,6.2,112.7,106.5,69.7
UC San Diego,5.95,114.8,108.8,67.3
Richmond,5.88,113.5,107.7,68.8
Florida St.,5.13,114.5,109.4,73.6
Rhode Island,5.08,108.8,103.7,66.0
UNC Wilmington,4.89,111.7,106.8,65.1
Sam Houston St.,4.78,113.4,108.6,71.2
Marquette,4.52,109.3,104.8,70.4
Bowling Green,4.48,110.3,105.8,68.3
Bradley,4.42,111.4,107.0,68.4
Troy,4.37,112.6,108.2,67.3
UC Irvine,4.36,104.7,100.3,68.2
Seattle,4.34,105.0,100.7,68.8
Utah,4.3,114.9,110.6,69.2
Winthrop,4.14,115.2,111.0,68.4
Oakland,3.82,117.1,113.3,72.0
Middle Tennessee,3.81,108.9,105.1,65.6
East Tennessee St.,3.66,111.2,107.5,67.1
Maryland,3.54,109.0,105.5,67.7
Southern Illinois,3.35,106.8,103.5,70.5
St. Thomas,3.32,113.1,109.8,68.8
Pacific,3.31,111.4,108.1,65.5
Davidson,3.23,109.7,106.5,64.7
Wright St.,3.07,112.4,109.3,66.0
Marist,3.02,102.2,99.2,67.2
Cal Baptist,2.68,108.6,105.9,65.6
North Dakota St.,2.48,111.6,109.2,66.7
Loyola Marymount,2.47,106.0,103.5,68.0
Georgia Tech,2.44,108.0,105.6,70.8
North Texas,2.43,102.9,100.5,64.7
St. Bonaventure,2.42,112.9,110.5,67.1
New Mexico St.,2.36,110.2,107.9,66.9
Arkansas St.,2.2,111.3,109.1,73.8
William & Mary,2.19,108.8,106.6,74.5
UT Arlington,2.11,103.8,101.7,65.9
Fresno St.,2.03,106.2,104.2,68.5
Mercer,2.02,112.9,110.9,69.8
Duquesne,2.01,112.1,110.0,71.1
Temple,1.9,113.6,111.7,65.9
UNLV,1.6,109.9,108.3,71.9
Washington St.,1.54,110.7,109.2,67.5
Kent St.,1.5,113.7,112.2,72.5
Portland St.,1.08,106.6,105.5,69.4
Western Kentucky,0.99,109.6,108.6,70.7
Furman,0.9,108.6,107.7,67.3
Columbia,0.72,109.5,108.7,68.1
Lipscomb,0.71,108.8,108.1,70.8
Rutgers,0.62,108.6,108.0,65.4
Toledo,0.27,113.8,113.5,69.3
Montana St.,0.23,110.1,109.9,65.8
Elon,0.21,115.3,115.1,68.0
Boston College,0.19,103.3,103.1,65.8
Illinois Chicago,0.13,107.2,107.1,66.6
Quinnipiac,-0.09,106.3,106.4,70.4
Harvard,-0.09,108.8,108.9,64.2
Northern Colorado,-0.15,111.4,111.5,69.3
Northern Kentucky,-0.31,110.0,110.4,69.9
UC Davis,-0.48,109.9,110.4,69.2
Queens,-0.53,116.3,116.9,69.4
Drake,-0.68,109.1,109.7,66.4
UC Santa Barbara,-0.75,113.6,114.4,64.8
Towson,-0.8,104.7,105.5,63.8
Charleston,-1.01,108.3,109.3,68.0
Valparaiso,-1.02,106.7,107.7,66.1
Kennesaw St.,-1.19,109.4,110.6,73.9
Tarleton St.,-1.28,109.1,110.4,71.4
Idaho St.,-1.35,112.6,113.9,64.3
Massachusetts,-1.36,107.1,108.5,72.2
FIU,-1.37,109.8,111.2,72.0
Marshall,-1.4,109.9,111.3,69.9
Weber St.,-1.7,110.5,112.2,69.3
Texas A&M Corpus Chris,-1.71,103.5,105.2,66.4
Tulane,-1.78,109.2,111.0,66.0
Buffalo,-1.81,113.8,115.6,66.6
Charlotte,-1.84,112.2,114.1,63.7
Austin Peay,-1.96,104.5,106.4,69.3
Montana,-2.04,108.6,110.6,69.9
Campbell,-2.08,110.3,112.4,70.6
Saint Joseph's,-2.11,104.8,106.9,67.8
Incarnate Word,-2.57,107.6,110.2,66.7
Fordham,-2.61,106.1,108.7,63.7
Cornell,-2.65,117.7,120.4,73.9
CSUN,-2.67,108.3,111.0,73.6
Siena,-2.71,106.1,108.8,65.2
South Alabama,-2.74,106.3,109.1,64.8
Cal St. Fullerton,-2.89,108.1,111.0,74.4
Eastern Michigan,-2.91,104.6,107.5,66.0
Navy,-2.97,103.5,106.5,66.8
Colgate,-3.13,109.6,112.8,66.5
Tennessee Martin,-3.16,105.6,108.7,64.9
South Dakota St.,-3.25,108.6,111.9,68.2
Oregon St.,-3.29,108.1,111.4,65.6
Ohio,-3.31,108.2,111.6,69.6
Nicholls,-3.34,108.4,111.8,68.9
Penn,-3.34,110.2,113.6,70.0
Indiana St.,-3.43,107.0,110.4,69.1
Florida Gulf Coast,-3.56,110.4,114.0,68.8
