TeamName,AdjEM,AdjOE,AdjDE,AdjTempo
Michigan,37.64,125.5,87.9,74.1
Arizona,34.11,124.7,90.6,71.9
Iowa St.,33.34,123.9,90.6,70.5
Gonzaga,32.73,126.2,93.4,71.4
Purdue,31.75,128.3,96.5,65.5
Duke,31.54,123.6,92.1,69.1
Connecticut,30.21,121.1,90.9,66.2
Vanderbilt,29.7,125.1,95.4,71.9
Illinois,29.4,127.2,97.8,68.1
Houston,28.48,121.5,93.0,64.7
BYU,28.13,124.9,96.7,71.0
Florida,26.87,120.9,94.0,71.2
Michigan St.,26.17,118.4,92.2,66.6
Louisville,26.15,125.5,99.4,71.9
Tennessee,25.43,119.8,94.4,67.6
Kansas,25.2,117.4,92.2,68.1
Alabama,24.34,126.4,102.0,74.7
Kentucky,23.91,119.5,95.6,69.4
Iowa,23.55,120.5,96.9,64.2
St. John's,22.56,119.4,96.9,71.5
North Carolina,22.36,119.1,96.8,68.2
Nebraska,22.24,120.0,97.7,69.3
Virginia,22.18,123.9,101.7,67.5
Georgia,21.56,121.3,99.8,76.2
Texas Tech,21.51,123.2,101.6,67.9
N.C. State,21.21,121.2,100.0,71.0
Arkansas,20.81,121.4,100.6,72.3
Villanova,20.7,120.5,99.8,64.3
Baylor,20.68,125.3,104.6,70.6
Indiana,20.67,117.1,96.4,69.7
Utah St.,20.63,119.5,98.9,69.6
UCLA,19.89,120.8,100.9,66.0
Saint Mary's,19.07,115.8,96.8,67.9
Clemson,18.81,118.2,99.4,65.5
Miami FL,18.8,117.3,98.5,71.3
Ohio St.,18.53,119.7,101.2,69.7
Auburn,18.48,122.1,103.6,69.0
USC,18.35,119.2,100.9,71.5
Saint Louis,17.8,117.6,99.7,73.5
LSU,17.75,120.5,102.8,69.4
Team,,,,
VCU,16.9,117.8,100.9,70.8
SMU,16.89,120.1,103.2,70.2
UCF,16.79,121.0,104.2,69.8
Creighton,16.76,116.8,100.0,67.7
Seton Hall,16.73,111.7,94.9,66.7
Wisconsin,16.68,117.9,101.2,70.8
Texas,16.3,120.0,103.7,69.7
Washington,16.05,115.4,99.4,69.3
Texas A&M,15.83,117.6,101.8,73.0
Oklahoma,15.67,120.6,105.0,68.0
Butler,15.65,117.0,101.3,70.7
San Diego St.,15.2,115.5,100.3,68.5
Boise St.,15.09,113.8,98.7,67.5
Northwestern,13.88,116.7,102.8,68.0
Akron,13.83,123.5,109.7,72.9
TCU,13.27,110.9,97.6,68.0
California,13.19,114.2,101.0,68.5
Kansas St.,13.17,118.4,105.2,73.1
Mississippi,12.95,113.9,100.9,66.5
Wake Forest,12.92,114.1,101.1,71.0
Oklahoma St.,12.69,116.8,104.1,74.5
Belmont,12.57,115.5,103.0,71.5
Missouri,12.56,118.5,105.9,68.3
Dayton,12.36,112.1,99.8,69.4
McNeese,12.36,113.8,101.5,68.1
Notre Dame,12.3,114.2,101.9,66.6
West Virginia,12.03,112.2,100.1,64.3
Virginia Tech,12.02,115.2,103.2,69.3
New Mexico,12.0,113.2,101.2,70.3
Colorado,11.91,118.3,106.4,69.8
Memphis,11.68,110.2,98.5,70.3
Cincinnati,11.48,104.8,93.4,71.1
Colorado St.,11.32,121.8,110.5,63.4
Providence,11.31,118.9,107.6,73.1
Oregon,11.31,115.8,104.5,69.0
Yale,11.22,121.6,110.4,66.7
Arizona St.,10.98,116.0,105.0,70.1
Syracuse,10.98,112.7,101.7,68.3
George Mason,10.85,113.0,102.1,66.6
Santa Clara,10.7,115.1,104.4,70.2
Team,,,,
Stanford,10.67,113.5,102.8,70.8
Tulsa,10.62,118.1,107.5,69.3
George Washington,10.58,117.8,107.2,71.4
Utah Valley,10.53,111.0,100.5,70.7
Nevada,10.45,115.6,105.2,66.7
South Florida,10.38,114.2,103.8,73.3
Mississippi St.,9.6,112.9,103.3,69.9
UC San Diego,9.32,115.0,105.7,70.2
Illinois St.,9.29,113.5,104.3,67.8
Pittsburgh,9.17,113.9,104.8,65.0
Northern Iowa,9.11,105.4,96.3,63.9
South Carolina,9.09,112.2,103.1,67.5
Grand Canyon,8.92,109.3,100.4,68.4
Wichita St.,8.86,112.7,103.8,66.2
High Point,8.67,118.5,109.8,70.9
Murray St.,8.58,116.9,108.3,72.8
San Francisco,8.19,113.9,105.7,66.2
Wyoming,7.9,112.7,104.8,69.7
Richmond,7.72,111.2,103.5,70.0
Minnesota,7.53,111.4,103.9,64.4
