TeamName,AdjEM,AdjOE,AdjDE,AdjTempo
Purdue,31.61,128.8,97.2,66.9
Duke,31.59,124.9,93.3,69.7
Gonzaga,29.92,122.2,92.3,72.5
Houston,29.75,119.0,89.2,66.1
Arizona,27.62,122.0,94.4,71.7
Florida,27.55,120.0,92.4,73.9
Illinois,26.95,123.6,96.7,72.1
BYU,26.72,124.7,98.0,70.8
Connecticut,26.65,123.2,96.5,68.0
Louisville,26.55,125.4,98.8,72.8
Iowa St.,26.42,119.1,92.7,71.0
Kentucky,26.16,121.2,95.0,72.2
Tennessee,24.92,117.2,92.3,69.8
Vanderbilt,24.86,124.5,99.7,71.9
Michigan,24.47,117.2,92.7,72.9
St. John's,23.86,119.5,95.6,74.7
Alabama,23.64,122.6,99.0,75.3
Michigan St.,22.92,116.7,93.8,68.6
N.C. State,21.73,120.4,98.7,70.6
UCLA,21.27,116.5,95.2,67.2
Baylor,21.01,120.0,99.0,70.4
Auburn,20.92,120.1,99.2,70.6
Wisconsin,20.78,121.0,100.2,70.4
Indiana,20.58,118.3,97.7,69.0
Saint Mary's,20.38,117.5,97.1,66.4
USC,20.35,117.9,97.6,73.3
Kansas,20.23,115.8,95.6,69.4
North Carolina,20.13,117.7,97.6,72.7
Clemson,19.97,118.8,98.8,67.0
Texas Tech,19.94,119.4,99.5,68.9
Iowa,19.92,120.6,100.6,65.4
Missouri,19.29,121.4,102.1,70.9
Mississippi,18.89,118.3,99.4,67.6
Ohio St.,18.77,118.6,99.9,70.3
Virginia,18.33,119.8,101.5,68.6
LSU,18.11,118.8,100.7,71.6
Georgia,17.96,117.4,99.5,74.3
Villanova,17.93,117.3,99.4,67.1
Utah St.,17.89,118.7,100.8,70.4
Nebraska,17.88,118.9,101.0,72.6
Team,,,,
Texas,17.79,115.1,97.3,69.6
San Diego St.,17.74,114.8,97.0,69.3
Arkansas,17.7,117.0,99.3,72.0
SMU,17.06,118.1,101.0,72.7
Cincinnati,16.24,107.1,90.8,73.1
Northwestern,16.14,116.1,99.9,68.5
Kansas St.,15.37,117.7,102.3,73.6
Wake Forest,15.3,113.8,98.5,72.8
Creighton,15.28,117.3,102.0,68.9
Saint Louis,15.1,114.3,99.2,73.8
Washington,14.99,115.8,100.8,69.3
Miami FL,14.93,114.5,99.6,72.6
George Washington,14.82,116.1,101.3,72.7
VCU,14.66,113.0,98.3,73.7
Butler,14.24,115.6,101.4,72.1
Virginia Tech,14.23,116.5,102.3,71.1
Oklahoma St.,14.2,114.7,100.5,76.3
Oregon,14.07,112.4,98.3,70.4
Syracuse,14.06,114.6,100.5,70.6
Santa Clara,14.04,115.3,101.3,70.3
Boise St.,14.03,112.7,98.7,69.0
West Virginia,13.93,111.0,97.0,66.2
Oklahoma,13.74,120.1,106.4,69.5
Providence,13.72,116.4,102.7,73.7
Florida St.,13.46,113.4,100.0,74.2
Texas A&M,13.29,115.0,101.7,72.1
UCF,13.15,117.2,104.0,71.5
Maryland,13.15,112.9,99.8,69.9
Dayton,12.81,111.8,99.0,68.9
Mississippi St.,12.65,115.7,103.1,71.9
Akron,12.5,116.0,103.5,73.3
Memphis,12.3,112.2,99.9,71.8
San Francisco,12.22,114.0,101.8,68.9
Notre Dame,12.05,113.8,101.8,67.7
Georgetown,11.49,112.7,101.3,71.4
Marquette,11.44,112.1,100.6,73.3
Colorado St.,11.42,120.8,109.4,66.3
California,10.95,113.6,102.7,70.6
Pittsburgh,10.91,111.4,100.5,66.5
South Florida,10.91,116.2,105.3,74.4
Team,,,,
Liberty,10.68,116.3,105.6,67.3
TCU,10.62,109.9,99.3,69.8
High Point,10.51,117.6,107.1,70.9
George Mason,10.42,109.7,99.3,67.8
Arizona St.,10.29,111.0,100.7,71.1
Colorado,10.18,117.3,107.2,70.5
Yale,9.74,117.1,107.3,68.6
Seton Hall,9.59,107.6,98.1,66.4
Wichita St.,8.9,111.2,102.3,69.2
South Carolina,8.77,112.2,103.4,68.6
Stanford,8.61,109.7,101.1,72.6
Northern Iowa,8.28,108.2,99.9,65.6
Penn St.,8.2,113.2,105.0,68.3
Georgia Tech,7.89,104.4,96.5,72.2
McNeese,7.69,111.4,103.7,69.2
New Mexico,7.66,107.4,99.7,71.2
Xavier,7.54,109.8,102.3,71.8
UNLV,7.52,114.9,107.3,74.2
Grand Canyon,7.23,111.1,103.8,71.7
Rhode Island,7.0,111.5,104.5,69.7
Richmond,6.98,112.1,105.1,69.4
Hawaii,6.92,106.2,99.2,71.7
Seattle,6.46,108.3,101.9,70.5
Minnesota,6.37,109.3,102.9,66.1
UAB,6.34,112.0,105.6,73.3
Loyola Marymount,6.3,107.9,101.6,67.7
Belmont,6.27,108.0,101.7,73.5
Tulsa,5.93,113.9,108.0,69.3
North Texas,5.82,105.4,99.6,67.3
Davidson,5.78,109.5,103.7,67.9
Troy,5.77,110.8,105.0,70.3
Murray St.,5.77,113.1,107.3,73.0
