TeamName,AdjEM,AdjOE,AdjDE,AdjTempo
Michigan,37.53,125.3,87.7,73.3
Gonzaga,32.95,125.2,92.3,71.2
Arizona,32.73,125.3,92.6,72.1
Iowa St.,32.69,123.5,90.9,70.2
Duke,32.59,123.9,91.3,68.8
Purdue,29.89,127.3,97.4,65.5
Connecticut,29.55,121.2,91.7,66.0
BYU,28.98,124.7,95.7,70.0
Houston,28.28,120.2,91.9,64.0
Vanderbilt,27.39,125.8,98.4,71.4
Michigan St.,26.87,118.6,91.7,66.8
Illinois,26.63,126.0,99.4,68.4
Florida,26.27,120.0,93.7,71.3
Louisville,25.45,125.4,99.9,71.7
Tennessee,25.31,119.7,94.4,67.8
Alabama,24.87,125.9,101.0,74.5
Kansas,24.76,117.0,92.3,67.3
St. John's,23.88,120.4,96.5,71.6
Kentucky,22.71,119.2,96.5,69.6
Iowa,22.66,120.1,97.4,64.0
Nebraska,21.96,120.1,98.2,69.5
North Carolina,21.87,119.4,97.5,68.1
Georgia,21.63,120.9,99.2,74.8
Virginia,21.61,122.9,101.3,67.7
Arkansas,21.4,120.8,99.4,71.5
Indiana,21.08,117.9,96.8,69.4
Texas Tech,20.88,122.4,101.5,67.7
N.C. State,20.2,121.0,100.8,70.6
Auburn,20.11,123.0,102.9,69.2
UCLA,19.75,119.1,99.4,65.4
Clemson,19.5,118.6,99.1,65.6
Saint Mary's,19.36,116.1,96.7,66.8
Baylor,19.17,123.3,104.1,70.7
LSU,19.14,119.2,100.0,69.6
Villanova,19.11,120.1,101.0,64.9
Miami FL,18.64,117.2,98.6,71.0
Wisconsin,18.22,119.0,100.8,71.1
USC,18.03,118.5,100.5,71.4
Ohio St.,17.97,119.1,101.1,69.9
Utah St.,17.61,117.9,100.3,69.4
Team,,,,
Saint Louis,17.38,116.5,99.2,72.8
Wake Forest,17.15,116.9,99.8,70.7
SMU,16.75,118.6,101.8,70.2
Texas,16.74,119.8,103.1,68.9
VCU,16.64,115.0,98.3,70.6
Boise St.,16.52,113.7,97.1,67.8
San Diego St.,16.16,117.1,100.9,69.3
Washington,16.08,117.4,101.4,68.2
Seton Hall,15.93,111.8,95.9,66.8
Oklahoma,15.76,120.4,104.7,67.8
Missouri,15.53,120.3,104.7,68.7
Texas A&M,15.1,117.0,101.9,72.1
UCF,15.04,119.6,104.6,69.8
Butler,15.01,118.4,103.4,70.5
Oklahoma St.,14.67,117.1,102.4,74.4
Northwestern,14.23,118.7,104.4,68.1
Mississippi,14.15,114.4,100.2,66.3
Notre Dame,14.14,115.5,101.4,66.1
Dayton,13.96,113.4,99.4,69.9
Virginia Tech,13.53,116.1,102.5,69.9
Colorado St.,13.5,122.4,108.9,63.4
Colorado,13.42,119.3,105.9,69.8
TCU,13.29,110.8,97.5,68.9
Arizona St.,13.0,116.1,103.1,69.7
