team_id,team_name,season,date,opponent,location,game,result,winner_score,loser_score,ats,spread,ou,total,,
14643,Bellarmine Knights,2024-25,"Jan 20, 2024",Eastern Kentucky,Away,REG,L,82,70,L,11,O,140,,
14643,Bellarmine Knights,2024-25,"Jan 25, 2024",North Florida,Home,REG,L,71,63,L,1.5,U,139.5,,
14643,Bellarmine Knights,2024-25,"Jan 27, 2024",Jacksonville,Home,REG,W,69,63,W,-3.5,U,136.5,,
14643,Bellarmine Knights,2024-25,"Feb 1, 2024",Kennesaw State,Away,REG,W,96,95,W,8.5,O,152.5,,
14643,Bellarmine Knights,2024-25,"Feb 3, 2024",Queens,Away,REG,L,85,75,L,5,O,154.5,,
14643,Bellarmine Knights,2024-25,"Feb 7, 2024",Stetson,Home,REG,L,84,77,L,3.5,O,139.5,,
14643,Bellarmine Knights,2024-25,"Feb 10, 2024",Florida Gulf Coast,Away,REG,L,63,52,L,9,U,136.5,,
14643,Bellarmine Knights,2024-25,"Feb 17, 2024",Eastern Kentucky,Home,REG,L,75,65,L,6.5,U,146,,
14643,Bellarmine Knights,2024-25,"Feb 22, 2024",Central Arkansas,Home,REG,W,68,65,L,-5.5,U,143.5,,
14643,Bellarmine Knights,2024-25,"Feb 24, 2024",North Alabama,Home,REG,W,82,70,W,4.5,O,142.5,,
14643,Bellarmine Knights,2024-25,"Feb 28, 2024",Lipscomb,Away,REG,L,90,74,L,10,O,152,,
14643,Bellarmine Knights,2024-25,"Mar 1, 2024",Austin Peay,Away,REG,L,90,87,W,8.5,O,139,,
14651,Eastern Kentucky Colonels,2024-25,"Nov 7, 2023",West Virginia Tech,Home,REG,W,108,72,,,,,,
14651,Eastern Kentucky Colonels,2024-25,"Nov 10, 2023",Wilberforce,Home,REG,W,133,75,,,,,,
14651,Eastern Kentucky Colonels,2024-25,"Nov 17, 2023",Tennessee-Martin,Home,REG,L,80,74,L,-8.5,U,165.5,,
14651,Eastern Kentucky Colonels,2024-25,"Nov 21, 2023",Prairie View A&M,Home,REG,L,76,64,L,-11.5,U,150.5,,
14651,Eastern Kentucky Colonels,2024-25,"Nov 27, 2023",Troy,Home,REG,W,77,76,L,-6,U,154,,
14651,Eastern Kentucky Colonels,2024-25,"Dec 3, 2023",Western Kentucky,Away,REG,L,79,69,L,4.5,U,156.5,,
14651,Eastern Kentucky Colonels,2024-25,"Dec 7, 2023",UNC Greensboro,Away,REG,L,87,85,W,6,O,147,,
14651,Eastern Kentucky Colonels,2024-25,"Dec 10, 2023",Bethany-WV,Home,REG,W,121,56,,,,,,
14651,Eastern Kentucky Colonels,2024-25,"Dec 13, 2023",Louisiana-Lafayette,Away,REG,L,73,62,L,2,U,153,,
14651,Eastern Kentucky Colonels,2024-25,"Dec 17, 2023",Northern Kentucky,Home,REG,L,85,75,L,-3.5,O,144,,
14651,Eastern Kentucky Colonels,2024-25,"Dec 21, 2023",Troy,Away,REG,L,88,81,L,2.5,O,152.5,,
14651,Eastern Kentucky Colonels,2024-25,"Dec 23, 2023",Alabama,Away,REG,L,111,67,L,24.5,O,167.5,,
14651,Eastern Kentucky Colonels,2024-25,"Dec 29, 2023",Purdue,Away,REG,L,80,53,W,29,U,154.5,,
14651,Eastern Kentucky Colonels,2024-25,"Jan 4, 2024",Lipscomb,Home,REG,W,80,72,W,-1,U,154.5,,
14651,Eastern Kentucky Colonels,2024-25,"Jan 6, 2024",Austin Peay,Home,REG,W,69,59,W,-4.5,U,142.5,,
14651,Eastern Kentucky Colonels,2024-25,"Jan 11, 2024",Central Arkansas,Away,REG,W,86,63,W,-6,U,152,,
14651,Eastern Kentucky Colonels,2024-25,"Jan 13, 2024",North Alabama,Away,REG,W,81,72,W,-2.5,O,147,,
14651,Eastern Kentucky Colonels,2024-25,"Jan 20, 2024",Bellarmine,Home,REG,W,82,70,W,-11,O,140,,
14651,Eastern Kentucky Colonels,2024-25,"Jan 25, 2024",Jacksonville,Home,REG,W,75,59,W,-11,U,147,,
14651,Eastern Kentucky Colonels,2024-25,"Jan 27, 2024",North Florida,Home,REG,W,89,76,W,-7.5,O,148.5,,
14651,Eastern Kentucky Colonels,2024-25,"Feb 1, 2024",Queens,Away,REG,L,94,76,L,-4.5,O,164.5,,
14651,Eastern Kentucky Colonels,2024-25,"Feb 3, 2024",Kennesaw State,Away,REG,W,86,76,W,-1,U,166.5,,
14651,Eastern Kentucky Colonels,2024-25,"Feb 7, 2024",Florida Gulf Coast,Home,REG,W,90,82,W,-7,O,141.5,,
14651,Eastern Kentucky Colonels,2024-25,"Feb 10, 2024",Stetson,Away,REG,L,87,79,L,-2,O,152,,
14651,Eastern Kentucky Colonels,2024-25,"Feb 14, 2024",Chicago State,Home,REG,W,86,73,W,-10.5,O,142.5,,
14651,Eastern Kentucky Colonels,2024-25,"Feb 17, 2024",Bellarmine,Away,REG,W,75,65,W,-6.5,U,146,,
14651,Eastern Kentucky Colonels,2024-25,"Feb 22, 2024",North Alabama,Home,REG,W,75,72,L,-6.5,U,154.5,,
14651,Eastern Kentucky Colonels,2024-25,"Feb 24, 2024",Central Arkansas,Home,REG,W,95,82,L,-14,O,156.5,,
14651,Eastern Kentucky Colonels,2024-25,"Feb 28, 2024",Austin Peay,Away,REG,L,83,79,L,-2,O,149,,
14651,Eastern Kentucky Colonels,2024-25,"Mar 1, 2024",Lipscomb,Away,REG,L,81,67,L,3.5,U,163,,
14651,Eastern Kentucky Colonels,2024-25,"Mar 5, 2024",Jacksonville,Home,REG,L,67,65,L,-8.5,U,142.5,,
14652,Florida Gators,2024-25,"Nov 6, 2023",Loyola-Maryland,Home,REG,W,93,73,L,-24.5,O,142,,
14652,Florida Gators,2024-25,"Nov 10, 2023",Virginia,Home,REG,L,73,70,L,1,O,133.5,,
14652,Florida Gators,2024-25,"Nov 14, 2023",Florida A&M,Home,REG,W,89,68,L,-34.5,O,143.5,,
14652,Florida Gators,2024-25,"Nov 17, 2023",Florida State,Home,REG,W,89,68,W,-8.5,O,156.5,,
14652,Florida Gators,2024-25,"Nov 22, 2023",Pittsburgh,Away,REG,W,86,71,W,-5.5,U,157.5,,
14652,Florida Gators,2024-25,"Nov 24, 2023",Baylor,Home,REG,L,95,91,L,3,O,157.5,,
14652,Florida Gators,2024-25,"Nov 29, 2023",Wake Forest,Away,REG,L,82,71,L,-5,U,156,,
14652,Florida Gators,2024-25,"Dec 5, 2023",Merrimack,Home,REG,W,77,57,L,-21.5,U,149,,
14652,Florida Gators,2024-25,"Dec 9, 2023",Richmond,Home,REG,W,87,76,P,-11,O,154,,
14652,Florida Gators,2024-25,"Dec 14, 2023",East Carolina,Home,REG,W,70,65,L,-15.5,U,153,,
14652,Florida Gators,2024-25,"Dec 19, 2023",Michigan,Away,REG,W,106,101,W,-3.5,O,159.5,,
14652,Florida Gators,2024-25,"Dec 22, 2023",Grambling State,Home,REG,W,96,57,W,-26.5,O,147,,
14652,Florida Gators,2024-25,"Dec 30, 2023",Quinnipiac,Home,REG,W,97,72,W,-22,O,163,,
14652,Florida Gators,2024-25,"Jan 6, 2024",Kentucky,Home,REG,L,87,85,L,-3.5,O,170,,
14652,Florida Gators,2024-25,"Jan 10, 2024",Mississippi - Ole Miss,Away,REG,L,103,85,L,-2.5,O,157,,
14652,Florida Gators,2024-25,"Jan 13, 2024",Arkansas,Home,REG,W,90,68,W,-8,U,165,,
14652,Florida Gators,2024-25,"Jan 16, 2024",Tennessee,Away,REG,L,85,66,L,9.5,U,159.5,,
14652,Florida Gators,2024-25,"Jan 20, 2024",Missouri,Away,REG,W,79,67,W,-3,U,160.5,,
14652,Florida Gators,2024-25,"Jan 24, 2024",Mississippi State,Home,REG,W,79,70,W,-4,U,150.5,,
14652,Florida Gators,2024-25,"Jan 27, 2024",Georgia,Home,REG,W,102,98,L,-8,O,161,,
14652,Florida Gators,2024-25,"Jan 31, 2024",Kentucky,Away,REG,W,94,91,W,7.5,O,171.5,,
14652,Florida Gators,2024-25,"Feb 3, 2024",Texas A&M,Away,REG,L,67,66,W,4,U,151.5,,
14652,Florida Gators,2024-25,"Feb 10, 2024",Auburn,Home,REG,W,81,65,W,2,U,157.5,,
14652,Florida Gators,2024-25,"Feb 13, 2024",LSU,Home,REG,W,82,80,L,-11,U,163,,
14652,Florida Gators,2024-25,"Feb 17, 2024",Georgia,Away,REG,W,88,82,W,-4,O,156.5,,
14652,Florida Gators,2024-25,"Feb 21, 2024",Alabama,Away,REG,L,98,93,W,10,O,174,,
14652,Florida Gators,2024-25,"Feb 24, 2024",Vanderbilt,Home,REG,W,77,64,L,-15,U,150.5,,
14652,Florida Gators,2024-25,"Feb 28, 2024",Missouri,Home,REG,W,83,74,L,-13,O,154,,
14652,Florida Gators,2024-25,"Mar 2, 2024",South Carolina,Away,REG,L,82,76,L,2,O,144.5,,
14652,Florida Gators,2024-25,"Mar 5, 2024",Alabama,Home,REG,W,105,87,W,-2.5,O,176.5,,
14652,Florida Gators,2024-25,"Mar 9, 2024",Vanderbilt,Away,REG,L,79,78,L,-9,O,153,,
14652,Florida Gators,2024-25,"Mar 14, 2024",Georgia,Home,REG,W,85,80,L,-8,O,155,,
14652,Florida Gators,2024-25,"Mar 15, 2024",Alabama,Away,REG,W,102,88,W,4.5,O,175,,
14652,Florida Gators,2024-25,"Mar 16, 2024",Texas A&M,Home,REG,W,95,90,W,-2.5,O,152.5,,
14652,Florida Gators,2024-25,"Mar 17, 2024",Auburn,Away,REG,L,86,67,L,5.5,U,158,,
14652,Florida Gators,2024-25,"Mar 22, 2024",Colorado,Home,REG,L,102,100,L,1,O,157,,
14653,Florida State Seminoles,2024-25,"Nov 10, 2023",Kennesaw State,Home,REG,W,94,67,W,-10.5,O,154,,
14653,Florida State Seminoles,2024-25,"Nov 13, 2023",Central Michigan,Home,REG,W,94,67,W,-20,O,154,,
14653,Florida State Seminoles,2024-25,"Nov 17, 2023",Florida,Away,REG,L,89,68,L,8.5,O,156.5,,
14653,Florida State Seminoles,2024-25,"Nov 20, 2023",UNLV,Away,REG,W,83,75,W,-3,O,151,,
14653,Florida State Seminoles,2024-25,"Nov 21, 2023",Colorado,Away,REG,W,77,71,W,5.5,U,151.5,,
14653,Florida State Seminoles,2024-25,"Nov 29, 2023",Georgia,Home,REG,L,68,66,L,-9,U,154,,
14653,Florida State Seminoles,2024-25,"Dec 2, 2023",North Carolina,Away,REG,L,78,70,W,12.5,U,157.5,,
14653,Florida State Seminoles,2024-25,"Dec 9, 2023",South Florida,Away,REG,L,88,72,L,-7,O,146.5,,
14653,Florida State Seminoles,2024-25,"Dec 16, 2023",Southern Methodist,Home,REG,L,68,57,L,-4.5,U,148.5,,
14653,Florida State Seminoles,2024-25,"Dec 19, 2023",North Florida,Home,REG,W,91,75,P,-16,O,151.5,,
14653,Florida State Seminoles,2024-25,"Dec 22, 2023",Winthrop,Home,REG,W,67,61,L,-9,U,147.5,,
14653,Florida State Seminoles,2024-25,"Dec 30, 2023",Lipscomb,Home,REG,L,78,75,L,-8.5,O,152.5,,
14653,Florida State Seminoles,2024-25,"Jan 3, 2024",Georgia Tech,Home,REG,W,82,71,W,-4,O,144.5,,
14653,Florida State Seminoles,2024-25,"Jan 6, 2024",Virginia Tech,Home,REG,W,77,74,W,1,O,145,,
14653,Florida State Seminoles,2024-25,"Jan 9, 2024",Wake Forest,Home,REG,W,87,82,W,2.5,O,149.5,,
14653,Florida State Seminoles,2024-25,"Jan 13, 2024",Notre Dame,Away,REG,W,67,58,W,-1.5,U,135.5,,
14653,Florida State Seminoles,2024-25,"Jan 17, 2024",Miami,Away,REG,W,84,75,W,6.5,O,157.5,,
14653,Florida State Seminoles,2024-25,"Jan 20, 2024",Clemson,Home,REG,L,78,67,L,2,U,151.5,,
14653,Florida State Seminoles,2024-25,"Jan 23, 2024",Syracuse,Away,REG,W,85,69,W,3.5,O,152,,
14653,Florida State Seminoles,2024-25,"Jan 27, 2024",North Carolina,Home,REG,L,75,68,L,6.5,U,153.5,,
14653,Florida State Seminoles,2024-25,"Feb 3, 2024",Louisville,Away,REG,L,101,92,L,-5.5,O,151,,
14653,Florida State Seminoles,2024-25,"Feb 6, 2024",Boston College,Away,REG,W,63,62,W,4,U,152.5,,
14653,Florida State Seminoles,2024-25,"Feb 10, 2024",Virginia,Home,REG,L,80,76,L,1.5,O,128,,
14653,Florida State Seminoles,2024-25,"Feb 13, 2024",Virginia Tech,Away,REG,L,83,75,L,5.5,O,152,,
14653,Florida State Seminoles,2024-25,"Feb 17, 2024",Duke,Home,REG,L,76,67,L,6,U,152,,
14653,Florida State Seminoles,2024-25,"Feb 20, 2024",Boston College,Home,REG,W,84,76,W,-4.5,O,150,,
14653,Florida State Seminoles,2024-25,"Feb 24, 2024",Clemson,Away,REG,L,74,63,L,10,U,149.5,,
14653,Florida State Seminoles,2024-25,"Feb 27, 2024",North Carolina State,Home,REG,W,90,83,W,-2.5,O,153,,
14653,Florida State Seminoles,2024-25,"Mar 2, 2024",Georgia Tech,Away,REG,L,85,76,L,-3.5,O,151,,
14653,Florida State Seminoles,2024-25,"Mar 5, 2024",Pittsburgh,Away,REG,L,88,73,L,8,O,148.5,,
14653,Florida State Seminoles,2024-25,"Mar 9, 2024",Miami,Home,REG,W,83,75,W,-4.5,O,153.5,,
14653,Florida State Seminoles,2024-25,"Mar 13, 2024",Virginia Tech,Away,REG,W,86,76,W,4.5,O,151.5,,
14653,Florida State Seminoles,2024-25,"Mar 14, 2024",North Carolina,Away,REG,L,92,67,L,11,O,158,,
14654,Furman Paladins,2024-25,"Nov 6, 2023",North Greenville,Home,REG,W,84,68,,,,,,
14654,Furman Paladins,2024-25,"Nov 10, 2023",Belmont,Home,REG,W,99,76,W,-6.5,O,161,,
14654,Furman Paladins,2024-25,"Nov 16, 2023",Liberty,Away,REG,L,88,74,L,1.5,O,141.5,,
14654,Furman Paladins,2024-25,"Nov 17, 2023",Coastal Carolina,Away,REG,W,89,80,L,-11,O,161.5,,
14654,Furman Paladins,2024-25,"Nov 19, 2023",Wyoming,Home,REG,L,78,71,L,-6.5,U,150.5,,
14654,Furman Paladins,2024-25,"Nov 25, 2023",UAB,Away,REG,L,92,86,L,5.5,O,159.5,,
14654,Furman Paladins,2024-25,"Nov 28, 2023",South Carolina State,Home,REG,W,86,78,L,-20.5,O,163.5,,
14654,Furman Paladins,2024-25,"Dec 2, 2023",Princeton,Away,REG,L,70,69,W,7,U,151.5,,
14654,Furman Paladins,2024-25,"Dec 4, 2023",Arkansas,Away,REG,L,97,83,L,11.5,O,155,,
14654,Furman Paladins,2024-25,"Dec 9, 2023",Bob Jones University,Home,REG,W,100,58,,,,,,
14654,Furman Paladins,2024-25,"Dec 14, 2023",Tulane,Away,REG,L,117,110,W,7.5,O,172,,
14654,Furman Paladins,2024-25,"Dec 19, 2023",Presbyterian,Home,REG,W,76,61,W,-14,U,158.5,,
14654,Furman Paladins,2024-25,"Dec 30, 2023",Anderson-SC,Home,REG,L,79,74,,,,,,
14654,Furman Paladins,2024-25,"Jan 3, 2024",UNC Greensboro,Away,REG,L,79,68,L,5,U,147.5,,
14654,Furman Paladins,2024-25,"Jan 6, 2024",Chattanooga,Away,REG,L,73,58,L,1.5,U,156,,
14654,Furman Paladins,2024-25,"Jan 10, 2024",The Citadel,Home,REG,W,82,68,W,-11,U,150.5,,
14654,Furman Paladins,2024-25,"Jan 13, 2024",East Tennessee State,Home,REG,W,82,73,W,-7.5,O,154.5,,
14654,Furman Paladins,2024-25,"Jan 17, 2024",VMI,Away,REG,W,100,60,W,-16,U,166.5,,
14654,Furman Paladins,2024-25,"Jan 20, 2024",Western Carolina,Home,REG,W,65,62,L,-4.5,U,152.5,,
14654,Furman Paladins,2024-25,"Jan 24, 2024",Samford,Home,REG,W,78,68,W,-2.5,U,168,,
14654,Furman Paladins,2024-25,"Jan 27, 2024",Wofford,Away,REG,L,77,67,L,-6.5,U,155.5,,
14654,Furman Paladins,2024-25,"Jan 31, 2024",The Citadel,Away,REG,W,82,79,L,-7,O,147,,
14654,Furman Paladins,2024-25,"Feb 4, 2024",UNC Greensboro,Home,REG,L,89,87,L,-4.5,O,147.5,,
14654,Furman Paladins,2024-25,"Feb 7, 2024",Mercer,Away,REG,L,78,69,L,-4.5,O,146.5,,
14654,Furman Paladins,2024-25,"Feb 10, 2024",East Tennessee State,Away,REG,W,65,63,L,-2.5,U,147.5,,
14654,Furman Paladins,2024-25,"Feb 14, 2024",VMI,Home,REG,W,75,62,L,-23.5,U,166,,
14654,Furman Paladins,2024-25,"Feb 18, 2024",Chattanooga,Home,REG,W,82,65,W,-2.5,U,155.5,,
14654,Furman Paladins,2024-25,"Feb 21, 2024",Samford,Away,REG,L,74,72,W,7.5,U,163.5,,
14654,Furman Paladins,2024-25,"Feb 24, 2024",Wofford,Home,REG,W,82,67,W,-8,O,148.5,,
14654,Furman Paladins,2024-25,"Feb 28, 2024",Western Carolina,Away,REG,L,85,77,L,2,O,146.5,,
14654,Furman Paladins,2024-25,"Mar 2, 2024",Mercer,Home,REG,L,82,75,L,-10,O,150.5,,
14654,Furman Paladins,2024-25,"Mar 9, 2024",Western Carolina,Away,REG,W,79,76,W,-1.5,O,148,,
14654,Furman Paladins,2024-25,"Mar 10, 2024",Samford,Away,REG,L,84,77,L,3.5,O,157.5,,
14655,Georgetown University Hoyas,2024-25,"Nov 7, 2023",Lemoyne,Home,REG,W,94,57,W,-20.5,O,145.5,,
14655,Georgetown University Hoyas,2024-25,"Nov 11, 2023",Holy Cross,Home,REG,L,68,67,L,-16.5,U,148.5,,
14655,Georgetown University Hoyas,2024-25,"Nov 15, 2023",Rutgers,Away,REG,L,71,60,L,10,U,134,,
14655,Georgetown University Hoyas,2024-25,"Nov 18, 2023",Mount St. Mary's,Home,REG,W,83,72,W,-9,O,135.5,,
14655,Georgetown University Hoyas,2024-25,"Nov 19, 2023",American,Home,REG,W,88,83,L,-9.5,O,142,,
14655,Georgetown University Hoyas,2024-25,"Nov 25, 2023",Jackson State,Home,REG,W,88,81,L,-11.5,O,149,,
14655,Georgetown University Hoyas,2024-25,"Nov 29, 2023",Merrimack,Home,REG,W,69,67,L,-10,U,140,,
14655,Georgetown University Hoyas,2024-25,"Dec 2, 2023",TCU,Home,REG,L,84,83,W,10,O,151.5,,
14655,Georgetown University Hoyas,2024-25,"Dec 9, 2023",Syracuse,Home,REG,L,80,68,L,1.5,U,150.5,,
14655,Georgetown University Hoyas,2024-25,"Dec 12, 2023",Coppin State,Home,REG,W,71,54,L,-22,U,139.5,,
14655,Georgetown University Hoyas,2024-25,"Dec 16, 2023",Notre Dame,Away,REG,W,72,68,W,3.5,O,136,,
14655,Georgetown University Hoyas,2024-25,"Dec 19, 2023",Butler,Away,REG,L,74,64,W,10.5,U,148.5,,
14655,Georgetown University Hoyas,2024-25,"Dec 22, 2023",Marquette,Away,REG,L,81,51,L,17,U,149,,
14655,Georgetown University Hoyas,2024-25,"Jan 2, 2024",Creighton,Home,REG,L,77,60,L,12.5,U,147,,
14655,Georgetown University Hoyas,2024-25,"Jan 6, 2024",DePaul,Home,REG,W,68,65,L,-6.5,U,142,,
14655,Georgetown University Hoyas,2024-25,"Jan 9, 2024",Seton Hall,Home,REG,L,74,70,W,6.5,O,138.5,,
14655,Georgetown University Hoyas,2024-25,"Jan 14, 2024",Connecticut,Away,REG,L,80,67,W,21,O,145,,
14655,Georgetown University Hoyas,2024-25,"Jan 19, 2024",Xavier,Away,REG,L,92,91,W,12,O,147,,
14655,Georgetown University Hoyas,2024-25,"Jan 23, 2024",Butler,Home,REG,L,90,66,L,3,O,146.5,,
14655,Georgetown University Hoyas,2024-25,"Jan 27, 2024",Providence,Away,REG,L,84,76,W,10.5,O,143.5,,
14655,Georgetown University Hoyas,2024-25,"Feb 3, 2024",Marquette,Home,REG,L,91,57,L,12.5,U,152.5,,
14655,Georgetown University Hoyas,2024-25,"Feb 7, 2024",Seton Hall,Away,REG,L,76,70,W,12.5,O,138,,
14655,Georgetown University Hoyas,2024-25,"Feb 10, 2024",Connecticut,Home,REG,L,89,64,L,16,O,143,,
14655,Georgetown University Hoyas,2024-25,"Feb 13, 2024",Creighton,Away,REG,L,94,72,L,19,O,149.5,,
14655,Georgetown University Hoyas,2024-25,"Feb 16, 2024",Villanova,Home,REG,L,70,54,L,10.5,U,140.5,,
14655,Georgetown University Hoyas,2024-25,"Feb 21, 2024",St. John's,Home,REG,L,90,85,W,9.5,O,150.5,,
14655,Georgetown University Hoyas,2024-25,"Feb 24, 2024",DePaul,Away,REG,W,77,76,L,-4.5,O,151,,
14655,Georgetown University Hoyas,2024-25,"Feb 27, 2024",Villanova,Away,REG,L,75,47,L,15,U,140.5,,
14655,Georgetown University Hoyas,2024-25,"Mar 2, 2024",Xavier,Home,REG,L,98,93,W,8,O,157,,
14655,Georgetown University Hoyas,2024-25,"Mar 5, 2024",Providence,Home,REG,L,71,58,L,8,U,146,,
14655,Georgetown University Hoyas,2024-25,"Mar 9, 2024",St. John's,Away,REG,L,86,78,W,19,O,153,,
14655,Georgetown University Hoyas,2024-25,"Mar 13, 2024",Providence,Away,REG,L,74,56,L,9.5,U,140.5,,
14656,Gonzaga Bulldogs,2024-25,"Nov 10, 2023",Yale,Home,REG,W,86,71,W,-11,O,154.5,,
14656,Gonzaga Bulldogs,2024-25,"Nov 14, 2023",Eastern Oregon,Home,REG,W,123,57,,,,,,
