team_id,team_name,season,date,opponent,location,game,result,winner_score,loser_score,ats,spread,ou,total
14521,UC San Diego Tritons,2025-26,"Nov 6, 2024",San Diego State,Away,REG,L,63,58,W,10.5,U,141.0
14521,UC San Diego Tritons,2025-26,"Nov 9, 2024",Pepperdine,Home,REG,W,94,76,W,-8.5,O,144.5
14521,UC San Diego Tritons,2025-26,"Nov 12, 2024",Sacramento State,Home,REG,W,64,54,L,-12.5,U,139.5
14521,UC San Diego Tritons,2025-26,"Nov 16, 2024",Seattle,Home,REG,L,84,71,L,-7.0,O,140.5
14521,UC San Diego Tritons,2025-26,"Nov 21, 2024",La Salle,Home,REG,W,72,67,W,1.5,U,145.5
14521,UC San Diego Tritons,2025-26,"Nov 22, 2024",James Madison,Home,REG,W,73,67,W,2.5,U,142.5
14521,UC San Diego Tritons,2025-26,"Nov 23, 2024",Toledo,Away,REG,W,80,45,W,1.0,U,154.5
14521,UC San Diego Tritons,2025-26,"Nov 30, 2024",Laverne,Home,REG,W,109,33,,,,
14521,UC San Diego Tritons,2025-26,"Dec 5, 2024",UC-Santa Barbara,Away,REG,W,84,76,W,2.5,O,141.0
14521,UC San Diego Tritons,2025-26,"Dec 7, 2024",Cal State-Bakersfield,Home,REG,W,81,60,W,-11.5,O,136.0
14521,UC San Diego Tritons,2025-26,"Dec 15, 2024",Idaho,Away,REG,W,80,56,W,-7.5,U,141.0
14521,UC San Diego Tritons,2025-26,"Dec 17, 2024",Utah State,Away,REG,W,75,73,W,10.0,U,150.0
14521,UC San Diego Tritons,2025-26,"Dec 21, 2024",San Diego,Away,REG,W,77,71,L,-13.5,O,144.5
14521,UC San Diego Tritons,2025-26,"Dec 28, 2024",Occidental,Home,REG,W,109,50,,,,
14521,UC San Diego Tritons,2025-26,"Jan 4, 2025",Cal State-Fullerton,Away,REG,W,90,51,W,-12.5,O,136.5
14521,UC San Diego Tritons,2025-26,"Jan 9, 2025",Cal Poly,Home,REG,W,95,68,W,-15.0,O,158.5
14521,UC San Diego Tritons,2025-26,"Jan 11, 2025",UC Irvine,Home,REG,L,60,52,L,-5.5,U,139.5
14521,UC San Diego Tritons,2025-26,"Jan 16, 2025",Long Beach State,Away,REG,W,80,54,W,-14.5,U,136.0
14521,UC San Diego Tritons,2025-26,"Jan 18, 2025",UC Riverside,Away,REG,L,85,81,L,-9.0,O,141.0
14521,UC San Diego Tritons,2025-26,"Jan 23, 2025",UC-Santa Barbara,Home,REG,W,77,63,W,-10.0,O,137.5
14521,UC San Diego Tritons,2025-26,"Jan 25, 2025",Cal State-Northridge,Home,REG,W,79,54,W,-10.0,U,149.5
14521,UC San Diego Tritons,2025-26,"Jan 31, 2025",Hawaii,Away,REG,W,74,63,W,-7.5,P,137.0
14521,UC San Diego Tritons,2025-26,"Feb 6, 2025",UC Riverside,Home,REG,W,91,71,W,-11.5,O,140.0
14521,UC San Diego Tritons,2025-26,"Feb 8, 2025",UC Irvine,Away,REG,W,85,67,W,-1.0,O,139.5
14521,UC San Diego Tritons,2025-26,"Feb 13, 2025",Cal State-Bakersfield,Away,REG,W,73,54,W,-12.5,U,140.5
14521,UC San Diego Tritons,2025-26,"Feb 15, 2025",UC Davis,Home,REG,W,85,60,W,-14.0,O,134.5
14521,UC San Diego Tritons,2025-26,"Feb 20, 2025",Cal Poly,Away,REG,W,81,67,W,-12.5,U,160.5
